"","Week.number","Week.ended","Total.deaths..all.ages","Total.deaths..average.of.corresponding","All.respiratory.diseases..ICD.10.J00.J99...ICD.10.v.2001","All.Under.1.year","All.01.14","All.15.44","All.45.64","All.65.74","All.75.84","All.85.","Male.Under.1.year","Male.01.14","Male.15.44","Male.45.64","Male.65.74","Male.75.84","Male.85.","Female.Under.1.year","Female.01.14","Female.15.44","Female.45.64","Female.65.74","Female.75.84","Female.85.","North.East","North.West","Yorkshire.and.The.Humber","East.Midlands","West.Midlands","East","London","South.East","South.West","Wales","X","ICD.10.v.2010","All.respiratory.diseases..ICD.10.J00.J99...ICD.10.v.2010","All.respiratory.diseases..ICD.10.J00.J99..ICD.10.v.2013..IRIS.","ICD.10.v.2010..NCHS.","week.over.the.previous.5.years.1..England.and.Wales.","week.over.the.previous.5.years.1..England.","week.over.the.previous.5.years.1..Wales.","Deaths.where.the.underlying.cause.was.respiratory.disease..ICD.10.J00.J99.","Deaths.where.COVID.19.was.mentioned.on.the.death.certificate..ICD.10.U07.1.and.U07.2.","All..1","All.1.4","All.5.9","All.10.14","All.15.19","All.20.24","All.25.29","All.30.34","All.35.39","All.40.44","All.45.49","All.50.54","All.55.59","All.60.64","All.65.69","All.70.74","All.75.79","All.80.84","All.85.89","All.90.","Male..1","Male.1.4","Male.5.9","Male.10.14","Male.15.19","Male.20.24","Male.25.29","Male.30.34","Male.35.39","Male.40.44","Male.45.49","Male.50.54","Male.55.59","Male.60.64","Male.65.69","Male.70.74","Male.75.79","Male.80.84","Male.85.89","Male.90.","Female..1","Female.1.4","Female.5.9","Female.10.14","Female.15.19","Female.20.24","Female.25.29","Female.30.34","Female.35.39","Female.40.44","Female.45.49","Female.50.54","Female.55.59","Female.60.64","Female.65.69","Female.70.74","Female.75.79","Female.80.84","Female.85.89","Female.90.","England","Total.deaths.all.ages","Average.5.years.England.and.Wales","Average.5.years.England","Average.5.years.Wales","Respiratory.deaths"
"1",1,2010-01-08,12968,12050,2345,61,24,299,1570,2049,3952,5012,25,9,184,894,1214,2004,1683,36,15,115,676,835,1948,3329,648,1686,1317,1091,1370,1412,1226,1904,1395,879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2010-01-15,12541,12600,2293,69,29,331,1465,1860,3883,4902,40,17,214,895,1082,1925,1719,29,12,117,570,778,1958,3183,612,1772,1163,1098,1258,1263,1262,1981,1354,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2010-01-22,11762,11692.2,1955,66,18,347,1392,1781,3501,4654,35,9,219,826,1045,1755,1609,31,9,128,566,736,1746,3045,550,1576,1133,963,1216,1174,1186,1877,1294,774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,2010-01-29,11056,11069.2,1698,68,21,336,1300,1666,3359,4305,39,9,222,770,976,1687,1458,29,12,114,530,690,1672,2847,555,1495,1031,938,1106,1143,1093,1856,1150,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,2010-02-05,10524,10840.4,1635,72,18,317,1308,1588,3123,4089,32,11,203,764,914,1635,1441,40,7,114,544,674,1488,2648,556,1385,987,874,1097,1156,1035,1576,1147,688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,2010-02-12,10117,10602.4,1566,79,28,308,1239,1596,3002,3864,45,14,200,753,963,1611,1346,34,14,108,486,633,1391,2518,553,1402,941,858,1024,1032,1049,1547,1070,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,2010-02-19,10102,10774.8,1551,71,17,329,1276,1560,3015,3834,40,3,216,760,927,1521,1373,31,14,113,516,633,1494,2461,521,1371,960,802,1029,1099,1031,1570,1069,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,2010-02-26,10295,10715.2,1468,73,27,340,1315,1600,3106,3833,36,14,222,780,948,1551,1334,37,13,118,535,652,1555,2499,471,1363,1040,880,1020,1149,983,1594,1098,665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,2010-03-05,9981,10793.8,1412,55,31,348,1230,1547,3003,3765,33,16,235,743,940,1529,1288,22,15,113,487,607,1474,2477,535,1417,952,778,1060,1064,917,1580,1041,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,2010-03-12,9792,10572.8,1381,45,28,334,1259,1552,2917,3653,27,20,214,726,912,1446,1297,18,8,120,533,640,1471,2356,512,1390,984,800,941,1074,960,1457,1042,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,2010-03-19,9729,10432.2,1303,53,24,294,1307,1572,2895,3581,34,14,189,775,922,1468,1247,19,10,105,532,650,1427,2334,529,1316,965,820,993,1005,979,1466,1015,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,2010-03-26,9631,9646.8,1290,61,32,303,1227,1566,2870,3554,37,17,185,725,923,1488,1205,24,15,118,502,643,1382,2349,498,1292,965,792,970,1039,920,1484,1066,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,2010-04-02,8004,10315,1092,50,16,230,1035,1256,2385,2971,28,8,144,614,749,1236,1067,22,8,86,421,507,1149,1904,394,1130,768,682,874,814,731,1174,921,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,2010-04-09,9756,10013.8,1415,66,19,288,1242,1603,2958,3553,35,9,176,764,949,1538,1276,31,10,112,478,654,1420,2277,517,1357,937,850,1010,1002,981,1473,991,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,2010-04-16,9892,9696,1305,63,21,321,1276,1646,3058,3496,38,8,196,780,968,1611,1193,25,13,125,496,678,1447,2303,516,1369,995,794,998,1068,950,1476,1056,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,2010-04-23,9449,10259.8,1233,66,31,333,1243,1525,2821,3429,35,16,229,757,898,1494,1200,31,15,104,486,627,1327,2229,486,1328,880,782,971,1048,918,1438,1019,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,2010-04-30,9503,10025,1232,59,19,325,1220,1564,2857,3458,33,12,220,740,912,1523,1196,26,7,105,480,652,1334,2262,516,1252,964,759,994,1021,916,1443,999,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,2010-05-07,8343,9378.8,1144,59,13,240,1119,1379,2574,2955,32,8,148,667,818,1327,1092,27,5,92,452,561,1247,1863,444,1150,870,660,821,899,797,1252,872,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,2010-05-14,9483,9090,1214,70,25,335,1262,1497,2973,3321,33,10,217,763,910,1511,1211,37,15,118,499,587,1462,2110,516,1276,944,812,935,937,963,1463,1055,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,2010-05-21,9190,9474.8,1164,71,22,356,1165,1525,2689,3361,35,12,232,686,888,1375,1179,36,10,124,479,637,1314,2182,502,1248,896,757,930,964,916,1401,965,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,2010-05-28,9452,9384.2,1315,78,26,352,1205,1616,2861,3310,43,18,221,742,947,1480,1145,35,8,131,463,669,1381,2165,474,1292,983,782,962,1033,939,1415,978,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,2010-06-04,8178,8464.6,1057,49,20,244,1080,1371,2416,2996,30,14,155,650,813,1209,1082,19,6,89,430,558,1207,1914,457,1145,827,661,807,845,848,1202,831,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,2010-06-11,9259,9332.4,1191,46,14,303,1292,1527,2727,3350,30,5,197,780,870,1424,1222,16,9,106,512,657,1303,2128,539,1268,902,795,931,962,908,1413,927,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,2010-06-18,8513,9072.8,988,72,18,291,1182,1497,2530,2923,32,10,189,716,860,1327,1121,40,8,102,466,637,1203,1802,450,1118,834,664,894,908,812,1299,988,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,2010-06-25,8461,9013.8,984,57,15,311,1145,1437,2502,2994,37,6,211,686,835,1283,1050,20,9,100,459,602,1219,1944,464,1157,863,715,894,897,805,1283,848,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,2010-07-02,8973,8791.6,1135,58,22,279,1161,1497,2644,3306,31,9,179,720,897,1296,1149,27,13,100,441,600,1348,2157,446,1236,851,734,924,920,887,1425,939,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,2010-07-09,8627,8914,1074,61,20,313,1203,1376,2688,2964,34,14,207,731,835,1430,1053,27,6,106,472,541,1258,1911,507,1163,814,694,855,886,861,1315,950,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,2010-07-16,8541,8745.2,978,74,26,291,1174,1404,2582,2988,36,15,197,734,804,1353,1067,38,11,94,440,600,1229,1921,444,1153,829,753,867,851,900,1285,862,573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,2010-07-23,8261,8762.8,878,55,19,302,1200,1359,2533,2791,33,8,195,722,808,1338,991,22,11,107,478,551,1195,1800,442,1108,857,685,837,901,852,1154,875,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,2010-07-30,8257,8846.2,903,68,15,289,1075,1377,2464,2965,40,7,191,636,796,1288,1008,28,8,98,439,581,1176,1957,453,1155,858,629,869,882,777,1187,873,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,2010-08-06,8467,8669.4,906,61,17,355,1211,1434,2557,2828,28,10,224,700,834,1344,1018,33,7,131,511,600,1213,1810,479,1110,849,647,894,883,826,1303,906,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,2010-08-13,8318,8611.4,914,62,20,327,1086,1386,2478,2958,38,6,213,635,801,1258,1031,24,14,114,451,585,1220,1927,417,1138,844,696,893,847,783,1292,874,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,2010-08-20,8584,8651.4,1046,46,20,280,1144,1425,2604,3063,26,8,169,683,852,1372,1039,20,12,111,461,573,1232,2024,447,1169,850,721,905,840,882,1280,939,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,2010-08-27,8635,8683.8,962,58,13,278,1160,1462,2531,3123,28,11,193,684,872,1319,1120,30,2,85,476,590,1212,2003,471,1187,895,675,901,898,817,1307,938,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,2010-09-03,7708,8100.8,888,52,13,249,1045,1292,2316,2741,26,7,159,623,765,1177,1005,26,6,90,422,527,1139,1736,407,1081,788,626,784,784,740,1151,817,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,2010-09-10,8961,8596.4,1032,54,22,322,1176,1539,2684,3164,33,11,210,716,906,1373,1097,21,11,112,460,633,1311,2067,446,1313,866,784,877,897,838,1372,992,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,2010-09-17,8727,8654,1003,68,21,320,1206,1476,2534,3093,37,13,215,746,885,1334,1077,31,8,105,460,591,1200,2016,442,1256,830,736,856,891,880,1348,933,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,2010-09-24,8943,8652.4,1012,67,19,317,1131,1455,2651,3299,30,14,227,685,828,1303,1171,37,5,90,446,627,1348,2128,468,1137,907,819,920,949,858,1364,930,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,2010-10-01,8759,8827,1068,68,23,282,1160,1440,2564,3218,43,10,185,676,837,1319,1128,25,13,97,484,603,1245,2090,448,1252,885,698,892,898,852,1294,934,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,2010-10-08,9195,8894.6,1183,66,24,315,1214,1455,2785,3334,38,17,204,731,839,1401,1191,28,7,111,483,616,1384,2143,501,1265,853,744,931,967,955,1448,937,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
