"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,267.478198386352,288.577234729317,310.555809023726,288.883615439035
"532",2020-03-13,550.041709647797,585.540639383256,620.961565714424,585.422747671567
"533",2020-03-20,795.926664978904,843.124424042336,893.006889697516,844.343149883748
"534",2020-03-27,1056.31705974842,1116.09592375597,1177.98930942571,1117.03429462783
"535",2020-04-03,1328.41294205787,1402.54219313533,1477.77307121284,1402.18781620946
"536",2020-04-10,1596.55968656326,1684.79325298492,1770.28226327825,1684.32119218337
"537",2020-04-17,1867.41691714154,1970.48770662978,2069.53027549297,1969.80416151212
"538",2020-04-24,2150.88331933729,2265.89846945535,2375.72526722987,2265.18085399947
"539",2020-05-01,2415.96152765941,2546.61775933264,2668.20593024609,2544.53608795403
"540",2020-05-08,2693.13359889727,2836.28665102146,2969.48000331561,2834.33691849552
"541",2020-05-15,2972.201326831,3132.13047647698,3278.67420966743,3129.69954638454
"542",2020-05-22,3209.88735366648,3392.36575670835,3551.46449034647,3390.49055219677
"543",2020-05-29,3458.51898028635,3648.2760612537,3826.69466307885,3646.21110117686
"544",2020-06-05,3722.07394447508,3928.86838670387,4121.51514833414,3926.51478208869
"545",2020-06-12,3981.77331244833,4208.16831817346,4411.14910210974,4205.66887738274
"546",2020-06-19,4252.97857722778,4492.7641298056,4713.34168235146,4490.02983326693
"547",2020-06-26,4523.77307876349,4769.88141497982,5004.68759223653,4766.53115719372
"548",2020-07-03,4770.09180300675,5039.53600330403,5290.13692775317,5036.17193116258
"549",2020-07-10,5032.34110444583,5317.27710464898,5588.69752702083,5312.90471158833
"550",2020-07-17,5296.80353190253,5591.30729057807,5870.48873029289,5587.29370868503
"551",2020-07-24,5563.99034364277,5876.53538311068,6165.1723850123,5873.98597060447
"552",2020-07-31,5817.23364106296,6141.58635391812,6441.41223694341,6139.21869802777
"553",2020-08-07,6068.37661728727,6414.75270314822,6730.14795854193,6410.83159120019
"554",2020-08-14,6326.22303541189,6682.62089999436,7013.23732408971,6679.87021202537
"555",2020-08-21,6555.25924438333,6933.07580156564,7279.19597461648,6929.37378027649
"556",2020-08-28,6775.2639477956,7173.36387341716,7539.6799836363,7168.89721957707
"557",2020-09-04,7036.90737272214,7449.03712774766,7831.62916006829,7444.4530901916
"558",2020-09-11,7298.31471370392,7724.65371364849,8132.21082806858,7723.31151282922
"559",2020-09-18,7554.6772289515,7996.39592717478,8427.28258960541,7997.21451171277
"560",2020-09-25,7810.36996878212,8264.10273726254,8719.68872615403,8268.8439381964
"561",2020-10-02,8083.88262102025,8547.27336932371,9028.37759203054,8553.37778520355
"562",2020-10-09,8340.90529192096,8817.37480091809,9316.03881572168,8824.7758654089
"563",2020-10-16,8601.36879690225,9102.77250818065,9619.9077029479,9110.15436952209
"564",2020-10-23,8857.42070215856,9379.73147363328,9912.74041717805,9391.89173010625
"565",2020-10-30,9134.65598410246,9661.83244384352,10207.365267594,9675.90822299793
"566",2020-11-06,9408.79740524819,9953.95146616604,10509.552230638,9969.29452472274
"567",2020-11-13,9686.74739810023,10248.4949650744,10823.4960829906,10262.4100098701
"568",2020-11-20,9955.40299166648,10538.6573460722,11130.2110197677,10552.8833469797
"569",2020-11-27,10243.7758435061,10843.7955667582,11450.8976214842,10857.8387791081
"570",2020-12-04,10533.1233268005,11152.6860841483,11777.0073236136,11161.7369945924
"571",2020-12-11,10826.6826251452,11464.1895076575,12113.0377563984,11475.8861574039
"572",2020-12-18,11058.374483261,11714.0335187779,12388.729813076,11724.3997492079
"573",2020-12-25,11230.2569933461,11907.3316689906,12601.1382507226,11916.7004013826
"574",2021-01-01,11466.1971801148,12167.8939035074,12892.5277371198,12179.4928901181
"575",2021-01-08,11755.2031508688,12466.3116074346,13208.5959982419,12478.737734126
"576",2021-01-15,12034.7502239706,12768.7576193233,13530.4089774616,12779.3262318836
"577",2021-01-22,12329.0613758099,13065.8108462407,13849.1176559964,13076.305719206
"578",2021-01-29,12599.3385429141,13363.3676011702,14176.0265084986,13373.6096117531
"579",2021-02-05,12890.4959637853,13664.0987984008,14489.2909500011,13673.1461571946
"580",2021-02-12,13171.1021954405,13954.9061542235,14799.9673579469,13968.5766772958
"581",2021-02-19,13448.4247324958,14244.7422294951,15111.2118113448,14256.6711793337
"582",2021-02-26,13719.1024667908,14529.6971322456,15421.6657411871,14544.300904303
"583",2021-03-05,13979.1025689299,14818.1413739401,15725.0760968051,14829.5583511204
"584",2021-03-12,14247.1598749192,15112.4818933892,16031.4544144101,15122.3713495431
"585",2021-03-19,14486.4159835107,15362.4197549707,16312.4652803477,15377.6157000672
"586",2021-03-26,14739.6087005761,15635.8926455116,16606.3788050693,15646.6088875399
"587",2021-04-02,15014.7177636976,15918.0123433554,16906.8072233966,15928.0376410722
"588",2021-04-09,15273.6159799116,16197.2472822975,17200.8209702791,16206.4375893823
"589",2021-04-16,15538.9273811513,16472.6211179131,17502.7307629378,16488.1674706746
"590",2021-04-23,15807.8402067175,16764.1235432765,17828.5332387348,16779.7569423359
"591",2021-04-30,16061.9748913226,17036.986528053,18130.3352993659,17055.3413349673
"592",2021-05-07,16319.4371455605,17327.5911405741,18434.8188244935,17341.3819511443
"593",2021-05-14,16588.8955809784,17616.2197974606,18748.7780983925,17632.9459750626
"594",2021-05-21,16814.684984336,17870.4277159803,19028.4312663963,17889.9044711393
"595",2021-05-28,17032.3621698313,18130.3067816025,19297.9875595409,18141.8467068249
"596",2021-06-04,17293.7427832555,18405.1334677967,19594.4153253695,18418.3796549757
"597",2021-06-11,17544.8464149449,18679.6407219782,19893.1388865058,18693.6987686905
"598",2021-06-18,17799.2907409999,18961.9340252088,20200.8162621494,18974.2697973944
"599",2021-06-25,18053.8798505067,19235.6959157082,20503.8518527666,19247.0752375486
"600",2021-07-02,18294.865540826,19504.2814130826,20779.9274608793,19513.0088970368
"601",2021-07-09,18553.7232832305,19776.881718614,21083.2514418533,19786.0807072319
"602",2021-07-16,18814.3537220294,20047.2917802574,21373.7999333442,20056.730294768
"603",2021-07-23,19061.6866417847,20329.3096543799,21686.9897723448,20339.6421264074
"604",2021-07-30,19284.3735943735,20591.9676966238,21979.6860449169,20601.1207471909
"605",2021-08-06,19544.7558369395,20862.2705720841,22266.7664520257,20868.9119453792
"606",2021-08-13,19776.7926290629,21134.5223735216,22564.5674252581,21134.0692309396
"607",2021-08-20,20002.7664563193,21376.0052982751,22834.3436279048,21379.694142196
"608",2021-08-27,20211.4695555988,21616.1081222994,23093.1676754436,21615.4142272451
"609",2021-09-03,20479.2252637141,21883.4472517952,23380.751247362,21887.0715637238
"610",2021-09-10,20734.0514455108,22160.2337093195,23691.789359215,22161.9941530596
"611",2021-09-17,20971.621315025,22429.4124994572,23981.3124323645,22432.0683561505
"612",2021-09-24,21215.3060807236,22696.3474109254,24278.1437633006,22699.7705318071
"613",2021-10-01,21472.947287705,22975.2656230498,24588.6271932129,22980.3485221205
"614",2021-10-08,21719.0330212747,23239.3068247295,24885.0210269127,23247.7421806866
"615",2021-10-15,21980.0586633973,23519.495326816,25190.7019369038,23529.12777001
"616",2021-10-22,22235.4505388446,23793.975589849,25490.5674864195,23806.9184447957
"617",2021-10-29,22486.6746702189,24072.7083969293,25798.229164764,24087.0498030897
"618",2021-11-05,22757.62689501,24363.8055105528,26113.0647253564,24376.5228512145
"619",2021-11-12,23020.0048705913,24648.9591620188,26427.7543232822,24665.808885139
"620",2021-11-19,23296.2888956233,24940.0728696476,26747.0599599948,24952.4778159157
"621",2021-11-26,23562.739679936,25244.7752582939,27075.147695359,25253.6870836465
"622",2021-12-03,23809.3232694067,25542.4134714552,27391.2588402337,25553.7535216311
"623",2021-12-10,24083.3205039681,25853.8012804103,27715.8855986517,25864.1292220964
"624",2021-12-17,24299.5866550336,26097.7407784786,27982.6756208703,26108.9204202318
"625",2021-12-24,24454.8200175013,26284.4181194374,28178.2170899441,26297.5023987351
"626",2021-12-31,24697.5834961524,26541.9605437119,28459.9055189343,26556.5064210711
"627",2022-01-07,24977.6493385799,26835.8422159453,28776.3250982357,26851.9610161689
"628",2022-01-14,25248.7828375314,27136.8036361413,29117.9185847503,27148.7462358117
"629",2022-01-21,25507.2143130593,27427.5817262531,29457.9062144897,27441.98915644
"630",2022-01-28,25783.2376860682,27726.1204681286,29776.0945796859,27735.5411559861
"631",2022-02-04,26061.0297621477,28015.2575288528,30102.8124560047,28031.3242158908
"632",2022-02-11,26330.550016538,28312.1199100716,30415.0212656449,28322.9143783411
"633",2022-02-18,26599.2722408193,28596.9343573555,30731.7720878281,28607.1611333169
"634",2022-02-25,26863.8017584842,28883.2753186361,31029.5126552383,28890.951968789
