"","Week.ended","signal","Female.75.84","fit","upr","lwr"
"1",2010-01-08,1525.11584639482,1948,NA,NA,NA
"2",2010-01-15,1859.00051855195,1958,NA,NA,NA
"3",2010-01-22,1811.20735665615,1746,NA,NA,NA
"4",2010-01-29,1691.08052958715,1672,NA,NA,NA
"5",2010-02-05,1598.80932053497,1488,NA,NA,NA
"6",2010-02-12,1534.17844655736,1391,NA,NA,NA
"7",2010-02-19,1534.24006493765,1494,NA,NA,NA
"8",2010-02-26,1527.44997263658,1555,NA,NA,NA
"9",2010-03-05,1495.05062945264,1474,NA,NA,NA
"10",2010-03-12,1464.75829354284,1471,NA,NA,NA
"11",2010-03-19,1477.60271652759,1427,NA,NA,NA
"12",2010-03-26,1456.37692210867,1382,NA,NA,NA
"13",2010-04-02,1336.47763538791,1149,NA,NA,NA
"14",2010-04-09,1336.59883575664,1420,NA,NA,NA
"15",2010-04-16,1400.47485106381,1447,NA,NA,NA
"16",2010-04-23,1386.70790161291,1327,NA,NA,NA
"17",2010-04-30,1343.94944574818,1334,NA,NA,NA
"18",2010-05-07,1366.04233940303,1247,NA,NA,NA
"19",2010-05-14,1306.23903192429,1462,NA,NA,NA
"20",2010-05-21,1324.93526314489,1314,NA,NA,NA
"21",2010-05-28,1332.51765652461,1381,NA,NA,NA
"22",2010-06-04,1239.18796980271,1207,NA,NA,NA
"23",2010-06-11,1221.1949521991,1303,NA,NA,NA
"24",2010-06-18,1305.41311395457,1203,NA,NA,NA
"25",2010-06-25,1257.74783881276,1219,NA,NA,NA
"26",2010-07-02,1238.45088457,1348,NA,NA,NA
"27",2010-07-09,1243.88537020343,1258,NA,NA,NA
"28",2010-07-16,1224.22141918787,1229,NA,NA,NA
"29",2010-07-23,1243.88871987065,1195,NA,NA,NA
"30",2010-07-30,1214.88245121837,1176,NA,NA,NA
"31",2010-08-06,1225.04925709718,1213,NA,NA,NA
"32",2010-08-13,1232.74156413447,1220,NA,NA,NA
"33",2010-08-20,1217.48382009863,1232,NA,NA,NA
"34",2010-08-27,1241.51345928359,1212,NA,NA,NA
"35",2010-09-03,1192.38532132221,1139,NA,NA,NA
"36",2010-09-10,1211.54240465591,1311,NA,NA,NA
"37",2010-09-17,1261.58729452415,1200,NA,NA,NA
"38",2010-09-24,1278.30704587616,1348,NA,NA,NA
"39",2010-10-01,1291.06569672383,1245,NA,NA,NA
"40",2010-10-08,1307.15108747464,1384,NA,NA,NA
"41",2010-10-15,1330.52267595155,1291,NA,NA,NA
"42",2010-10-22,1352.78994752069,1343,NA,NA,NA
"43",2010-10-29,1371.30293617248,1407,NA,NA,NA
"44",2010-11-05,1357.85533739625,1392,NA,NA,NA
"45",2010-11-12,1398.5019718763,1340,NA,NA,NA
"46",2010-11-19,1415.61451437101,1371,NA,NA,NA
"47",2010-11-26,1419.40255047479,1449,NA,NA,NA
"48",2010-12-03,1421.04539773746,1351,NA,NA,NA
"49",2010-12-10,1473.96179151378,1574,NA,NA,NA
"50",2010-12-17,1521.84548835604,1551,NA,NA,NA
"51",2010-12-24,1597.5996380337,1722,NA,NA,NA
"52",2010-12-31,1405.36077844056,1466,NA,NA,NA
"53",2011-01-07,1487.56895247661,1872,NA,NA,NA
"54",2011-01-14,1817.03129617094,1923,NA,NA,NA
"55",2011-01-21,1764.56969834089,1673,NA,NA,NA
"56",2011-01-28,1640.70538127372,1479,NA,NA,NA
"57",2011-02-04,1549.73326158539,1426,NA,NA,NA
"58",2011-02-11,1486.85786626144,1419,NA,NA,NA
"59",2011-02-18,1486.01513174591,1434,NA,NA,NA
"60",2011-02-25,1478.73650509519,1389,NA,NA,NA
"61",2011-03-04,1449.99042278057,1364,NA,NA,NA
"62",2011-03-11,1425.64459761191,1381,NA,NA,NA
"63",2011-03-18,1446.23250364557,1471,NA,NA,NA
"64",2011-03-25,1430.08860802695,1458,NA,NA,NA
"65",2011-04-01,1311.65906412114,1359,NA,NA,NA
"66",2011-04-08,1304.95774718415,1344,NA,NA,NA
"67",2011-04-15,1363.5777125661,1317,NA,NA,NA
"68",2011-04-22,1347.84249891065,1195,NA,NA,NA
"69",2011-04-29,1306.4046852633,1194,NA,NA,NA
"70",2011-05-06,1333.43627183825,1373,NA,NA,NA
"71",2011-05-13,1272.97072562472,1436,NA,NA,NA
"72",2011-05-20,1290.74804894612,1256,NA,NA,NA
"73",2011-05-27,1298.25244668073,1284,NA,NA,NA
"74",2011-06-03,1207.06014785762,1123,NA,NA,NA
"75",2011-06-10,1193.03630509853,1307,NA,NA,NA
"76",2011-06-17,1280.08800806676,1214,NA,NA,NA
"77",2011-06-24,1233.97350836112,1310,NA,NA,NA
"78",2011-07-01,1212.17424892233,1145,NA,NA,NA
"79",2011-07-08,1221.3471457507,1250,NA,NA,NA
"80",2011-07-15,1204.90821068114,1249,NA,NA,NA
"81",2011-07-22,1226.4122412414,1230,NA,NA,NA
"82",2011-07-29,1197.3895755667,1184,NA,NA,NA
"83",2011-08-05,1206.63974235541,1294,NA,NA,NA
"84",2011-08-12,1209.90491473039,1239,NA,NA,NA
"85",2011-08-19,1188.74263849264,1177,NA,NA,NA
"86",2011-08-26,1207.79503564449,1171,NA,NA,NA
"87",2011-09-02,1153.9467934264,1132,NA,NA,NA
"88",2011-09-09,1167.27356878432,1268,NA,NA,NA
"89",2011-09-16,1211.44334367095,1226,NA,NA,NA
"90",2011-09-23,1219.59907241497,1171,NA,NA,NA
"91",2011-09-30,1227.97100336531,1210,NA,NA,NA
"92",2011-10-07,1238.67755292238,1301,NA,NA,NA
"93",2011-10-14,1257.18328020319,1212,NA,NA,NA
"94",2011-10-21,1274.78458619197,1185,NA,NA,NA
"95",2011-10-28,1291.4564980639,1295,NA,NA,NA
"96",2011-11-04,1277.30327656315,1337,NA,NA,NA
"97",2011-11-11,1316.34195621646,1301,NA,NA,NA
"98",2011-11-18,1330.32241368156,1306,NA,NA,NA
"99",2011-11-25,1330.26178013296,1344,NA,NA,NA
"100",2011-12-02,1328.61600227861,1334,NA,NA,NA
"101",2011-12-09,1375.58009674674,1362,NA,NA,NA
"102",2011-12-16,1421.5237516435,1518,NA,NA,NA
"103",2011-12-23,1492.96049480188,1565,NA,NA,NA
"104",2011-12-30,1298.25327257946,1249,NA,NA,NA
"105",2012-01-06,1381.87377000608,1532,NA,NA,NA
"106",2012-01-13,1721.02255478106,1623,NA,NA,NA
"107",2012-01-20,1685.45103856833,1477,NA,NA,NA
"108",2012-01-27,1582.60428959109,1433,NA,NA,NA
"109",2012-02-03,1512.22240637476,1426,NA,NA,NA
"110",2012-02-10,1468.61260881524,1402,NA,NA,NA
"111",2012-02-17,1486.99149769447,1517,NA,NA,NA
"112",2012-02-24,1496.03795475713,1612,NA,NA,NA
"113",2012-03-02,1476.35302521275,1600,NA,NA,NA
"114",2012-03-09,1453.66532748172,1474,NA,NA,NA
"115",2012-03-16,1473.61671701807,1439,NA,NA,NA
"116",2012-03-23,1458.93336793122,1401,NA,NA,NA
"117",2012-03-30,1344.99584747693,1348,NA,NA,NA
"118",2012-04-06,1344.35223995282,1183,NA,NA,NA
"119",2012-04-13,1416.10654097796,1450,NA,NA,NA
"120",2012-04-20,1410.66394613118,1568,NA,NA,NA
"121",2012-04-27,1368.56526822842,1403,NA,NA,NA
"122",2012-05-04,1389.75058023117,1434,NA,NA,NA
"123",2012-05-11,1323.27329138454,1278,NA,NA,NA
"124",2012-05-18,1342.39475985364,1395,NA,NA,NA
"125",2012-05-25,1348.15855440601,1365,NA,NA,NA
"126",2012-06-01,1254.12761896355,1335,NA,NA,NA
"127",2012-06-08,1231.44079858613,991,NA,NA,NA
"128",2012-06-15,1322.34477872224,1461,NA,NA,NA
"129",2012-06-22,1272.85236094688,1288,NA,NA,NA
"130",2012-06-29,1249.82502737433,1231,NA,NA,NA
"131",2012-07-06,1256.06247096539,1271,NA,NA,NA
"132",2012-07-13,1237.17241847448,1233,NA,NA,NA
"133",2012-07-20,1257.92970858571,1283,NA,NA,NA
"134",2012-07-27,1227.40167954784,1231,NA,NA,NA
"135",2012-08-03,1234.54658130491,1259,NA,NA,NA
"136",2012-08-10,1237.92794783319,1225,NA,NA,NA
"137",2012-08-17,1218.36584514471,1257,NA,NA,NA
"138",2012-08-24,1237.23943613295,1289,NA,NA,NA
"139",2012-08-31,1180.0851816605,1077,NA,NA,NA
"140",2012-09-07,1192.97122333797,1268,NA,NA,NA
"141",2012-09-14,1237.60773806679,1185,NA,NA,NA
"142",2012-09-21,1248.60201492258,1210,NA,NA,NA
"143",2012-09-28,1259.45946312889,1231,NA,NA,NA
"144",2012-10-05,1273.02191392033,1228,NA,NA,NA
"145",2012-10-12,1298.17424501529,1392,NA,NA,NA
"146",2012-10-19,1317.51326250752,1309,NA,NA,NA
"147",2012-10-26,1333.05291289606,1380,NA,NA,NA
"148",2012-11-02,1316.23469842292,1331,NA,NA,NA
"149",2012-11-09,1354.19506981811,1330,NA,NA,NA
"150",2012-11-16,1367.40985324505,1383,NA,NA,NA
"151",2012-11-23,1365.17409438944,1307,NA,NA,NA
"152",2012-11-30,1363.89266505453,1319,NA,NA,NA
"153",2012-12-07,1412.99655179634,1369,NA,NA,NA
"154",2012-12-14,1462.1541097403,1471,NA,NA,NA
"155",2012-12-21,1539.89928854562,1612,NA,NA,NA
"156",2012-12-28,1351.49834056444,1171,NA,NA,NA
"157",2013-01-04,1446.05983186889,1727,NA,NA,NA
"158",2013-01-11,1791.53011557889,1788,NA,NA,NA
"159",2013-01-18,1758.94324176095,1562,NA,NA,NA
"160",2013-01-25,1658.67475486526,1573,NA,NA,NA
"161",2013-02-01,1588.61355960217,1554,NA,NA,NA
"162",2013-02-08,1543.50196219326,1598,NA,NA,NA
"163",2013-02-15,1556.10221323811,1551,NA,NA,NA
"164",2013-02-22,1560.609913898,1563,NA,NA,NA
"165",2013-03-01,1540.39684867191,1464,NA,NA,NA
"166",2013-03-08,1524.24525813701,1577,NA,NA,NA
"167",2013-03-15,1549.58788950945,1624,NA,NA,NA
"168",2013-03-22,1536.44559531022,1581,NA,NA,NA
"169",2013-03-29,1420.42993018373,1325,NA,NA,NA
"170",2013-04-05,1421.18422766332,1527,NA,NA,NA
"171",2013-04-12,1484.90180234304,1709,NA,NA,NA
"172",2013-04-19,1464.70569056466,1614,NA,NA,NA
"173",2013-04-26,1408.13747768414,1452,NA,NA,NA
"174",2013-05-03,1414.5203266484,1325,NA,NA,NA
"175",2013-05-10,1337.96444957259,1193,NA,NA,NA
"176",2013-05-17,1350.52777119399,1367,NA,NA,NA
"177",2013-05-24,1351.00940114897,1332,NA,NA,NA
"178",2013-05-31,1252.96231914651,1207,NA,NA,NA
"179",2013-06-07,1230.73832642553,1389,NA,NA,NA
"180",2013-06-14,1308.02556379877,1253,NA,NA,NA
"181",2013-06-21,1251.75594513138,1235,NA,NA,NA
"182",2013-06-28,1223.07803714024,1215,NA,NA,NA
"183",2013-07-05,1223.28539272458,1212,NA,NA,NA
"184",2013-07-12,1199.29127476077,1200,NA,NA,NA
"185",2013-07-19,1214.77212924482,1218,NA,NA,NA
"186",2013-07-26,1179.7389963905,1183,NA,NA,NA
"187",2013-08-02,1182.39070616154,1120,NA,NA,NA
"188",2013-08-09,1184.3456486744,1124,NA,NA,NA
"189",2013-08-16,1165.03160583939,1132,NA,NA,NA
"190",2013-08-23,1186.6840238441,1261,NA,NA,NA
"191",2013-08-30,1131.51208636414,1104,NA,NA,NA
"192",2013-09-06,1143.7116963021,1221,NA,NA,NA
"193",2013-09-13,1187.58198753631,1092,NA,NA,NA
"194",2013-09-20,1199.32761105034,1179,NA,NA,NA
"195",2013-09-27,1210.29107318146,1274,NA,NA,NA
"196",2013-10-04,1220.70475161643,1272,NA,NA,NA
"197",2013-10-11,1239.30701649812,1208,NA,NA,NA
"198",2013-10-18,1256.51484097422,1277,NA,NA,NA
"199",2013-10-25,1268.89926326649,1221,NA,NA,NA
"200",2013-11-01,1252.27517507107,1254,NA,NA,NA
"201",2013-11-08,1290.8901773109,1317,NA,NA,NA
"202",2013-11-15,1302.98315093828,1330,NA,NA,NA
"203",2013-11-22,1299.22206569862,1345,NA,NA,NA
"204",2013-11-29,1292.74440244742,1323,NA,NA,NA
"205",2013-12-06,1333.99830886014,1367,NA,NA,NA
"206",2013-12-13,1372.58681082518,1381,NA,NA,NA
"207",2013-12-20,1439.77821383121,1460,NA,NA,NA
"208",2013-12-27,1242.65551526463,897,NA,NA,NA
"209",2014-01-03,1334.32753000706,1608,NA,NA,NA
"210",2014-01-10,1677.16498484316,1647,NA,NA,NA
"211",2014-01-17,1642.88585198371,1556,NA,NA,NA
"212",2014-01-24,1537.03859698843,1422,NA,NA,NA
"213",2014-01-31,1462.43557297732,1396,NA,NA,NA
"214",2014-02-07,1413.90589274494,1419,NA,NA,NA
"215",2014-02-14,1424.8326855116,1424,NA,NA,NA
"216",2014-02-21,1427.51615602585,1438,NA,NA,NA
"217",2014-02-28,1405.19304192493,1401,NA,NA,NA
"218",2014-03-07,1384.38163507553,1389,NA,NA,NA
"219",2014-03-14,1406.76431295389,1413,NA,NA,NA
"220",2014-03-21,1393.06961179425,1416,NA,NA,NA
"221",2014-03-28,1277.26515890738,1351,NA,NA,NA
"222",2014-04-04,1272.25687243529,1347,NA,NA,NA
"223",2014-04-11,1331.30914627725,1229,NA,NA,NA
"224",2014-04-18,1317.97431176182,1092,NA,NA,NA
"225",2014-04-25,1281.51941581601,1337,NA,NA,NA
"226",2014-05-02,1307.60530755911,1460,NA,NA,NA
"227",2014-05-09,1242.20961289738,1181,NA,NA,NA
"228",2014-05-16,1262.97544246814,1270,NA,NA,NA
"229",2014-05-23,1271.9932104909,1254,NA,NA,NA
"230",2014-05-30,1182.44638133121,1062,NA,NA,NA
"231",2014-06-06,1171.3529326397,1293,NA,NA,NA
"232",2014-06-13,1261.06370308203,1244,NA,NA,NA
"233",2014-06-20,1215.87705220378,1242,NA,NA,NA
"234",2014-06-27,1196.76790921991,1180,NA,NA,NA
"235",2014-07-04,1206.85089940585,1185,NA,NA,NA
"236",2014-07-11,1193.10552081654,1168,NA,NA,NA
"237",2014-07-18,1219.74670544902,1239,NA,NA,NA
"238",2014-07-25,1195.30798931498,1254,NA,NA,NA
"239",2014-08-01,1206.59665423526,1234,NA,NA,NA
"240",2014-08-08,1214.01761174622,1210,NA,NA,NA
"241",2014-08-15,1198.18044509556,1179,NA,NA,NA
"242",2014-08-22,1222.82060664388,1157,NA,NA,NA
"243",2014-08-29,1175.58512264443,1148,NA,NA,NA
"244",2014-09-05,1195.72376522788,1360,NA,NA,NA
"245",2014-09-12,1244.46124283947,1272,NA,NA,NA
"246",2014-09-19,1256.72623119459,1286,NA,NA,NA
"247",2014-09-26,1266.45746100013,1273,NA,NA,NA
"248",2014-10-03,1277.65765100783,1260,NA,NA,NA
"249",2014-10-10,1299.48139406112,1257,NA,NA,NA
"250",2014-10-17,1320.30530282935,1285,NA,NA,NA
"251",2014-10-24,1338.27596458274,1313,NA,NA,NA
"252",2014-10-31,1326.43920851987,1366,NA,NA,NA
"253",2014-11-07,1368.50542337295,1307,NA,NA,NA
"254",2014-11-14,1387.14360855482,1404,NA,NA,NA
"255",2014-11-21,1390.28653595191,1293,NA,NA,NA
"256",2014-11-28,1395.76498915942,1379,NA,NA,NA
"257",2014-12-05,1450.63547241923,1386,NA,NA,NA
"258",2014-12-12,1506.28845892157,1423,NA,NA,NA
"259",2014-12-19,1593.78265046875,1600,NA,NA,NA
"260",2014-12-26,1417.45728578875,1102,NA,NA,NA
"261",2015-01-02,1528.86022994794,1683,NA,NA,NA
"262",2015-01-09,1895.64972940258,2199,NA,NA,NA
"263",2015-01-16,1873.54505799435,2087,NA,NA,NA
"264",2015-01-23,1769.26618685099,1934,NA,NA,NA
"265",2015-01-30,1686.35181023428,1777,NA,NA,NA
"266",2015-02-06,1623.96360361711,1604,NA,NA,NA
"267",2015-02-13,1621.9167448854,1572,NA,NA,NA
"268",2015-02-20,1613.35989268321,1596,NA,NA,NA
"269",2015-02-27,1580.77971500864,1606,NA,NA,NA
"270",2015-03-06,1548.67255775391,1590,NA,NA,NA
"271",2015-03-13,1558.4631600841,1499,NA,NA,NA
"272",2015-03-20,1534.4964380768,1459,NA,NA,NA
"273",2015-03-27,1411.89575776858,1444,NA,NA,NA
"274",2015-04-03,1401.5613650537,1278,NA,NA,NA
"275",2015-04-10,1462.29035371178,1436,NA,NA,NA
"276",2015-04-17,1447.94774616037,1602,NA,NA,NA
"277",2015-04-24,1397.06501794845,1441,NA,NA,NA
"278",2015-05-01,1409.13079277613,1354,NA,NA,NA
"279",2015-05-08,1337.04342756421,1208,NA,NA,NA
"280",2015-05-15,1353.51303441142,1433,NA,NA,NA
"281",2015-05-22,1355.67568015965,1321,NA,NA,NA
"282",2015-05-29,1259.86284472763,1161,NA,NA,NA
"283",2015-06-05,1241.7412000491,1410,NA,NA,NA
"284",2015-06-12,1322.77775217647,1306,NA,NA,NA
"285",2015-06-19,1268.90678506265,1320,NA,NA,NA
"286",2015-06-26,1240.23153889894,1243,NA,NA,NA
"287",2015-07-03,1240.05852874894,1259,NA,NA,NA
"288",2015-07-10,1214.61662939721,1165,NA,NA,NA
"289",2015-07-17,1230.42686572647,1163,NA,NA,NA
"290",2015-07-24,1198.21817910049,1174,NA,NA,NA
"291",2015-07-31,1204.66472057536,1143,NA,NA,NA
"292",2015-08-07,1210.38885771705,1227,NA,NA,NA
"293",2015-08-14,1192.1263976745,1212,NA,NA,NA
"294",2015-08-21,1212.96213164136,1221,NA,NA,NA
"295",2015-08-28,1159.31402053206,1249,NA,NA,NA
"296",2015-09-04,1168.89878568585,1091,NA,NA,NA
"297",2015-09-11,1215.6344277848,1175,NA,NA,NA
"298",2015-09-18,1228.3050127983,1233,NA,NA,NA
"299",2015-09-25,1239.30980149114,1316,NA,NA,NA
"300",2015-10-02,1249.30639265382,1225,NA,NA,NA
"301",2015-10-09,1270.1613270446,1349,NA,NA,NA
"302",2015-10-16,1285.73219380313,1317,NA,NA,NA
"303",2015-10-23,1296.09888561932,1290,NA,NA,NA
"304",2015-10-30,1275.9809502901,1257,NA,NA,NA
"305",2015-11-06,1311.83329830471,1399,NA,NA,NA
"306",2015-11-13,1319.00748703907,1305,NA,NA,NA
"307",2015-11-20,1311.77632883916,1281,NA,NA,NA
"308",2015-11-27,1304.53198980741,1249,NA,NA,NA
"309",2015-12-04,1348.04867839804,1445,NA,NA,NA
"310",2015-12-11,1386.64167876235,1366,NA,NA,NA
"311",2015-12-18,1454.86360856654,1421,NA,NA,NA
"312",2015-12-25,1260.68138011927,1191,NA,NA,NA
"313",2016-01-01,1345.54825881854,1058,NA,NA,NA
"314",2016-01-08,1701.3992326834,1830,NA,NA,NA
"315",2016-01-15,1674.52704817962,1574,NA,NA,NA
"316",2016-01-22,1576.5684596026,1593,NA,NA,NA
"317",2016-01-29,1505.21143439014,1504,NA,NA,NA
"318",2016-02-05,1457.62446186494,1498,NA,NA,NA
"319",2016-02-12,1468.24805235513,1419,NA,NA,NA
"320",2016-02-19,1472.33803551683,1366,NA,NA,NA
"321",2016-02-26,1455.54682077062,1477,NA,NA,NA
"322",2016-03-04,1439.36165604542,1471,NA,NA,NA
"323",2016-03-11,1465.41640665089,1458,NA,NA,NA
"324",2016-03-18,1455.87588110962,1474,NA,NA,NA
"325",2016-03-25,1344.3953299201,1276,NA,NA,NA
"326",2016-04-01,1348.73005561296,1442,NA,NA,NA
"327",2016-04-08,1416.47109530762,1500,NA,NA,NA
"328",2016-04-15,1405.26243898137,1478,NA,NA,NA
"329",2016-04-22,1360.38516649645,1472,NA,NA,NA
"330",2016-04-29,1376.06638620087,1393,NA,NA,NA
"331",2016-05-06,1305.04962113071,1173,NA,NA,NA
"332",2016-05-13,1322.69598726582,1431,NA,NA,NA
"333",2016-05-20,1325.01776218203,1323,NA,NA,NA
"334",2016-05-27,1228.21079129582,1256,NA,NA,NA
"335",2016-06-03,1204.62248683842,1065,NA,NA,NA
"336",2016-06-10,1291.06473780223,1340,NA,NA,NA
"337",2016-06-17,1240.27891452972,1240,NA,NA,NA
"338",2016-06-24,1216.50294069892,1216,NA,NA,NA
"339",2016-07-01,1221.34472745272,1204,NA,NA,NA
"340",2016-07-08,1202.19901683348,1208,NA,NA,NA
"341",2016-07-15,1222.34845333096,1254,NA,NA,NA
"342",2016-07-22,1190.98016367593,1179,NA,NA,NA
"343",2016-07-29,1197.83493525048,1208,NA,NA,NA
"344",2016-08-05,1201.4307430489,1172,NA,NA,NA
"345",2016-08-12,1182.66585270317,1193,NA,NA,NA
"346",2016-08-19,1203.33602768874,1241,NA,NA,NA
"347",2016-08-26,1148.47615686959,1200,NA,NA,NA
"348",2016-09-02,1158.19680002194,1029,NA,NA,NA
"349",2016-09-09,1206.8798313481,1261,NA,NA,NA
"350",2016-09-16,1218.15169136522,1231,NA,NA,NA
"351",2016-09-23,1227.46983293606,1160,NA,NA,NA
"352",2016-09-30,1240.87056887323,1179,NA,NA,NA
"353",2016-10-07,1266.45616969625,1256,NA,NA,NA
"354",2016-10-14,1289.91101422312,1302,NA,NA,NA
"355",2016-10-21,1308.8389546337,1239,NA,NA,NA
"356",2016-10-28,1299.53315133421,1306,NA,NA,NA
"357",2016-11-04,1345.2989811257,1382,NA,NA,NA
"358",2016-11-11,1364.16877034614,1378,NA,NA,NA
"359",2016-11-18,1367.65013076191,1426,NA,NA,NA
"360",2016-11-25,1367.97095443598,1441,NA,NA,NA
"361",2016-12-02,1414.51286861871,1404,NA,NA,NA
"362",2016-12-09,1459.92602874135,1500,NA,NA,NA
"363",2016-12-16,1532.82403761787,1443,NA,NA,NA
"364",2016-12-23,1345.29404554452,1488,NA,NA,NA
"365",2016-12-30,1429.31302544897,1065,NA,NA,NA
"366",2017-01-06,1787.0269313088,1647,NA,NA,NA
"367",2017-01-13,1771.50385674835,1871,NA,NA,NA
"368",2017-01-20,1677.83086382546,1799,NA,NA,NA
"369",2017-01-27,1607.06078562996,1759,NA,NA,NA
"370",2017-02-03,1554.6524782711,1655,NA,NA,NA
"371",2017-02-10,1558.33691468859,1729,NA,NA,NA
"372",2017-02-17,1547.72191696445,1523,NA,NA,NA
"373",2017-02-24,1513.34357244007,1534,NA,NA,NA
"374",2017-03-03,1479.59941400814,1496,NA,NA,NA
"375",2017-03-10,1488.63326911606,1450,NA,NA,NA
"376",2017-03-17,1463.1742240193,1442,NA,NA,NA
"377",2017-03-24,1337.16291438687,1328,NA,NA,NA
"378",2017-03-31,1324.87517911719,1319,NA,NA,NA
"379",2017-04-07,1379.49491684777,1257,NA,NA,NA
"380",2017-04-14,1362.44037595755,1142,NA,NA,NA
"381",2017-04-21,1322.07035112446,1305,NA,NA,NA
"382",2017-04-28,1346.80313973629,1445,NA,NA,NA
"383",2017-05-05,1281.96825582141,1212,NA,NA,NA
