"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,1690.94104757407,1781.96618455843,1870.08665066384,1781.14531058722
"532",2020-03-13,3390.42266128559,3533.98479070461,3679.40223378398,3535.13591447797
"533",2020-03-20,5019.11840640659,5205.46231654617,5415.3175530366,5204.41038675748
"534",2020-03-27,6608.92028675446,6860.50282869595,7152.35474002791,6862.88868055282
"535",2020-04-03,8325.74531410064,8633.82216957483,8993.73319801843,8642.1890406392
"536",2020-04-10,10014.3937236624,10393.2370318723,10803.3837061078,10399.8423617164
"537",2020-04-17,11666.7680922974,12091.5594053771,12551.5053101375,12099.5119604171
"538",2020-04-24,13339.2705961633,13836.4298083569,14354.8816616952,13836.4560867456
"539",2020-05-01,14912.512025834,15471.0297686644,16053.862190451,15477.1240486776
"540",2020-05-08,16563.0620747407,17159.2439566992,17775.2912811422,17171.6033786911
"541",2020-05-15,18217.5529216909,18884.5551874993,19575.0588441531,18897.6287171855
"542",2020-05-22,19764.3851502518,20486.6728142944,21245.7401867629,20503.1696975077
"543",2020-05-29,21250.7357524903,22045.6148587365,22897.3579952316,22070.4735515791
"544",2020-06-05,22892.0862722513,23740.3005280278,24679.7462788364,23763.8141537376
"545",2020-06-12,24473.0169011942,25356.6438323285,26370.2122344263,25383.8789896391
"546",2020-06-19,26053.6769967957,26977.9839445449,28060.7012476781,27005.4221662088
"547",2020-06-26,27589.0914378744,28609.2012935807,29795.5289615914,28631.747486767
"548",2020-07-03,29115.6576065508,30194.9719471506,31417.0054927018,30209.2258486988
"549",2020-07-10,30654.23774788,31792.727768297,33116.9254485897,31804.5487915477
"550",2020-07-17,32161.3404244288,33373.7569081214,34772.8766308531,33389.2514505792
"551",2020-07-24,33646.0428207195,34958.2477619786,36408.1854128077,34973.7193450941
"552",2020-07-31,35156.0774093378,36526.6443768304,38057.8829697377,36538.2903865635
"553",2020-08-07,36629.5992011849,38100.0356772706,39709.4803541715,38110.1983797352
"554",2020-08-14,38166.0691555921,39696.672878487,41373.8744041262,39708.4357511683
"555",2020-08-21,39575.5214382907,41210.8628022356,42955.7611591799,41219.3323992821
"556",2020-08-28,41052.2519408554,42747.8785780521,44570.4306992551,42758.6076123204
"557",2020-09-04,42582.2508296314,44366.5648307144,46284.0390893775,44366.956577478
"558",2020-09-11,44112.9050204006,45966.7550173136,47984.1899262866,45978.9760583756
"559",2020-09-18,45630.8197739078,47593.7433090912,49625.8797958178,47597.7010901992
"560",2020-09-25,47176.0257910622,49211.2689934543,51288.0255251215,49209.8469057339
"561",2020-10-02,48707.365393785,50847.5943935307,52994.7700226507,50851.4931253803
"562",2020-10-09,50293.8183472743,52486.5425206876,54707.0372035475,52495.480654617
"563",2020-10-16,51824.3068393435,54116.09197384,56401.8264710273,54146.227098991
"564",2020-10-23,53424.5658687285,55802.5829467667,58154.3290834557,55822.1806282251
"565",2020-10-30,55053.0164415036,57468.2421656622,59933.9054635798,57496.7508411128
"566",2020-11-06,56654.1556224846,59172.7571879836,61702.4447985844,59193.6386693774
"567",2020-11-13,58267.2346740577,60856.8011711091,63480.1530390052,60877.1654767256
"568",2020-11-20,59860.7226041046,62578.6186963996,65292.8002423253,62594.4774660216
"569",2020-11-27,61547.1012968873,64354.1364380134,67102.2965100752,64350.6707729702
"570",2020-12-04,63216.0687728782,66131.3722895635,68971.9144162687,66119.3783511425
"571",2020-12-11,65021.6029843308,67974.4973114253,70921.1421243987,67974.4231545332
"572",2020-12-18,66572.4293236428,69618.0266325249,72601.8591371917,69600.9991579965
"573",2020-12-25,68227.7455180146,71283.6980194558,74394.1714625976,71267.3076803301
"574",2021-01-01,70152.5951229287,73318.5954712753,76562.300515778,73309.7580596832
"575",2021-01-08,72071.9447527097,75350.3188603443,78657.3067313012,75351.7574424936
"576",2021-01-15,73957.905973684,77304.0745743985,80679.0019303891,77317.5887541283
"577",2021-01-22,75756.2824754791,79183.1665542809,82711.7073368283,79213.2169010488
"578",2021-01-29,77555.8621225825,81066.5750161478,84615.5586578579,81067.9748966441
"579",2021-02-05,79299.9760269087,82932.5982405871,86610.2240744168,82923.0612079503
"580",2021-02-12,81011.6991645637,84744.0287217693,88528.2714021166,84732.1620799542
"581",2021-02-19,82749.2903686474,86555.9846582636,90427.6549265051,86538.9771023706
"582",2021-02-26,84466.5817720264,88384.5763780033,92354.1116197567,88354.9122232742
"583",2021-03-05,86194.0450447601,90175.5268937105,94203.733008276,90152.7904175241
"584",2021-03-12,87872.2972382443,91954.7656061038,96101.2043816643,91923.1787244464
"585",2021-03-19,89461.5592451245,93657.7129180971,97858.7976445139,93608.8002643811
"586",2021-03-26,91052.2306085018,95332.2916504757,99624.6101567135,95283.2460254859
"587",2021-04-02,92735.8446445222,97141.5451406076,101525.300336312,97078.0441405572
"588",2021-04-09,94389.856001854,98938.4628304371,103375.90184909,98851.2222513234
"589",2021-04-16,95980.1333421128,100656.136186053,105203.135852918,100566.798864222
"590",2021-04-23,97620.064479508,102385.77122044,107133.002843493,102319.873084365
"591",2021-04-30,99178.9166283235,104032.26297412,108871.204998611,103976.45964013
"592",2021-05-07,100811.777697225,105755.025131533,110643.41145254,105686.907719452
"593",2021-05-14,102462.615278775,107482.98738518,112473.142132388,107428.96278204
"594",2021-05-21,103963.384484023,109095.824790628,114194.19218292,109050.151195964
"595",2021-05-28,105482.361172004,110700.868486502,115902.128612389,110633.204089127
"596",2021-06-04,107059.571239525,112401.269543527,117779.313844128,112342.55271491
"597",2021-06-11,108645.881188887,114053.386678824,119516.961042996,113978.44871837
"598",2021-06-18,110216.083255108,115668.401405799,121279.211188074,115615.705384954
"599",2021-06-25,111735.182909689,117296.471313081,123045.673844309,117257.861191589
"600",2021-07-02,113247.329967107,118874.663029427,124748.97716083,118851.803054843
"601",2021-07-09,114728.676798263,120495.607024662,126460.014236282,120463.54428973
"602",2021-07-16,116245.597316831,122085.638448601,128241.14628763,122064.924241812
"603",2021-07-23,117754.609447155,123685.237775256,129964.250452362,123666.037379138
"604",2021-07-30,119242.477048544,125248.256044122,131668.187517434,125247.128523487
"605",2021-08-06,120741.416105468,126831.123386724,133324.804356802,126835.60694787
"606",2021-08-13,122271.128690793,128464.607800233,135040.125546711,128450.792930962
"607",2021-08-20,123724.086960111,129976.393469701,136708.133722311,129978.11762537
"608",2021-08-27,125121.346181571,131522.123453932,138398.015788998,131534.095469411
"609",2021-09-03,126697.953115985,133140.007040083,140187.580515276,133159.06020576
"610",2021-09-10,128216.66094285,134759.210673627,141949.026235412,134788.266910493
"611",2021-09-17,129786.883743168,136382.375996163,143596.003171404,136424.249604953
"612",2021-09-24,131346.234020651,138025.058279486,145353.81128147,138053.452907982
"613",2021-10-01,132908.973319919,139693.319712376,147135.03835791,139712.395090648
"614",2021-10-08,134449.952854204,141347.475355776,148942.669082953,141373.699125931
"615",2021-10-15,136010.581434841,143030.742291875,150792.876834597,143041.849647644
"616",2021-10-22,137528.221238715,144738.959571775,152585.714763618,144734.770487109
"617",2021-10-29,139118.895161945,146397.332876826,154378.065142911,146426.424666363
"618",2021-11-05,140749.292848502,148107.346209131,156203.792377876,148140.156390604
"619",2021-11-12,142345.570516286,149815.638558006,158042.968317307,149840.292179439
"620",2021-11-19,143972.210651025,151556.949495055,159914.344398574,151574.460436406
