"","Week.ended","signal","Female.Under.1.year","fit","upr","lwr"
"342",2016-07-22,21.7622884131305,18,NA,NA,NA
"343",2016-07-29,22.7978534730402,19,NA,NA,NA
"344",2016-08-05,25.3396401017144,27,NA,NA,NA
"345",2016-08-12,25.9787067615021,20,NA,NA,NA
"346",2016-08-19,26.527567620962,16,NA,NA,NA
"347",2016-08-26,20.4936745343688,25,NA,NA,NA
"348",2016-09-02,22.1523992741452,22,NA,NA,NA
"349",2016-09-09,24.1113736714111,18,NA,NA,NA
"350",2016-09-16,24.5803596006682,29,NA,NA,NA
"351",2016-09-23,24.5421053620636,28,NA,NA,NA
"352",2016-09-30,26.0981864685627,31,NA,NA,NA
"353",2016-10-07,29.1462375206711,27,NA,NA,NA
"354",2016-10-14,23.7978044968179,31,NA,NA,NA
"355",2016-10-21,24.2375729781312,25,NA,NA,NA
"356",2016-10-28,26.4760924665127,33,NA,NA,NA
"357",2016-11-04,22.5039246180547,21,NA,NA,NA
"358",2016-11-11,25.7342204692876,26,NA,NA,NA
"359",2016-11-18,24.7640809257275,26,NA,NA,NA
"360",2016-11-25,25.8919167238803,22,NA,NA,NA
"361",2016-12-02,24.1261281833627,23,NA,NA,NA
"362",2016-12-09,23.362184443857,28,NA,NA,NA
"363",2016-12-16,26.3906431262445,36,NA,NA,NA
"364",2016-12-23,22.053359949448,26,NA,NA,NA
"365",2016-12-30,19.863981703362,21.5,NA,NA,NA
"366",2017-01-06,21.4584622165152,21.5,NA,NA,NA
"367",2017-01-13,25.9165110469259,23,NA,NA,NA
"368",2017-01-20,23.8338831028413,26,NA,NA,NA
"369",2017-01-27,22.9295248505334,24,NA,NA,NA
"370",2017-02-03,25.3870493305542,28,NA,NA,NA
"371",2017-02-10,24.0221115080656,28,NA,NA,NA
"372",2017-02-17,23.1052026415358,16,NA,NA,NA
"373",2017-02-24,21.9272061053161,21,NA,NA,NA
"374",2017-03-03,21.023455772605,21,NA,NA,NA
"375",2017-03-10,20.0050475046014,25,NA,NA,NA
"376",2017-03-17,25.4022438729585,21,NA,NA,NA
"377",2017-03-24,21.6066519105307,28,NA,NA,NA
"378",2017-03-31,24.0005864911731,33,NA,NA,NA
"379",2017-04-07,22.97977840984,24,NA,NA,NA
"380",2017-04-14,22.3572990215901,18,NA,NA,NA
"381",2017-04-21,23.3419576747846,29,NA,NA,NA
"382",2017-04-28,24.5173474344716,29,NA,NA,NA
"383",2017-05-05,22.885393801007,19,NA,NA,NA
"384",2017-05-12,23.4598051431483,19,NA,NA,NA
"385",2017-05-19,23.2415224502436,18,NA,NA,NA
"386",2017-05-26,22.2318263161906,31,NA,NA,NA
"387",2017-06-02,19.6077663326889,20,NA,NA,NA
"388",2017-06-09,25.0830637997182,20,NA,NA,NA
"389",2017-06-16,23.8666882417584,30,NA,NA,NA
"390",2017-06-23,23.6402652132655,29,NA,NA,NA
"391",2017-06-30,20.8050619727999,18,NA,NA,NA
"392",2017-07-07,23.8744539296151,27,NA,NA,NA
"393",2017-07-14,21.9387256784121,26,NA,NA,NA
"394",2017-07-21,21.5963443275983,33,NA,NA,NA
"395",2017-07-28,22.5352817326458,17,NA,NA,NA
"396",2017-08-04,24.9832869272159,20,NA,NA,NA
"397",2017-08-11,25.539455644289,29,NA,NA,NA
"398",2017-08-18,25.9899553657507,23,NA,NA,NA
"399",2017-08-25,19.8453531732085,22,NA,NA,NA
"400",2017-09-01,21.397221280668,19,NA,NA,NA
"401",2017-09-08,23.2530164688188,19,NA,NA,NA
"402",2017-09-15,23.6157788647899,25,NA,NA,NA
"403",2017-09-22,23.4762736569581,20,NA,NA,NA
"404",2017-09-29,24.9424632121694,24,NA,NA,NA
"405",2017-10-06,27.9101966920541,28,NA,NA,NA
"406",2017-10-13,22.4777830579282,21,NA,NA,NA
"407",2017-10-20,22.8477902989043,32,NA,NA,NA
"408",2017-10-27,25.0028045701918,20,NA,NA,NA
"409",2017-11-03,20.9660143374009,10,NA,NA,NA
"410",2017-11-10,24.1471884133329,21,NA,NA,NA
"411",2017-11-17,23.1335181513427,22,NA,NA,NA
"412",2017-11-24,24.2217047964647,26,NA,NA,NA
"413",2017-12-01,22.406978273406,23,NA,NA,NA
"414",2017-12-08,21.5912802738335,20,NA,NA,NA
"415",2017-12-15,24.5781890782673,16,NA,NA,NA
"416",2017-12-22,20.2291505031101,27,NA,NA,NA
"417",2017-12-29,18.0233902943683,14,NA,NA,NA
"418",2018-01-05,19.6107599765631,14,NA,NA,NA
"419",2018-01-12,24.0709574588896,31,NA,NA,NA
"420",2018-01-19,21.9743493747312,26,NA,NA,NA
"421",2018-01-26,21.0529647308177,24,NA,NA,NA
"422",2018-02-02,23.4903886754018,17,NA,NA,NA
"423",2018-02-09,22.1202632287101,19,NA,NA,NA
"424",2018-02-16,21.209794790335,24,NA,NA,NA
"425",2018-02-23,20.0220282200082,8,NA,NA,NA
"426",2018-03-02,19.1266831722769,20,NA,NA,NA
"427",2018-03-09,18.1152111140402,21,NA,NA,NA
"428",2018-03-16,23.5228005206318,22,NA,NA,NA
"429",2018-03-23,19.7328845490464,11,NA,NA,NA
"430",2018-03-30,22.1572746169435,22,NA,NA,NA
"431",2018-04-06,21.181922329021,18,NA,NA,NA
"432",2018-04-13,20.611782603593,17,NA,NA,NA
"433",2018-04-20,21.6475596292957,25,NA,NA,NA
"434",2018-04-27,22.8778447532062,25,NA,NA,NA
"435",2018-05-04,21.3046534041851,22,NA,NA,NA
"436",2018-05-11,21.9303229520648,22,NA,NA,NA
"437",2018-05-18,21.7558783563769,23,NA,NA,NA
"438",2018-05-25,20.7793956651142,27,NA,NA,NA
"439",2018-06-01,18.1927225023385,19,NA,NA,NA
