"","Week.ended","signal","All.75.84","fit","upr","lwr"
"1",2010-01-08,3045.77810820647,3952,NA,NA,NA
"2",2010-01-15,3736.09245618558,3883,NA,NA,NA
"3",2010-01-22,3627.58203843284,3501,NA,NA,NA
"4",2010-01-29,3449.9281048854,3359,NA,NA,NA
"5",2010-02-05,3283.61547331461,3123,NA,NA,NA
"6",2010-02-12,3176.62630142167,3002,NA,NA,NA
"7",2010-02-19,3131.10465744683,3015,NA,NA,NA
"8",2010-02-26,3103.76417913824,3106,NA,NA,NA
"9",2010-03-05,3071.53900758932,3003,NA,NA,NA
"10",2010-03-12,2992.1709230977,2917,NA,NA,NA
"11",2010-03-19,3030.43162335377,2895,NA,NA,NA
"12",2010-03-26,2967.23765534481,2870,NA,NA,NA
"13",2010-04-02,2758.63632281309,2385,NA,NA,NA
"14",2010-04-09,2777.04996090772,2958,NA,NA,NA
"15",2010-04-16,2911.68067917752,3058,NA,NA,NA
"16",2010-04-23,2891.15867568632,2821,NA,NA,NA
"17",2010-04-30,2809.22375948245,2857,NA,NA,NA
"18",2010-05-07,2850.06759090677,2574,NA,NA,NA
"19",2010-05-14,2709.82390858169,2973,NA,NA,NA
"20",2010-05-21,2744.15123761962,2689,NA,NA,NA
"21",2010-05-28,2779.41921117928,2861,NA,NA,NA
"22",2010-06-04,2550.06031128993,2416,NA,NA,NA
"23",2010-06-11,2488.88945092236,2727,NA,NA,NA
"24",2010-06-18,2733.53525417331,2530,NA,NA,NA
"25",2010-06-25,2602.33584448172,2502,NA,NA,NA
"26",2010-07-02,2577.82123550702,2644,NA,NA,NA
"27",2010-07-09,2571.3379340404,2688,NA,NA,NA
"28",2010-07-16,2553.18415779073,2582,NA,NA,NA
"29",2010-07-23,2569.3731649907,2533,NA,NA,NA
"30",2010-07-30,2518.7442047335,2464,NA,NA,NA
"31",2010-08-06,2532.0437805431,2557,NA,NA,NA
"32",2010-08-13,2550.00095624524,2478,NA,NA,NA
"33",2010-08-20,2544.2000235807,2604,NA,NA,NA
"34",2010-08-27,2560.1201552486,2531,NA,NA,NA
"35",2010-09-03,2463.9065562015,2316,NA,NA,NA
"36",2010-09-10,2482.69289615191,2684,NA,NA,NA
"37",2010-09-17,2604.39073228314,2534,NA,NA,NA
"38",2010-09-24,2618.4825589445,2651,NA,NA,NA
"39",2010-10-01,2646.70705352358,2564,NA,NA,NA
"40",2010-10-08,2693.39192578647,2785,NA,NA,NA
"41",2010-10-15,2720.65163191356,2703,NA,NA,NA
"42",2010-10-22,2786.93644054877,2766,NA,NA,NA
"43",2010-10-29,2822.44406850724,2861,NA,NA,NA
"44",2010-11-05,2782.50473076713,2851,NA,NA,NA
"45",2010-11-12,2869.52778892086,2829,NA,NA,NA
"46",2010-11-19,2921.85647178479,2856,NA,NA,NA
"47",2010-11-26,2906.54425954496,2932,NA,NA,NA
"48",2010-12-03,2928.87478739717,2764,NA,NA,NA
"49",2010-12-10,3041.5100268822,3336,NA,NA,NA
"50",2010-12-17,3121.18474925177,3193,NA,NA,NA
"51",2010-12-24,3226.7231043737,3465,NA,NA,NA
"52",2010-12-31,2808.77317462035,2861,NA,NA,NA
"53",2011-01-07,2969.89178523187,3742,NA,NA,NA
"54",2011-01-14,3653.39218169415,3824,NA,NA,NA
"55",2011-01-21,3537.3627742933,3333,NA,NA,NA
"56",2011-01-28,3354.50368019198,3072,NA,NA,NA
"57",2011-02-04,3188.68489740409,2947,NA,NA,NA
"58",2011-02-11,3084.60123561396,2926,NA,NA,NA
"59",2011-02-18,3041.50838648472,2957,NA,NA,NA
"60",2011-02-25,3015.6567739993,2813,NA,NA,NA
"61",2011-03-04,2991.01563363726,2814,NA,NA,NA
"62",2011-03-11,2922.45855383204,2858,NA,NA,NA
"63",2011-03-18,2971.21158614431,2995,NA,NA,NA
"64",2011-03-25,2913.77345663178,2935,NA,NA,NA
"65",2011-04-01,2707.40387778837,2774,NA,NA,NA
"66",2011-04-08,2714.95319085396,2828,NA,NA,NA
"67",2011-04-15,2840.73957615706,2743,NA,NA,NA
"68",2011-04-22,2818.63352812778,2500,NA,NA,NA
"69",2011-04-29,2742.50622209834,2427,NA,NA,NA
"70",2011-05-06,2799.96462665684,2953,NA,NA,NA
"71",2011-05-13,2663.57051965356,2964,NA,NA,NA
"72",2011-05-20,2700.63920648091,2722,NA,NA,NA
"73",2011-05-27,2736.37245029048,2671,NA,NA,NA
"74",2011-06-03,2511.85040027657,2350,NA,NA,NA
"75",2011-06-10,2456.34309212556,2729,NA,NA,NA
"76",2011-06-17,2705.62475906324,2626,NA,NA,NA
"77",2011-06-24,2575.37511128146,2682,NA,NA,NA
"78",2011-07-01,2545.65357566708,2423,NA,NA,NA
"79",2011-07-08,2539.58075086458,2570,NA,NA,NA
"80",2011-07-15,2524.40301120243,2571,NA,NA,NA
"81",2011-07-22,2543.03909966636,2539,NA,NA,NA
"82",2011-07-29,2493.89534367033,2466,NA,NA,NA
"83",2011-08-05,2507.88142114224,2650,NA,NA,NA
"84",2011-08-12,2523.03974094441,2617,NA,NA,NA
"85",2011-08-19,2509.50292158134,2473,NA,NA,NA
"86",2011-08-26,2520.5519947731,2544,NA,NA,NA
"87",2011-09-02,2417.90353436485,2369,NA,NA,NA
"88",2011-09-09,2427.3098611783,2659,NA,NA,NA
"89",2011-09-16,2538.72384661543,2536,NA,NA,NA
"90",2011-09-23,2540.51886131354,2509,NA,NA,NA
"91",2011-09-30,2558.35150224416,2563,NA,NA,NA
"92",2011-10-07,2592.04585919952,2634,NA,NA,NA
"93",2011-10-14,2607.79216018659,2510,NA,NA,NA
"94",2011-10-21,2664.94759211626,2565,NA,NA,NA
"95",2011-10-28,2693.67627499267,2637,NA,NA,NA
"96",2011-11-04,2649.79096935485,2798,NA,NA,NA
"97",2011-11-11,2730.49672667957,2721,NA,NA,NA
"98",2011-11-18,2775.58499357749,2732,NA,NA,NA
"99",2011-11-25,2752.3698312149,2696,NA,NA,NA
"100",2011-12-02,2769.23156421796,2642,NA,NA,NA
"101",2011-12-09,2875.27819449328,2850,NA,NA,NA
"102",2011-12-16,2957.87680302158,3128,NA,NA,NA
"103",2011-12-23,3063.41456970495,3229,NA,NA,NA
"104",2011-12-30,2647.62648447961,2591,NA,NA,NA
"105",2012-01-06,2814.14511874625,3140,NA,NA,NA
"106",2012-01-13,3516.32072757279,3372,NA,NA,NA
"107",2012-01-20,3428.33505835429,3047,NA,NA,NA
"108",2012-01-27,3278.78429160645,3008,NA,NA,NA
"109",2012-02-03,3145.9252066306,2939,NA,NA,NA
"110",2012-02-10,3073.76720790176,2942,NA,NA,NA
"111",2012-02-17,3061.80176049894,3118,NA,NA,NA
"112",2012-02-24,3062.89179498516,3234,NA,NA,NA
"113",2012-03-02,3054.07350369088,3286,NA,NA,NA
"114",2012-03-09,2989.17402165231,3074,NA,NA,NA
"115",2012-03-16,3037.14372056678,2990,NA,NA,NA
"116",2012-03-23,2981.0323538715,2877,NA,NA,NA
"117",2012-03-30,2779.71575202342,2769,NA,NA,NA
"118",2012-04-06,2794.61792343614,2478,NA,NA,NA
"119",2012-04-13,2940.53887643916,2959,NA,NA,NA
"120",2012-04-20,2935.11064609576,3231,NA,NA,NA
"121",2012-04-27,2857.38026971755,2986,NA,NA,NA
"122",2012-05-04,2900.02370076445,2936,NA,NA,NA
"123",2012-05-11,2752.29690527062,2652,NA,NA,NA
"124",2012-05-18,2789.95375212616,2891,NA,NA,NA
"125",2012-05-25,2823.90466511378,2839,NA,NA,NA
"126",2012-06-01,2595.20652057243,2873,NA,NA,NA
"127",2012-06-08,2522.44454787651,2021,NA,NA,NA
"128",2012-06-15,2777.49959764361,3063,NA,NA,NA
"129",2012-06-22,2642.16155294355,2658,NA,NA,NA
"130",2012-06-29,2610.05234453952,2594,NA,NA,NA
"131",2012-07-06,2598.42066288314,2633,NA,NA,NA
"132",2012-07-13,2577.5603116546,2571,NA,NA,NA
"133",2012-07-20,2592.09511723199,2538,NA,NA,NA
"134",2012-07-27,2540.33914975642,2557,NA,NA,NA
"135",2012-08-03,2550.38755364477,2590,NA,NA,NA
"136",2012-08-10,2564.65756252494,2564,NA,NA,NA
"137",2012-08-17,2553.04713264073,2611,NA,NA,NA
"138",2012-08-24,2563.21271507363,2618,NA,NA,NA
"139",2012-08-31,2458.74847988583,2288,NA,NA,NA
"140",2012-09-07,2469.9636875213,2596,NA,NA,NA
"141",2012-09-14,2586.32955435258,2486,NA,NA,NA
"142",2012-09-21,2595.98003478133,2548,NA,NA,NA
"143",2012-09-28,2622.15783007401,2624,NA,NA,NA
"144",2012-10-05,2664.28082431185,2639,NA,NA,NA
"145",2012-10-12,2690.45587503476,2821,NA,NA,NA
"146",2012-10-19,2751.24748609767,2750,NA,NA,NA
"147",2012-10-26,2780.67620750153,2842,NA,NA,NA
"148",2012-11-02,2733.98066260498,2666,NA,NA,NA
"149",2012-11-09,2818.30741324524,2813,NA,NA,NA
"150",2012-11-16,2866.89204934449,2863,NA,NA,NA
"151",2012-11-23,2845.99246651614,2765,NA,NA,NA
"152",2012-11-30,2865.90225566615,2826,NA,NA,NA
"153",2012-12-07,2972.39906110064,2888,NA,NA,NA
"154",2012-12-14,3057.20657822924,3060,NA,NA,NA
"155",2012-12-21,3169.93099636818,3343,NA,NA,NA
