"","region","per.expted","per.expted.upr","per.expted.lwr","per.covid","per.exces.ncovid","per.exces.ncovid.lwr","per.exces.ncovid.upr"
"1","East",66.4370263094995,78.4331897053589,54.4408629136399,NA,NA,NA,NA
"2","East.Midlands",74.0722920819635,85.6422640181919,62.5023201457349,NA,NA,NA,NA
"3","London",48.3439803503172,56.2916479744365,40.3963127261979,NA,NA,NA,NA
"4","North.East",66.5866425890678,78.2955957653438,54.8776894127918,NA,NA,NA,NA
"5","North.West",64.0131854123802,73.8255220479633,54.2008487767971,NA,NA,NA,NA
"6","South.West",75.6420833449212,89.113944008158,62.1702226816844,NA,NA,NA,NA
"7","Wales",75.3889761679325,88.6040814119243,62.1738709239407,NA,NA,NA,NA
"8","West.Midlands",62.5762297922652,73.5831038262674,51.5693557582627,NA,NA,NA,NA
"9","Yorkshire.and.The.Humber",72.1698428623505,82.8343455288033,61.5053401958975,NA,NA,NA,NA
