"","Week.ended","lwr","50%","upr","fit"
"531",2020-03-06,1537.99296813727,1647.2038530104,1754.28381405705,1647.17383800656
"532",2020-03-13,3047.20682850632,3249.99475924031,3472.82126657676,3251.48140869034
"533",2020-03-20,4455.08759193796,4761.71474956798,5082.46023391662,4768.66834047846
"534",2020-03-27,5886.48520394178,6289.30578441023,6727.88018794673,6297.46227702661
"535",2020-04-03,7358.56762958229,7879.10449288432,8444.08081709937,7894.10413824101
"536",2020-04-10,8859.55342605728,9469.67831606632,10149.5326360629,9483.73843502103
"537",2020-04-17,10301.1190374622,11025.4114818706,11814.4467422187,11033.8243993893
"538",2020-04-24,11745.4844098201,12594.0644557271,13508.083397863,12603.380411136
"539",2020-05-01,13097.4407823989,14068.3090842624,15144.1689034247,14091.0699305509
"540",2020-05-08,14490.3003837552,15563.3501164316,16753.8931521097,15596.5870075461
"541",2020-05-15,15893.6148814172,17107.7411808919,18436.0287130265,17127.5767622065
"542",2020-05-22,17151.5246027935,18493.1984545494,19965.3385471088,18522.2282330511
"543",2020-05-29,18340.1839718952,19835.2295190196,21465.0810969577,19869.2063605194
"544",2020-06-05,19697.607530862,21338.8904599973,23089.438084589,21376.426790492
"545",2020-06-12,20982.7906962924,22738.8809049153,24651.4547731461,22798.3876117648
"546",2020-06-19,22230.7599494187,24150.7826804308,26241.7730494947,24213.4908087221
"547",2020-06-26,23469.9444767117,25553.2541850598,27730.717292012,25611.4965193211
"548",2020-07-03,24694.4438796007,26967.8429853873,29309.3930203166,27008.4280834667
"549",2020-07-10,25905.9819194585,28360.3100973,30854.4267000608,28400.6774700025
"550",2020-07-17,27109.5669179878,29728.1204799391,32365.3066253183,29770.0290683416
"551",2020-07-24,28296.6999736616,31103.827716951,33882.5699803098,31143.3956809308
"552",2020-07-31,29461.7531370605,32509.8211735141,35428.8804172478,32523.6719404544
"553",2020-08-07,30652.6511767164,33916.5494734913,36981.2728773938,33913.921508305
"554",2020-08-14,31822.2186627526,35283.8151567193,38574.79674438,35295.4445140336
"555",2020-08-21,32975.1262464352,36614.6160446107,40060.9504850273,36629.9060410975
"556",2020-08-28,34158.9422702967,37958.2203096158,41637.7221449904,37960.7889187729
"557",2020-09-04,35355.468060394,39359.0056261446,43289.5607081767,39362.6333035111
"558",2020-09-11,36526.7977028232,40733.1071945928,44797.8873764367,40761.2393299579
"559",2020-09-18,37750.218679435,42137.3159779221,46441.2259558865,42176.6139741116
"560",2020-09-25,39027.5651728515,43602.7672853184,48137.3410706082,43619.1420725691
"561",2020-10-02,40257.2587317573,45038.0872967183,49804.1538743405,45062.1385651355
"562",2020-10-09,41572.8130592107,46524.5514457449,51489.3575174073,46550.0766250435
"563",2020-10-16,42898.3787289981,48013.8353130529,53164.1093400485,48051.5607247361
"564",2020-10-23,44172.2889756083,49459.7522230319,54885.0472495301,49525.6322590043
"565",2020-10-30,45443.2361630369,50986.7525660847,56638.5476102412,51045.1766266489
"566",2020-11-06,46781.9296115351,52521.5115722379,58417.734067808,52598.1499177315
"567",2020-11-13,48142.2365726999,54040.5469335787,60214.9049928397,54130.3618796522
"568",2020-11-20,49428.4492986831,55569.5403690588,62049.7121327282,55682.3706436985
"569",2020-11-27,50755.3402985806,57138.323882691,63927.3831387664,57289.5796946859
"570",2020-12-04,52229.530037304,58756.9817380298,65842.936576631,58933.1263061691
"571",2020-12-11,53656.8866489717,60456.1388573935,67778.9254999356,60609.4745239937
"572",2020-12-18,54983.7432497048,62080.7703025389,69491.382094086,62199.2622315327
"573",2020-12-25,56315.865565487,63657.1737955871,71221.0418042203,63759.9223470079
"574",2021-01-01,57863.893183077,65460.8969032897,73222.2984941714,65517.8258166778
"575",2021-01-08,59495.4775235677,67308.4273099223,75297.2306741346,67374.4418427991
"576",2021-01-15,61198.5736310803,69136.532116726,77326.380323884,69184.3264921783
"577",2021-01-22,62759.4200155831,70894.3556900577,79265.006574698,70930.5361053219
"578",2021-01-29,64279.6064604819,72607.1588088072,81148.8250789371,72642.9576237855
"579",2021-02-05,65748.0762011117,74274.0120290564,83099.3357852096,74320.1915452691
"580",2021-02-12,67205.2881733745,75931.2305202939,85089.7080256768,75982.9205384498
"581",2021-02-19,68563.6169844448,77600.6557973965,87030.5477872987,77648.4379324654
"582",2021-02-26,69964.3179330671,79193.4048780338,88988.6866110174,79271.3347805615
"583",2021-03-05,71413.9333774387,80854.859147596,90984.8665067847,80920.2625827863
"584",2021-03-12,72796.4075344009,82500.3332879313,92854.748074532,82526.2051961034
"585",2021-03-19,74035.6243862186,84043.8531948183,94633.6891238863,84044.3234068908
