"","Week.ended","signal","Male.01.14","fit","upr","lwr"
"1",2010-01-08,10.7418199740988,9,NA,NA,NA
"2",2010-01-15,12.2872841081312,17,NA,NA,NA
"3",2010-01-22,10.8781768444988,9,NA,NA,NA
"4",2010-01-29,12.8781708291689,9,NA,NA,NA
"5",2010-02-05,11.6963679810369,11,NA,NA,NA
"6",2010-02-12,13.1509326027181,14,NA,NA,NA
"7",2010-02-19,12.6054925503519,3,NA,NA,NA
"8",2010-02-26,11.696469011808,14,NA,NA,NA
"9",2010-03-05,13.5147055197854,16,NA,NA,NA
"10",2010-03-12,13.1511101645993,20,NA,NA,NA
"11",2010-03-19,11.8717306949087,14,NA,NA,NA
"12",2010-03-26,11.7717222848252,17,NA,NA,NA
"13",2010-04-02,11.7716850934966,8,NA,NA,NA
"14",2010-04-09,11.8716686649886,9,NA,NA,NA
"15",2010-04-16,11.7716680447842,8,NA,NA,NA
"16",2010-04-23,13.271688187307,16,NA,NA,NA
"17",2010-04-30,12.2716933106941,12,NA,NA,NA
"18",2010-05-07,11.471699929731,8,NA,NA,NA
"19",2010-05-14,11.7717256601946,10,NA,NA,NA
"20",2010-05-21,11.3717611438647,12,NA,NA,NA
"21",2010-05-28,13.3717931691307,18,NA,NA,NA
"22",2010-06-04,11.071799716493,14,NA,NA,NA
"23",2010-06-11,12.6717901443498,5,NA,NA,NA
"24",2010-06-18,11.67182280479,10,NA,NA,NA
"25",2010-06-25,11.4718646684795,6,NA,NA,NA
"26",2010-07-02,11.2719366543406,9,NA,NA,NA
"27",2010-07-09,11.6720211470293,14,NA,NA,NA
"28",2010-07-16,13.8720928243827,15,NA,NA,NA
"29",2010-07-23,11.4721582926984,8,NA,NA,NA
"30",2010-07-30,10.3722428749646,7,NA,NA,NA
"31",2010-08-06,10.8723460211543,10,NA,NA,NA
"32",2010-08-13,11.2724539695386,6,NA,NA,NA
"33",2010-08-20,9.67259094235483,8,NA,NA,NA
"34",2010-08-27,11.0727371226486,11,NA,NA,NA
"35",2010-09-03,8.67288370335459,7,NA,NA,NA
"36",2010-09-10,10.4730394931499,11,NA,NA,NA
"37",2010-09-17,12.5731923820701,13,NA,NA,NA
"38",2010-09-24,9.7733429214489,14,NA,NA,NA
"39",2010-10-01,12.273470193423,10,NA,NA,NA
"40",2010-10-08,11.6736099806662,17,NA,NA,NA
"41",2010-10-15,9.77372044656391,18,NA,NA,NA
"42",2010-10-22,11.7737856274587,15,NA,NA,NA
"43",2010-10-29,12.2738330483047,10,NA,NA,NA
"44",2010-11-05,13.2738929864177,15,NA,NA,NA
"45",2010-11-12,12.873943422451,12,NA,NA,NA
"46",2010-11-19,9.97399866947234,7,NA,NA,NA
"47",2010-11-26,11.6740702881155,12,NA,NA,NA
"48",2010-12-03,12.0741401125418,14,NA,NA,NA
"49",2010-12-10,12.4741993352656,15,NA,NA,NA
"50",2010-12-17,11.9742446536613,12,NA,NA,NA
"51",2010-12-24,13.9742898302757,15,NA,NA,NA
"52",2010-12-31,11.4743293604387,15.5,NA,NA,NA
"53",2011-01-07,10.5501647322012,15.5,NA,NA,NA
"54",2011-01-14,12.0956093983857,16,NA,NA,NA
"55",2011-01-21,10.6864871166707,8,NA,NA,NA
"56",2011-01-28,12.6864705329408,14,NA,NA,NA
"57",2011-02-04,11.504628536519,7,NA,NA,NA
"58",2011-02-11,12.9591749740765,12,NA,NA,NA
"59",2011-02-18,12.4137266918142,12,NA,NA,NA
"60",2011-02-25,11.5046443234478,8,NA,NA,NA
"61",2011-03-04,13.3228539751372,15,NA,NA,NA
"62",2011-03-11,12.9592362124551,10,NA,NA,NA
"63",2011-03-18,11.6798883282079,11,NA,NA,NA
"64",2011-03-25,11.5799269622482,13,NA,NA,NA
"65",2011-04-01,11.5799577789016,18,NA,NA,NA
"66",2011-04-08,11.6799532537423,16,NA,NA,NA
"67",2011-04-15,11.5799249470756,13,NA,NA,NA
"68",2011-04-22,13.0798888230109,10,NA,NA,NA
"69",2011-04-29,12.0798696534845,11,NA,NA,NA
"70",2011-05-06,11.2798564285533,11,NA,NA,NA
"71",2011-05-13,11.5798447442089,9,NA,NA,NA
"72",2011-05-20,11.179847261701,11,NA,NA,NA
"73",2011-05-27,13.1798507692377,14,NA,NA,NA
"74",2011-06-03,10.8798497619193,6,NA,NA,NA
"75",2011-06-10,12.4798756177786,13,NA,NA,NA
"76",2011-06-17,11.4798986103953,8,NA,NA,NA
"77",2011-06-24,11.2799407595721,12,NA,NA,NA
"78",2011-07-01,11.0799789448809,6,NA,NA,NA
"79",2011-07-08,11.4800450950626,9,NA,NA,NA
"80",2011-07-15,13.6801248976916,10,NA,NA,NA
"81",2011-07-22,11.28022495911,13,NA,NA,NA
"82",2011-07-29,10.1803155533063,14,NA,NA,NA
"83",2011-08-05,10.6803851204489,13,NA,NA,NA
"84",2011-08-12,11.0804419182997,8,NA,NA,NA
"85",2011-08-19,9.48051567373349,4,NA,NA,NA
"86",2011-08-26,10.8806195989622,8,NA,NA,NA
"87",2011-09-02,8.4807393817687,10,NA,NA,NA
"88",2011-09-09,10.2808508011686,8,NA,NA,NA
"89",2011-09-16,12.3809747764672,19,NA,NA,NA
"90",2011-09-23,9.58106231456804,15,NA,NA,NA
"91",2011-09-30,12.081120021856,12,NA,NA,NA
"92",2011-10-07,11.4811781757028,13,NA,NA,NA
"93",2011-10-14,9.58122796855879,10,NA,NA,NA
"94",2011-10-21,11.5812754561085,9,NA,NA,NA
"95",2011-10-28,12.0813371533704,12,NA,NA,NA
"96",2011-11-04,13.081399298387,15,NA,NA,NA
"97",2011-11-11,12.6814508816619,18,NA,NA,NA
"98",2011-11-18,9.78147318675484,10,NA,NA,NA
"99",2011-11-25,11.4814942888753,10,NA,NA,NA
"100",2011-12-02,11.8815235465017,14,NA,NA,NA
"101",2011-12-09,12.281541142087,13,NA,NA,NA
"102",2011-12-16,11.7815547826145,8,NA,NA,NA
"103",2011-12-23,13.7815892402946,13,NA,NA,NA
"104",2011-12-30,11.2816280005603,12.5,NA,NA,NA
"105",2012-01-06,10.3574780563769,12.5,NA,NA,NA
"106",2012-01-13,11.9029528606481,9,NA,NA,NA
"107",2012-01-20,10.4938981908943,11,NA,NA,NA
"108",2012-01-27,12.4939316441821,14,NA,NA,NA
"109",2012-02-03,11.3121386248671,11,NA,NA,NA
"110",2012-02-10,12.7667109602137,12,NA,NA,NA
"111",2012-02-17,12.221287516242,11,NA,NA,NA
"112",2012-02-24,11.3122344317229,12,NA,NA,NA
"113",2012-03-02,13.1304502883829,15,NA,NA,NA
"114",2012-03-09,12.7668376715046,8,NA,NA,NA
"115",2012-03-16,11.4875048837607,13,NA,NA,NA
"116",2012-03-23,11.3875465454111,17,NA,NA,NA
"117",2012-03-30,11.3875573109599,13,NA,NA,NA
"118",2012-04-06,11.4875592001422,12,NA,NA,NA
"119",2012-04-13,11.3875582683794,15,NA,NA,NA
"120",2012-04-20,12.8875374504176,12,NA,NA,NA
"121",2012-04-27,11.8875215182773,12,NA,NA,NA
"122",2012-05-04,11.0875049669523,14,NA,NA,NA
"123",2012-05-11,11.3874723825778,5,NA,NA,NA
"124",2012-05-18,10.9874749607216,13,NA,NA,NA
"125",2012-05-25,12.9874664600781,16,NA,NA,NA
"126",2012-06-01,10.6874413756813,13,NA,NA,NA
"127",2012-06-08,12.2874035608367,6,NA,NA,NA
"128",2012-06-15,11.2874003576394,6,NA,NA,NA
"129",2012-06-22,11.087426261153,5,NA,NA,NA
"130",2012-06-29,10.8874856754549,9,NA,NA,NA
"131",2012-07-06,11.2875554802128,12,NA,NA,NA
"132",2012-07-13,13.4876213630213,6,NA,NA,NA
"133",2012-07-20,11.0877284645788,15,NA,NA,NA
"134",2012-07-27,9.98781402939861,7,NA,NA,NA
"135",2012-08-03,10.4879160418924,8,NA,NA,NA
"136",2012-08-10,10.8880317501628,19,NA,NA,NA
"137",2012-08-17,9.28810280270482,9,NA,NA,NA
"138",2012-08-24,10.6881754412293,8,NA,NA,NA
"139",2012-08-31,8.28826287794212,8,NA,NA,NA
"140",2012-09-07,10.0883519015187,17,NA,NA,NA
"141",2012-09-14,12.1884028770321,13,NA,NA,NA
"142",2012-09-21,9.38844938476912,7,NA,NA,NA
"143",2012-09-28,11.8885090407267,13,NA,NA,NA
"144",2012-10-05,11.2885625780164,13,NA,NA,NA
"145",2012-10-12,9.38860669398183,4,NA,NA,NA
"146",2012-10-19,11.3886804737906,16,NA,NA,NA
"147",2012-10-26,11.8887288686588,15,NA,NA,NA
"148",2012-11-02,12.8887601362316,13,NA,NA,NA
"149",2012-11-09,12.4887907914377,15,NA,NA,NA
"150",2012-11-16,9.58880762264066,10,NA,NA,NA
"151",2012-11-23,11.2888221902629,6,NA,NA,NA
"152",2012-11-30,11.6888658724228,8,NA,NA,NA
"153",2012-12-07,12.0889298614907,18,NA,NA,NA
"154",2012-12-14,11.5889613105963,11,NA,NA,NA
"155",2012-12-21,13.588996001886,14,NA,NA,NA
"156",2012-12-28,11.0890284306321,10,NA,NA,NA
"157",2013-01-04,10.1648848569816,10,NA,NA,NA
"158",2013-01-11,11.7103787338734,11,NA,NA,NA
"159",2013-01-18,10.301331066797,5,NA,NA,NA
"160",2013-01-25,12.3014034922098,12,NA,NA,NA
"161",2013-02-01,11.1196593950061,10,NA,NA,NA
"162",2013-02-08,12.5742850978005,10,NA,NA,NA
"163",2013-02-15,12.0289249718257,12,NA,NA,NA
"164",2013-02-22,11.1199286414443,8,NA,NA,NA
"165",2013-03-01,12.9382222132902,12,NA,NA,NA
"166",2013-03-08,12.5747027681549,16,NA,NA,NA
"167",2013-03-15,11.2954180551149,16,NA,NA,NA
"168",2013-03-22,11.1954902192897,6,NA,NA,NA
"169",2013-03-29,11.1955909842174,16,NA,NA,NA
"170",2013-04-05,11.2956653012625,14,NA,NA,NA
"171",2013-04-12,11.1957247311642,12,NA,NA,NA
"172",2013-04-19,12.6957797335958,11,NA,NA,NA
"173",2013-04-26,11.6958440711572,7,NA,NA,NA
"174",2013-05-03,10.8959342589601,13,NA,NA,NA
"175",2013-05-10,11.1960128640514,10,NA,NA,NA
"176",2013-05-17,10.7960980530967,9,NA,NA,NA
"177",2013-05-24,12.7961931295164,15,NA,NA,NA
"178",2013-05-31,10.4962760741576,7,NA,NA,NA
"179",2013-06-07,12.0963782655156,11,NA,NA,NA
"180",2013-06-14,11.096486492347,13,NA,NA,NA
"181",2013-06-21,10.8965842404909,18,NA,NA,NA
"182",2013-06-28,10.6966428849061,12,NA,NA,NA
"183",2013-07-05,11.0966943544461,7,NA,NA,NA
"184",2013-07-12,13.2967683759567,15,NA,NA,NA
"185",2013-07-19,10.8968330213151,11,NA,NA,NA
"186",2013-07-26,9.79689709874772,6,NA,NA,NA
"187",2013-08-02,10.2969820777912,12,NA,NA,NA
"188",2013-08-09,10.6970576818592,10,NA,NA,NA
"189",2013-08-16,9.09713712317313,9,NA,NA,NA
"190",2013-08-23,10.497217099219,10,NA,NA,NA
"191",2013-08-30,8.09729981240486,8,NA,NA,NA
"192",2013-09-06,9.89738306121831,13,NA,NA,NA
"193",2013-09-13,11.9974492303767,8,NA,NA,NA
"194",2013-09-20,9.19753740516935,8,NA,NA,NA
