"","Week.ended","signal","Male.65.74","fit","upr","lwr"
"1",2010-01-08,850.632662795695,1214,NA,NA,NA
"2",2010-01-15,1069.80230318223,1082,NA,NA,NA
"3",2010-01-22,1084.2229002778,1045,NA,NA,NA
"4",2010-01-29,1028.89532095551,976,NA,NA,NA
"5",2010-02-05,1005.84396788,914,NA,NA,NA
"6",2010-02-12,979.501993325266,963,NA,NA,NA
"7",2010-02-19,977.371289864825,927,NA,NA,NA
"8",2010-02-26,955.966853191351,948,NA,NA,NA
"9",2010-03-05,940.849363104905,940,NA,NA,NA
"10",2010-03-12,946.460661696967,912,NA,NA,NA
"11",2010-03-19,948.656270784004,922,NA,NA,NA
"12",2010-03-26,928.75846963222,923,NA,NA,NA
"13",2010-04-02,866.770946251054,749,NA,NA,NA
"14",2010-04-09,871.79362155938,949,NA,NA,NA
"15",2010-04-16,939.778498199318,968,NA,NA,NA
"16",2010-04-23,925.313004838137,898,NA,NA,NA
"17",2010-04-30,897.296259984169,912,NA,NA,NA
"18",2010-05-07,919.55327175711,818,NA,NA,NA
"19",2010-05-14,868.791536762,910,NA,NA,NA
"20",2010-05-21,904.35625251519,888,NA,NA,NA
"21",2010-05-28,907.250161061282,947,NA,NA,NA
"22",2010-06-04,834.973123721996,813,NA,NA,NA
"23",2010-06-11,819.435304220035,870,NA,NA,NA
"24",2010-06-18,887.307236374773,860,NA,NA,NA
"25",2010-06-25,843.127906741118,835,NA,NA,NA
"26",2010-07-02,861.163083871655,897,NA,NA,NA
"27",2010-07-09,859.734298938147,835,NA,NA,NA
"28",2010-07-16,829.349660013381,804,NA,NA,NA
"29",2010-07-23,842.010265399577,808,NA,NA,NA
"30",2010-07-30,833.231572626454,796,NA,NA,NA
"31",2010-08-06,832.119331113372,834,NA,NA,NA
"32",2010-08-13,816.003732964817,801,NA,NA,NA
"33",2010-08-20,830.814913619585,852,NA,NA,NA
"34",2010-08-27,846.388282933478,872,NA,NA,NA
"35",2010-09-03,783.515940214528,765,NA,NA,NA
"36",2010-09-10,808.576644919342,906,NA,NA,NA
"37",2010-09-17,866.963467506223,885,NA,NA,NA
"38",2010-09-24,843.318098320732,828,NA,NA,NA
"39",2010-10-01,859.60006902081,837,NA,NA,NA
"40",2010-10-08,838.022376536051,839,NA,NA,NA
"41",2010-10-15,866.642939179755,869,NA,NA,NA
"42",2010-10-22,877.759294919212,881,NA,NA,NA
"43",2010-10-29,871.369866617837,873,NA,NA,NA
"44",2010-11-05,885.977528839114,928,NA,NA,NA
"45",2010-11-12,881.21018895971,898,NA,NA,NA
"46",2010-11-19,904.912882468082,900,NA,NA,NA
"47",2010-11-26,892.62434453517,896,NA,NA,NA
"48",2010-12-03,911.829781700717,902,NA,NA,NA
"49",2010-12-10,925.552763152839,1051,NA,NA,NA
"50",2010-12-17,927.051845200008,984,NA,NA,NA
"51",2010-12-24,984.44928564635,1037,NA,NA,NA
"52",2010-12-31,836.252933084804,874,NA,NA,NA
"53",2011-01-07,855.42594292462,1152,NA,NA,NA
"54",2011-01-14,1074.1510727034,1170,NA,NA,NA
"55",2011-01-21,1087.97785769045,1036,NA,NA,NA
"56",2011-01-28,1032.07923142726,976,NA,NA,NA
"57",2011-02-04,1008.46251408413,975,NA,NA,NA
"58",2011-02-11,981.450975495451,939,NA,NA,NA
"59",2011-02-18,978.697021987824,898,NA,NA,NA
"60",2011-02-25,956.723460918302,847,NA,NA,NA
"61",2011-03-04,941.218462583706,881,NA,NA,NA
"62",2011-03-11,946.548215453218,977,NA,NA,NA
"63",2011-03-18,948.346422474802,925,NA,NA,NA
"64",2011-03-25,928.045311809263,892,NA,NA,NA
"65",2011-04-01,865.708535154328,855,NA,NA,NA
"66",2011-04-08,870.190871193375,931,NA,NA,NA
"67",2011-04-15,937.664674528973,936,NA,NA,NA
"68",2011-04-22,922.741448991284,808,NA,NA,NA
"69",2011-04-29,894.423015067966,749,NA,NA,NA
"70",2011-05-06,916.66413350594,906,NA,NA,NA
"71",2011-05-13,865.724285389417,961,NA,NA,NA
"72",2011-05-20,901.014388283823,882,NA,NA,NA
"73",2011-05-27,903.638428236782,874,NA,NA,NA
"74",2011-06-03,831.215367134447,742,NA,NA,NA
"75",2011-06-10,815.651538456174,933,NA,NA,NA
"76",2011-06-17,883.378265143066,886,NA,NA,NA
"77",2011-06-24,839.000312532995,851,NA,NA,NA
"78",2011-07-01,856.800942768183,899,NA,NA,NA
"79",2011-07-08,855.126255730216,874,NA,NA,NA
"80",2011-07-15,824.417882656451,789,NA,NA,NA
"81",2011-07-22,836.772723751854,808,NA,NA,NA
"82",2011-07-29,827.678918674481,846,NA,NA,NA
"83",2011-08-05,826.152413959318,838,NA,NA,NA
"84",2011-08-12,809.604763561462,818,NA,NA,NA
"85",2011-08-19,823.942129266869,811,NA,NA,NA
"86",2011-08-26,839.102594205984,825,NA,NA,NA
"87",2011-09-02,775.888229587511,724,NA,NA,NA
"88",2011-09-09,800.666475567891,859,NA,NA,NA
"89",2011-09-16,858.840607326728,812,NA,NA,NA
"90",2011-09-23,835.098340640857,818,NA,NA,NA
"91",2011-09-30,851.286591233743,877,NA,NA,NA
"92",2011-10-07,829.528948293485,822,NA,NA,NA
"93",2011-10-14,857.984743090749,855,NA,NA,NA
"94",2011-10-21,868.945865085486,853,NA,NA,NA
"95",2011-10-28,862.435447409787,840,NA,NA,NA
"96",2011-11-04,876.965072731061,898,NA,NA,NA
"97",2011-11-11,872.157154716846,887,NA,NA,NA
"98",2011-11-18,895.82274505315,871,NA,NA,NA
"99",2011-11-25,883.532639257655,896,NA,NA,NA
"100",2011-12-02,902.720281599768,884,NA,NA,NA
"101",2011-12-09,916.441336076062,909,NA,NA,NA
"102",2011-12-16,918.175671918784,992,NA,NA,NA
"103",2011-12-23,975.778245408315,1074,NA,NA,NA
"104",2011-12-30,827.705511788971,763,NA,NA,NA
"105",2012-01-06,847.184998894415,907,NA,NA,NA
"106",2012-01-13,1066.6391757226,1024,NA,NA,NA
"107",2012-01-20,1081.44218262427,922,NA,NA,NA
"108",2012-01-27,1026.7115816108,977,NA,NA,NA
"109",2012-02-03,1004.25152447627,883,NA,NA,NA
"110",2012-02-10,978.553332745358,960,NA,NA,NA
"111",2012-02-17,977.070073358572,950,NA,NA,NA
"112",2012-02-24,956.271492528982,967,NA,NA,NA
"113",2012-03-02,941.72649063136,951,NA,NA,NA
"114",2012-03-09,947.892210014504,907,NA,NA,NA
"115",2012-03-16,950.653718980385,867,NA,NA,NA
"116",2012-03-23,931.423547287597,893,NA,NA,NA
"117",2012-03-30,870.161954302403,885,NA,NA,NA
"118",2012-04-06,875.67387823407,788,NA,NA,NA
"119",2012-04-13,944.44228332595,978,NA,NA,NA
"120",2012-04-20,930.750794290359,981,NA,NA,NA
"121",2012-04-27,903.369620001097,961,NA,NA,NA
"122",2012-05-04,926.185586469075,952,NA,NA,NA
"123",2012-05-11,875.755479129653,802,NA,NA,NA
"124",2012-05-18,911.857011261174,967,NA,NA,NA
"125",2012-05-25,915.160123669182,937,NA,NA,NA
"126",2012-06-01,843.324256061062,862,NA,NA,NA
"127",2012-06-08,828.155055809996,649,NA,NA,NA
"128",2012-06-15,896.805613182921,1034,NA,NA,NA
"129",2012-06-22,853.111304727441,862,NA,NA,NA
"130",2012-06-29,871.601131645269,847,NA,NA,NA
"131",2012-07-06,870.734866893602,898,NA,NA,NA
"132",2012-07-13,840.819939076633,880,NA,NA,NA
"133",2012-07-20,853.83508231944,854,NA,NA,NA
"134",2012-07-27,845.349931215623,896,NA,NA,NA
"135",2012-08-03,844.37437939397,893,NA,NA,NA
"136",2012-08-10,828.312040108572,850,NA,NA,NA
"137",2012-08-17,843.110991948938,844,NA,NA,NA
"138",2012-08-24,858.708357079399,928,NA,NA,NA
"139",2012-08-31,795.782049835654,767,NA,NA,NA
"140",2012-09-07,820.807113064415,830,NA,NA,NA
"141",2012-09-14,879.315768742352,893,NA,NA,NA
"142",2012-09-21,855.800000675983,840,NA,NA,NA
"143",2012-09-28,872.212432599023,920,NA,NA,NA
"144",2012-10-05,850.639572823544,896,NA,NA,NA
"145",2012-10-12,879.185753332173,858,NA,NA,NA
"146",2012-10-19,890.26974637207,910,NA,NA,NA
"147",2012-10-26,883.818524670227,868,NA,NA,NA
"148",2012-11-02,898.395536019588,919,NA,NA,NA
"149",2012-11-09,893.635772328376,887,NA,NA,NA
"150",2012-11-16,917.387852225854,910,NA,NA,NA
"151",2012-11-23,905.153118031284,894,NA,NA,NA
"152",2012-11-30,924.438290026385,905,NA,NA,NA
"153",2012-12-07,938.258155663843,921,NA,NA,NA
"154",2012-12-14,940.108823819404,947,NA,NA,NA
"155",2012-12-21,997.947192539087,1043,NA,NA,NA
"156",2012-12-28,850.205150585432,738,NA,NA,NA
"157",2013-01-04,870.100107157408,1047,NA,NA,NA
"158",2013-01-11,1089.76077923916,1071,NA,NA,NA
"159",2013-01-18,1104.72766300838,1001,NA,NA,NA
"160",2013-01-25,1050.06149906528,1035,NA,NA,NA
"161",2013-02-01,1027.60403520879,982,NA,NA,NA
"162",2013-02-08,1001.77342040755,1007,NA,NA,NA
"163",2013-02-15,1000.11529533984,988,NA,NA,NA
"164",2013-02-22,979.115157401254,985,NA,NA,NA
"165",2013-03-01,964.377243413128,945,NA,NA,NA
"166",2013-03-08,970.401186838066,1011,NA,NA,NA
"167",2013-03-15,972.875473903229,980,NA,NA,NA
"168",2013-03-22,953.196058446457,945,NA,NA,NA
"169",2013-03-29,891.431271391676,847,NA,NA,NA
"170",2013-04-05,896.545785686813,954,NA,NA,NA
"171",2013-04-12,964.657755161356,1093,NA,NA,NA
"172",2013-04-19,950.14065819353,1037,NA,NA,NA
"173",2013-04-26,921.868533857742,1005,NA,NA,NA
"174",2013-05-03,943.748035701459,992,NA,NA,NA
"175",2013-05-10,892.341416986713,873,NA,NA,NA
"176",2013-05-17,927.36931901442,981,NA,NA,NA
"177",2013-05-24,929.601500499677,840,NA,NA,NA
"178",2013-05-31,856.893603583437,796,NA,NA,NA
"179",2013-06-07,840.994390142029,950,NA,NA,NA
"180",2013-06-14,908.400622465726,876,NA,NA,NA
"181",2013-06-21,863.764683724303,842,NA,NA,NA
"182",2013-06-28,881.367590794534,846,NA,NA,NA
"183",2013-07-05,879.633622272543,861,NA,NA,NA
