"","Week.ended","signal","Male.Under.1.year","fit","upr","lwr"
"96",2011-11-04,34.3751114758036,34,NA,NA,NA
"97",2011-11-11,33.663012135891,30,NA,NA,NA
"98",2011-11-18,35.153741944634,35,NA,NA,NA
"99",2011-11-25,33.644590496859,39,NA,NA,NA
"100",2011-12-02,32.6313027675123,24,NA,NA,NA
"101",2011-12-09,38.0246814748884,33,NA,NA,NA
"102",2011-12-16,33.9219410241271,49,NA,NA,NA
"103",2011-12-23,37.4075549471169,45,NA,NA,NA
"104",2011-12-30,28.7373048011607,25.5,NA,NA,NA
"105",2012-01-06,27.0824548344875,25.5,NA,NA,NA
"106",2012-01-13,34.8386545305507,29,NA,NA,NA
"107",2012-01-20,34.417545563466,31,NA,NA,NA
"108",2012-01-27,36.5899852484155,29,NA,NA,NA
"109",2012-02-03,33.1319234661033,34,NA,NA,NA
"110",2012-02-10,35.2186457653026,28,NA,NA,NA
"111",2012-02-17,34.7654888819468,30,NA,NA,NA
"112",2012-02-24,35.3160126515517,47,NA,NA,NA
"113",2012-03-02,33.9484213167116,33,NA,NA,NA
"114",2012-03-09,31.6724715914823,34,NA,NA,NA
"115",2012-03-16,34.3829521110194,35,NA,NA,NA
"116",2012-03-23,34.8774553979459,40,NA,NA,NA
"117",2012-03-30,34.1680022578563,39,NA,NA,NA
"118",2012-04-06,31.9548170963023,32,NA,NA,NA
"119",2012-04-13,36.0415970374706,35,NA,NA,NA
"120",2012-04-20,32.6291814621484,46,NA,NA,NA
"121",2012-04-27,34.9064388576256,34,NA,NA,NA
"122",2012-05-04,33.3843963464083,32,NA,NA,NA
"123",2012-05-11,32.9634230817339,36,NA,NA,NA
"124",2012-05-18,35.4401044992753,40,NA,NA,NA
"125",2012-05-25,35.6132640550956,37,NA,NA,NA
"126",2012-06-01,35.3853525573707,34,NA,NA,NA
"127",2012-06-08,29.3585110447235,20,NA,NA,NA
"128",2012-06-15,36.6388976323279,42,NA,NA,NA
"129",2012-06-22,32.8151435414431,21,NA,NA,NA
"130",2012-06-29,32.4005149451585,33,NA,NA,NA
"131",2012-07-06,32.0854233331168,41,NA,NA,NA
"132",2012-07-13,30.2634464961137,31,NA,NA,NA
"133",2012-07-20,31.8409007777425,29,NA,NA,NA
"134",2012-07-27,37.620549245554,40,NA,NA,NA
"135",2012-08-03,31.3983599307831,31,NA,NA,NA
"136",2012-08-10,33.9764782916136,43,NA,NA,NA
"137",2012-08-17,31.2476272831486,21,NA,NA,NA
"138",2012-08-24,33.8266910890153,28,NA,NA,NA
"139",2012-08-31,30.6102551735187,36,NA,NA,NA
"140",2012-09-07,30.089656457364,36,NA,NA,NA
"141",2012-09-14,33.5644928531153,31,NA,NA,NA
"142",2012-09-21,32.5413099497866,27,NA,NA,NA
"143",2012-09-28,34.4224069093174,37,NA,NA,NA
"144",2012-10-05,32.8015130498839,37,NA,NA,NA
"145",2012-10-12,31.9773764647181,27,NA,NA,NA
"146",2012-10-19,33.4570841851159,39,NA,NA,NA
"147",2012-10-26,31.5325108023549,27,NA,NA,NA
"148",2012-11-02,32.8114381305845,35,NA,NA,NA
"149",2012-11-09,32.0886751103684,38,NA,NA,NA
"150",2012-11-16,33.5613464441093,37,NA,NA,NA
"151",2012-11-23,32.0313619138442,42,NA,NA,NA
"152",2012-11-30,30.993678048171,30,NA,NA,NA
"153",2012-12-07,36.3567616554977,38,NA,NA,NA
"154",2012-12-14,32.2185760981643,39,NA,NA,NA
"155",2012-12-21,35.6751528687722,33,NA,NA,NA
"156",2012-12-28,26.9837958092047,20.5,NA,NA,NA
"157",2013-01-04,25.310346375068,20.5,NA,NA,NA
"158",2013-01-11,33.0504396844095,50,NA,NA,NA
"159",2013-01-18,32.5956237207762,32,NA,NA,NA
"160",2013-01-25,34.7321768814849,24,NA,NA,NA
"161",2013-02-01,31.2406554648531,31,NA,NA,NA
"162",2013-02-08,33.2947744653188,30,NA,NA,NA
"163",2013-02-15,32.8059836584864,32,NA,NA,NA
"164",2013-02-22,33.3178153578043,42,NA,NA,NA
"165",2013-03-01,31.9138504123972,34,NA,NA,NA
"166",2013-03-08,29.5991833081732,23,NA,NA,NA
"167",2013-03-15,32.2778410462531,39,NA,NA,NA
"168",2013-03-22,32.7358062338036,25,NA,NA,NA
"169",2013-03-29,31.9997462161387,25,NA,NA,NA
"170",2013-04-05,29.7690924930376,39,NA,NA,NA
"171",2013-04-12,33.831309225017,22,NA,NA,NA
"172",2013-04-19,30.4026639372557,33,NA,NA,NA
"173",2013-04-26,32.6720125819313,30,NA,NA,NA
"174",2013-05-03,31.1434249710124,26,NA,NA,NA
"175",2013-05-10,30.7188099141836,34,NA,NA,NA
"176",2013-05-17,33.1916606111726,41,NA,NA,NA
"177",2013-05-24,33.3584804919743,34,NA,NA,NA
"178",2013-05-31,33.1248048914654,34,NA,NA,NA
"179",2013-06-07,27.0904533289414,23,NA,NA,NA
"180",2013-06-14,34.3592610517561,36,NA,NA,NA
"181",2013-06-21,30.5268015403335,32,NA,NA,NA
"182",2013-06-28,30.0932041955416,23,NA,NA,NA
"183",2013-07-05,29.7650853281252,24,NA,NA,NA
"184",2013-07-12,27.941419157779,26,NA,NA,NA
"185",2013-07-19,29.5192524537725,27,NA,NA,NA
"186",2013-07-26,35.2990315090015,34,NA,NA,NA
"187",2013-08-02,29.0798138787461,29,NA,NA,NA
"188",2013-08-09,31.6606578932025,25,NA,NA,NA
"189",2013-08-16,28.9466463053911,28,NA,NA,NA
"190",2013-08-23,31.5333658653407,32,NA,NA,NA
"191",2013-08-30,28.3197250177115,17,NA,NA,NA
"192",2013-09-06,27.8148270253138,34,NA,NA,NA
"193",2013-09-13,31.3051518787172,33,NA,NA,NA
"194",2013-09-20,30.2941677063501,42,NA,NA,NA
"195",2013-09-27,32.1741424665587,25,NA,NA,NA
"196",2013-10-04,30.559658217286,25,NA,NA,NA
"197",2013-10-11,29.7494680022636,31,NA,NA,NA
"198",2013-10-18,31.238311931604,31,NA,NA,NA
"199",2013-10-25,29.3273399225462,28,NA,NA,NA
"200",2013-11-01,30.6173930921714,27,NA,NA,NA
"201",2013-11-08,29.9102401763194,38,NA,NA,NA
"202",2013-11-15,31.3968390875757,38,NA,NA,NA
"203",2013-11-22,29.8783380092266,28,NA,NA,NA
"204",2013-11-29,28.8612876761266,41,NA,NA,NA
"205",2013-12-06,34.2348619382018,25,NA,NA,NA
"206",2013-12-13,30.1155687994245,22,NA,NA,NA
"207",2013-12-20,33.6025437672507,47,NA,NA,NA
"208",2013-12-27,24.929171132098,19,NA,NA,NA
"209",2014-01-03,23.2732777547919,19,NA,NA,NA
"210",2014-01-10,31.0305123129023,26,NA,NA,NA
"211",2014-01-17,30.6098140345383,27,NA,NA,NA
"212",2014-01-24,32.7828129078768,29,NA,NA,NA
"213",2014-01-31,29.3223698223282,27,NA,NA,NA
"214",2014-02-07,31.4091749780277,28,NA,NA,NA
"215",2014-02-14,30.9531586843281,33,NA,NA,NA
"216",2014-02-21,31.4955615008738,31,NA,NA,NA
"217",2014-02-28,30.1292561581265,34,NA,NA,NA
"218",2014-03-07,27.8508703148455,24,NA,NA,NA
"219",2014-03-14,30.5636866383977,27,NA,NA,NA
"220",2014-03-21,31.0637547438848,33,NA,NA,NA
"221",2014-03-28,30.3623273791249,39,NA,NA,NA
"222",2014-04-04,28.1542286578487,19,NA,NA,NA
"223",2014-04-11,32.253200258138,39,NA,NA,NA
"224",2014-04-18,28.8469609285395,29,NA,NA,NA
"225",2014-04-25,31.1406033983271,33,NA,NA,NA
"226",2014-05-02,29.6328097523713,29,NA,NA,NA
"227",2014-05-09,29.2255048606961,23,NA,NA,NA
"228",2014-05-16,31.7230082737854,23,NA,NA,NA
"229",2014-05-23,31.9272489528777,38,NA,NA,NA
"230",2014-05-30,31.7267993074983,29,NA,NA,NA
"231",2014-06-06,25.7284557213697,36,NA,NA,NA
"232",2014-06-13,33.0221788484792,34,NA,NA,NA
"233",2014-06-20,29.2151467497544,24,NA,NA,NA
"234",2014-06-27,28.8121425998512,23,NA,NA,NA
"235",2014-07-04,28.5136274919745,21,NA,NA,NA
"236",2014-07-11,26.7209155778436,20,NA,NA,NA
"237",2014-07-18,28.3333946018165,21,NA,NA,NA
"238",2014-07-25,34.1515376156177,29,NA,NA,NA
"239",2014-08-01,27.973659449357,29,NA,NA,NA
"240",2014-08-08,30.5949885830226,28,NA,NA,NA
"241",2014-08-15,27.9183219711623,27,NA,NA,NA
"242",2014-08-22,30.5423646305991,26,NA,NA,NA
"243",2014-08-29,27.3699156116882,25,NA,NA,NA
"244",2014-09-05,26.8992970108368,20,NA,NA,NA
"245",2014-09-12,30.4340071220231,35,NA,NA,NA
"246",2014-09-19,29.4651906621438,37,NA,NA,NA
"247",2014-09-26,31.390554648597,34,NA,NA,NA
"248",2014-10-03,29.8139032148079,33,NA,NA,NA
"249",2014-10-10,29.0347909806987,32,NA,NA,NA
"250",2014-10-17,30.5533885502157,21,NA,NA,NA
"251",2014-10-24,28.679364734755,30,NA,NA,NA
"252",2014-10-31,30.0043209189923,34,NA,NA,NA
"253",2014-11-07,29.3261910173308,29,NA,NA,NA
"254",2014-11-14,30.8483130511921,32,NA,NA,NA
"255",2014-11-21,29.3695455729629,24,NA,NA,NA
"256",2014-11-28,28.3949252943812,36,NA,NA,NA
"257",2014-12-05,33.8144311922682,35,NA,NA,NA
"258",2014-12-12,29.7330214092146,21,NA,NA,NA
"259",2014-12-19,33.2583566258668,23,NA,NA,NA
"260",2014-12-26,24.6416149437208,25.5,NA,NA,NA
"261",2015-01-02,23.0371101110556,25.5,NA,NA,NA
"262",2015-01-09,30.8405304956816,45,NA,NA,NA
"263",2015-01-16,30.4511965501432,25,NA,NA,NA
"264",2015-01-23,32.6569819587666,34,NA,NA,NA
"265",2015-01-30,29.2253664432579,42,NA,NA,NA
"266",2015-02-06,31.3293389109286,37,NA,NA,NA
"267",2015-02-13,30.8834770651832,31,NA,NA,NA
"268",2015-02-20,31.4375252222734,25,NA,NA,NA
"269",2015-02-27,30.0874545301931,28,NA,NA,NA
"270",2015-03-06,27.829905186628,29,NA,NA,NA
"271",2015-03-13,30.5596800383757,27,NA,NA,NA
"272",2015-03-20,31.0767035775376,17,NA,NA,NA
"273",2015-03-27,30.4045993403021,29,NA,NA,NA
"274",2015-04-03,28.2335799535089,27,NA,NA,NA
"275",2015-04-10,32.3635133293428,39,NA,NA,NA
"276",2015-04-17,28.9883209762291,24,NA,NA,NA
"277",2015-04-24,31.3169813817356,36,NA,NA,NA
"278",2015-05-01,29.8420248306675,36,NA,NA,NA
"279",2015-05-08,29.4623121317832,18,NA,NA,NA
"280",2015-05-15,31.9914524161141,32,NA,NA,NA
"281",2015-05-22,32.2205860986695,35,NA,NA,NA
"282",2015-05-29,32.0475730847872,34,NA,NA,NA
"283",2015-06-05,26.0730521026599,24,NA,NA,NA
"284",2015-06-12,33.4001322543404,35,NA,NA,NA
"285",2015-06-19,29.625976738894,38,NA,NA,NA
"286",2015-06-26,29.2453534980425,31,NA,NA,NA
"287",2015-07-03,28.9633750457944,30,NA,NA,NA
"288",2015-07-10,27.1805959502543,29,NA,NA,NA
"289",2015-07-17,28.7964116274501,34,NA,NA,NA
"290",2015-07-24,34.6082082830043,38,NA,NA,NA
"291",2015-07-31,28.4173852685656,30,NA,NA,NA
"292",2015-08-07,31.0253399124654,25,NA,NA,NA
"293",2015-08-14,28.3379482625724,35,NA,NA,NA
"294",2015-08-21,30.9454111384034,33,NA,NA,NA
"295",2015-08-28,27.7512871406182,37,NA,NA,NA
"296",2015-09-04,27.2500198458463,27,NA,NA,NA
"297",2015-09-11,30.7489456553517,25,NA,NA,NA
"298",2015-09-18,29.7523116963574,25,NA,NA,NA
"299",2015-09-25,31.659348212848,29,NA,NA,NA
"300",2015-10-02,30.0684386923459,35,NA,NA,NA
"301",2015-10-09,29.2737202518821,22,NA,NA,NA
"302",2015-10-16,30.7846197114166,38,NA,NA,NA
"303",2015-10-23,28.8899463301616,37,NA,NA,NA
