"","Week.ended","signal","Female.15.44","fit","upr","lwr"
"113",2012-03-02,107.348633763586,95,NA,NA,NA
"114",2012-03-09,105.317133900378,93,NA,NA,NA
"115",2012-03-16,105.422086499654,105,NA,NA,NA
"116",2012-03-23,104.004497983553,103,NA,NA,NA
"117",2012-03-30,92.5880063885891,93,NA,NA,NA
"118",2012-04-06,98.9710648927712,109,NA,NA,NA
"119",2012-04-13,103.843171706582,100,NA,NA,NA
"120",2012-04-20,101.819475299624,131,NA,NA,NA
"121",2012-04-27,104.163913488417,111,NA,NA,NA
"122",2012-05-04,106.200886607187,101,NA,NA,NA
"123",2012-05-11,96.7435391424828,104,NA,NA,NA
"124",2012-05-18,104.478267555062,101,NA,NA,NA
"125",2012-05-25,104.716794268147,98,NA,NA,NA
"126",2012-06-01,100.762655783016,94,NA,NA,NA
"127",2012-06-08,96.2159021808688,87,NA,NA,NA
"128",2012-06-15,101.279212429579,103,NA,NA,NA
"129",2012-06-22,97.5406435622644,99,NA,NA,NA
"130",2012-06-29,101.200481064154,88,NA,NA,NA
"131",2012-07-06,94.1747336140829,74,NA,NA,NA
"132",2012-07-13,96.4710171606734,80,NA,NA,NA
"133",2012-07-20,103.285287211127,110,NA,NA,NA
"134",2012-07-27,96.5922247327905,89,NA,NA,NA
"135",2012-08-03,104.207453034444,93,NA,NA,NA
"136",2012-08-10,93.5349199790012,91,NA,NA,NA
"137",2012-08-17,96.5651550797417,101,NA,NA,NA
"138",2012-08-24,94.4905472886003,123,NA,NA,NA
"139",2012-08-31,90.8848069100599,88,NA,NA,NA
"140",2012-09-07,87.882216767484,88,NA,NA,NA
"141",2012-09-14,95.3794980045231,78,NA,NA,NA
"142",2012-09-21,102.395757814952,110,NA,NA,NA
"143",2012-09-28,100.803713722221,99,NA,NA,NA
"144",2012-10-05,95.4136393016443,81,NA,NA,NA
"145",2012-10-12,100.639304709181,94,NA,NA,NA
"146",2012-10-19,93.8722202991817,86,NA,NA,NA
"147",2012-10-26,102.313732426934,98,NA,NA,NA
"148",2012-11-02,101.059955190599,103,NA,NA,NA
"149",2012-11-09,101.604059407297,111,NA,NA,NA
"150",2012-11-16,104.937903169517,100,NA,NA,NA
"151",2012-11-23,98.8771391679045,101,NA,NA,NA
"152",2012-11-30,103.814056982528,96,NA,NA,NA
"153",2012-12-07,106.75950782002,98,NA,NA,NA
"154",2012-12-14,107.314524121484,113,NA,NA,NA
"155",2012-12-21,113.063331830434,87,NA,NA,NA
"156",2012-12-28,99.6406009400399,89.5,NA,NA,NA
"157",2013-01-04,82.810688390602,89.5,NA,NA,NA
"158",2013-01-11,100.16445361297,132,NA,NA,NA
"159",2013-01-18,110.074363213633,132,NA,NA,NA
"160",2013-01-25,107.460329815093,106,NA,NA,NA
"161",2013-02-01,104.847891110287,98,NA,NA,NA
"162",2013-02-08,105.697475820781,102,NA,NA,NA
"163",2013-02-15,110.551098209244,141,NA,NA,NA
"164",2013-02-22,108.644197386611,114,NA,NA,NA
"165",2013-03-01,106.731447977734,108,NA,NA,NA
"166",2013-03-08,104.726404207346,112,NA,NA,NA
"167",2013-03-15,104.836419640491,108,NA,NA,NA
"168",2013-03-22,103.419978376716,94,NA,NA,NA
"169",2013-03-29,92.0138238169011,84,NA,NA,NA
"170",2013-04-05,98.4164204271947,115,NA,NA,NA
"171",2013-04-12,103.300907614425,112,NA,NA,NA
"172",2013-04-19,101.2758953119,85,NA,NA,NA
"173",2013-04-26,103.668656438364,112,NA,NA,NA
"174",2013-05-03,105.752319660206,99,NA,NA,NA
"175",2013-05-10,96.3433564778908,106,NA,NA,NA
"176",2013-05-17,104.123848151076,77,NA,NA,NA
"177",2013-05-24,104.433959318599,77,NA,NA,NA
"178",2013-05-31,100.574028624738,86,NA,NA,NA
"179",2013-06-07,96.1300129056233,108,NA,NA,NA
"180",2013-06-14,101.273035050252,90,NA,NA,NA
"181",2013-06-21,97.6283674539547,94,NA,NA,NA
"182",2013-06-28,101.387662068649,107,NA,NA,NA
"183",2013-07-05,94.4408279581468,93,NA,NA,NA
"184",2013-07-12,96.7955672451696,100,NA,NA,NA
"185",2013-07-19,103.646807261834,115,NA,NA,NA
"186",2013-07-26,96.9856494864836,89,NA,NA,NA
"187",2013-08-02,104.633212114611,94,NA,NA,NA
"188",2013-08-09,93.992386309219,98,NA,NA,NA
"189",2013-08-16,97.0471841524203,106,NA,NA,NA
"190",2013-08-23,94.9922054374858,89,NA,NA,NA
"191",2013-08-30,91.4437702665956,76,NA,NA,NA
"192",2013-09-06,88.5121998364098,82,NA,NA,NA
"193",2013-09-13,96.0877407889861,100,NA,NA,NA
"194",2013-09-20,103.159009518134,99,NA,NA,NA
"195",2013-09-27,101.634819924339,97,NA,NA,NA
"196",2013-10-04,96.3156915969899,98,NA,NA,NA
"197",2013-10-11,101.594723989206,107,NA,NA,NA
"198",2013-10-18,94.867853769768,106,NA,NA,NA
"199",2013-10-25,103.328827143157,88,NA,NA,NA
"200",2013-11-01,102.106539738291,104,NA,NA,NA
"201",2013-11-08,102.682184657216,94,NA,NA,NA
"202",2013-11-15,106.067310602501,104,NA,NA,NA
"203",2013-11-22,100.054694070183,109,NA,NA,NA
"204",2013-11-29,105.032309180629,108,NA,NA,NA
"205",2013-12-06,108.006683545111,97,NA,NA,NA
"206",2013-12-13,108.593077310349,101,NA,NA,NA
"207",2013-12-20,114.387762786598,130,NA,NA,NA
"208",2013-12-27,100.965399554671,78.5,NA,NA,NA
"209",2014-01-03,84.1493134583644,78.5,NA,NA,NA
"210",2014-01-10,101.530379027144,124,NA,NA,NA
"211",2014-01-17,111.477816651841,103,NA,NA,NA
"212",2014-01-24,108.934512131135,107,NA,NA,NA
"213",2014-01-31,106.393320115662,113,NA,NA,NA
"214",2014-02-07,107.299458998881,110,NA,NA,NA
"215",2014-02-14,112.202648866221,110,NA,NA,NA
"216",2014-02-21,110.380971319327,110,NA,NA,NA
"217",2014-02-28,108.559709796655,116,NA,NA,NA
"218",2014-03-07,106.639414317004,119,NA,NA,NA
"219",2014-03-14,106.828623000634,123,NA,NA,NA
"220",2014-03-21,105.477170352487,115,NA,NA,NA
"221",2014-03-28,94.1153186858346,95,NA,NA,NA
"222",2014-04-04,100.552500938963,126,NA,NA,NA
"223",2014-04-11,105.461894286543,96,NA,NA,NA
"224",2014-04-18,103.481620110648,90,NA,NA,NA
"225",2014-04-25,105.916067989245,99,NA,NA,NA
"226",2014-05-02,108.058068278381,136,NA,NA,NA
"227",2014-05-09,98.6695557183155,77,NA,NA,NA
"228",2014-05-16,106.504706514545,126,NA,NA,NA
"229",2014-05-23,106.818568269051,120,NA,NA,NA
"230",2014-05-30,102.918035777565,80,NA,NA,NA
"231",2014-06-06,98.4425299942056,109,NA,NA,NA
"232",2014-06-13,103.555495355453,98,NA,NA,NA
"233",2014-06-20,99.8745273692742,119,NA,NA,NA
"234",2014-06-27,103.572674189183,112,NA,NA,NA
"235",2014-07-04,96.5616182909622,89,NA,NA,NA
"236",2014-07-11,98.8588197502112,114,NA,NA,NA
"237",2014-07-18,105.639486899868,109,NA,NA,NA
"238",2014-07-25,98.9164843379775,89,NA,NA,NA
"239",2014-08-01,106.504310669173,109,NA,NA,NA
"240",2014-08-08,95.7894116844184,84,NA,NA,NA
"241",2014-08-15,98.7873868468234,103,NA,NA,NA
"242",2014-08-22,96.6807617965024,98,NA,NA,NA
"243",2014-08-29,93.0726961257989,93,NA,NA,NA
"244",2014-09-05,90.0647098399406,102,NA,NA,NA
"245",2014-09-12,97.5436901062712,97,NA,NA,NA
"246",2014-09-19,104.523264087252,94,NA,NA,NA
"247",2014-09-26,102.914329570446,102,NA,NA,NA
"248",2014-10-03,97.5063935100308,97,NA,NA,NA
"249",2014-10-10,102.699010436036,95,NA,NA,NA
"250",2014-10-17,95.9000347530114,101,NA,NA,NA
"251",2014-10-24,104.295489860526,110,NA,NA,NA
"252",2014-10-31,102.984715589935,115,NA,NA,NA
"253",2014-11-07,103.460820517069,106,NA,NA,NA
"254",2014-11-14,106.734152636601,115,NA,NA,NA
"255",2014-11-21,100.59845837397,95,NA,NA,NA
"256",2014-11-28,105.468877679929,109,NA,NA,NA
"257",2014-12-05,108.335440967487,119,NA,NA,NA
"258",2014-12-12,108.790358457439,92,NA,NA,NA
"259",2014-12-19,114.463611174918,101,NA,NA,NA
"260",2014-12-26,100.951566280964,75.5,NA,NA,NA
"261",2015-01-02,84.0490594444567,75.5,NA,NA,NA
"262",2015-01-09,101.34687082261,106,NA,NA,NA
"263",2015-01-16,111.230510031353,104,NA,NA,NA
"264",2015-01-23,108.622045024267,107,NA,NA,NA
"265",2015-01-30,106.015351305429,114,NA,NA,NA
"266",2015-02-06,106.854483730531,113,NA,NA,NA
"267",2015-02-13,111.686905194736,108,NA,NA,NA
"268",2015-02-20,109.796080066416,116,NA,NA,NA
"269",2015-02-27,107.898480199853,112,NA,NA,NA
"270",2015-03-06,105.90549234463,110,NA,NA,NA
"271",2015-03-13,106.031035286741,114,NA,NA,NA
"272",2015-03-20,104.624874007543,108,NA,NA,NA
"273",2015-03-27,93.2150270593846,109,NA,NA,NA
"274",2015-04-03,99.5879427740297,77,NA,NA,NA
"275",2015-04-10,104.485524732173,111,NA,NA,NA
"276",2015-04-17,102.475992822762,112,NA,NA,NA
"277",2015-04-24,104.856060608974,101,NA,NA,NA
"278",2015-05-01,106.940339249219,101,NA,NA,NA
"279",2015-05-08,97.5311047951476,68,NA,NA,NA
"280",2015-05-15,105.354118582049,102,NA,NA,NA
"281",2015-05-22,105.680795097624,106,NA,NA,NA
"282",2015-05-29,101.807123038478,88,NA,NA,NA
"283",2015-06-05,97.3485284860475,120,NA,NA,NA
"284",2015-06-12,102.465198316145,105,NA,NA,NA
"285",2015-06-19,98.779100119238,98,NA,NA,NA
"286",2015-06-26,102.493852706905,110,NA,NA,NA
"287",2015-07-03,95.5004085119466,81,NA,NA,NA
"288",2015-07-10,97.8227988978861,82,NA,NA,NA
"289",2015-07-17,104.66246792732,113,NA,NA,NA
"290",2015-07-24,97.9930322942191,111,NA,NA,NA
"291",2015-07-31,105.609392931465,116,NA,NA,NA
