"","Week.ended","signal","All.01.14","fit","upr","lwr"
"1",2010-01-08,19.1900731881706,24,NA,NA,NA
"2",2010-01-15,23.9173455993993,29,NA,NA,NA
"3",2010-01-22,21.1900722221182,18,NA,NA,NA
"4",2010-01-29,23.7355263271735,21,NA,NA,NA
"5",2010-02-05,22.462798793789,18,NA,NA,NA
"6",2010-02-12,21.8264351900039,28,NA,NA,NA
"7",2010-02-19,22.5537075442108,17,NA,NA,NA
"8",2010-02-26,21.1900711724243,27,NA,NA,NA
"9",2010-03-05,24.9173435097959,31,NA,NA,NA
"10",2010-03-12,22.0991609020419,28,NA,NA,NA
"11",2010-03-19,24.0256046265073,24,NA,NA,NA
"12",2010-03-26,22.7256034508933,32,NA,NA,NA
"13",2010-04-02,22.1256016658903,16,NA,NA,NA
"14",2010-04-09,21.2256002833794,19,NA,NA,NA
"15",2010-04-16,22.3255990471056,21,NA,NA,NA
"16",2010-04-23,23.5255978979325,31,NA,NA,NA
"17",2010-04-30,21.9255962576414,19,NA,NA,NA
"18",2010-05-07,21.3255948095816,13,NA,NA,NA
"19",2010-05-14,21.0255939085682,25,NA,NA,NA
"20",2010-05-21,22.2255927464104,22,NA,NA,NA
"21",2010-05-28,22.2255915990752,26,NA,NA,NA
"22",2010-06-04,21.1255902037365,20,NA,NA,NA
"23",2010-06-11,20.2255888823564,14,NA,NA,NA
"24",2010-06-18,20.6255879700389,18,NA,NA,NA
"25",2010-06-25,20.6255872302401,15,NA,NA,NA
"26",2010-07-02,19.4255868600793,22,NA,NA,NA
"27",2010-07-09,20.5255863207629,20,NA,NA,NA
"28",2010-07-16,23.8255858159806,26,NA,NA,NA
"29",2010-07-23,21.325585168325,19,NA,NA,NA
"30",2010-07-30,18.525584673476,15,NA,NA,NA
"31",2010-08-06,18.3255844102811,17,NA,NA,NA
"32",2010-08-13,20.1255842341858,20,NA,NA,NA
"33",2010-08-20,17.8255840663425,20,NA,NA,NA
"34",2010-08-27,18.9255837556254,13,NA,NA,NA
"35",2010-09-03,15.8255838342584,13,NA,NA,NA
"36",2010-09-10,18.3255840985513,22,NA,NA,NA
"37",2010-09-17,21.9255841214105,21,NA,NA,NA
"38",2010-09-24,18.3255842050865,19,NA,NA,NA
"39",2010-10-01,20.0255842444493,23,NA,NA,NA
"40",2010-10-08,19.5255840883732,24,NA,NA,NA
"41",2010-10-15,19.9255836382982,28,NA,NA,NA
"42",2010-10-22,20.3255826576805,22,NA,NA,NA
"43",2010-10-29,22.0255815670423,23,NA,NA,NA
"44",2010-11-05,21.2255804123788,21,NA,NA,NA
"45",2010-11-12,22.625579272537,16,NA,NA,NA
"46",2010-11-19,18.3255785680399,11,NA,NA,NA
"47",2010-11-26,21.2255783448821,23,NA,NA,NA
"48",2010-12-03,22.6255780051325,19,NA,NA,NA
"49",2010-12-10,24.3255779036078,29,NA,NA,NA
"50",2010-12-17,22.3255774949426,23,NA,NA,NA
"51",2010-12-24,26.5255770419632,35,NA,NA,NA
"52",2010-12-31,20.8255760321578,21,NA,NA,NA
"53",2011-01-07,18.8065676920751,30,NA,NA,NA
"54",2011-01-14,23.5338386625991,32,NA,NA,NA
"55",2011-01-21,20.8065636222947,18,NA,NA,NA
"56",2011-01-28,23.3520160391276,29,NA,NA,NA
"57",2011-02-04,22.0792862666684,19,NA,NA,NA
"58",2011-02-11,21.4429203329027,18,NA,NA,NA
"59",2011-02-18,22.1701909889957,16,NA,NA,NA
"60",2011-02-25,20.8065529596024,17,NA,NA,NA
"61",2011-03-04,24.5338242712339,27,NA,NA,NA
"62",2011-03-11,21.7156408753665,21,NA,NA,NA
"63",2011-03-18,23.6420842464652,29,NA,NA,NA
"64",2011-03-25,22.3420823637515,24,NA,NA,NA
"65",2011-04-01,21.7420803721019,35,NA,NA,NA
"66",2011-04-08,20.8420775093186,25,NA,NA,NA
"67",2011-04-15,21.9420743733325,27,NA,NA,NA
"68",2011-04-22,23.1420709050073,19,NA,NA,NA
"69",2011-04-29,21.5420677088433,20,NA,NA,NA
