"","Week.ended","signal","Yorkshire.and.The.Humber","fit","upr","lwr"
"565",2020-10-30,NA,NA,990.212653056158,1207.75794671242,772.667359399895
"566",2020-11-06,NA,NA,999.412653056156,1218.36020437307,780.465101739245
"567",2020-11-13,NA,NA,999.412653056155,1219.75353819406,779.071767918253
"568",2020-11-20,NA,NA,1007.21265305616,1228.93811640901,785.487189703306
"569",2020-11-27,NA,NA,1052.41265305616,1275.5141020311,829.311204081219
"570",2020-12-04,NA,NA,1075.81265305615,1300.28165307709,851.343653035216
"571",2020-12-11,NA,NA,1097.21265305616,1323.04092277916,871.384383333165
"572",2020-12-18,NA,NA,995.912653056154,1223.09205978521,768.733246327101
"573",2020-12-25,NA,NA,1035.90279176345,1264.13744201145,807.668141515447
"574",2021-01-01,NA,NA,1276.17551903619,1505.73612657771,1046.61491149466
"575",2021-01-08,NA,NA,1263.53915539982,1494.41810527581,1032.66020552382
"576",2021-01-15,NA,NA,1224.81188267255,1457.00168963411,992.622075710981
"577",2021-01-22,NA,NA,1154.17551903619,1387.66882390349,920.682214168879
"578",2021-01-29,NA,NA,1128.72097358164,1363.51053974433,893.93140741895
"579",2021-02-05,NA,NA,1113.53915539982,1349.61786545193,877.460445347703
"580",2021-02-12,NA,NA,1118.72097358164,1356.08182608448,881.360121078791
"581",2021-02-19,NA,NA,1094.53915539982,1333.17526176658,855.903049033067
"582",2021-02-26,NA,NA,1087.63006449073,1327.53464598698,847.725482994477
"583",2021-03-05,NA,NA,1085.34939658674,1328.48652155587,842.21227161762
"584",2021-03-12,NA,NA,1084.54939658674,1329.16955809594,839.929235077548
"585",2021-03-19,NA,NA,996.449396586748,1242.54365758305,750.355135590441
"586",2021-03-26,NA,NA,983.249396586741,1230.80897966494,735.689813508542
"587",2021-04-02,NA,NA,1042.54939658674,1291.56567929208,793.533113881401
"588",2021-04-09,NA,NA,1020.44939658675,1270.91390690891,769.984886264589
"589",2021-04-16,NA,NA,1010.64939658674,1262.55380863515,758.744984538338
"590",2021-04-23,NA,NA,1015.74939658675,1269.08552643795,762.413266735547
"591",2021-04-30,NA,NA,953.349396586744,1208.10919829518,698.589594878314
"592",2021-05-07,NA,NA,999.749396586742,1255.92495835065,743.573834822836
"593",2021-05-14,NA,NA,979.549396586746,1237.13293706165,721.965856111844
"594",2021-05-21,NA,NA,917.549396586746,1176.5332613392,658.565531834288
"595",2021-05-28,NA,NA,886.349396586745,1146.72605468161,625.972738491875
"596",2021-06-04,NA,NA,973.549396586742,1235.31143730156,711.787355871924
"597",2021-06-11,NA,NA,912.549396586745,1175.6895262472,649.409266926293
"598",2021-06-18,NA,NA,925.449396586745,1189.96043551755,660.938357655941
"599",2021-06-25,NA,NA,924.449396586748,1190.32427617259,658.574517000905
"600",2021-07-02,NA,NA,895.349396586745,1162.58115643823,628.117636735263
"601",2021-07-09,NA,NA,928.849396586743,1197.43118180654,660.267611366945
"602",2021-07-16,NA,NA,890.249396586744,1160.17445513149,620.324338041994
"603",2021-07-23,NA,NA,901.349396586745,1172.61107672038,630.087716453114
"604",2021-07-30,NA,NA,901.84939658675,1174.44114442122,629.257648752275
"605",2021-08-06,NA,NA,895.749396586745,1169.6647537064,621.834039467092
"606",2021-08-13,NA,NA,910.349396586743,1185.58199775259,635.116795420892
"607",2021-08-20,NA,NA,871.049396586747,1147.59296751736,594.505825656135
"608",2021-08-27,NA,NA,880.449396586744,1158.29775181237,602.601041361114
"609",2021-09-03,NA,NA,939.049396586748,1218.19643737372,659.90235579978
"610",2021-09-10,NA,NA,916.549396586745,1196.98910892908,636.109684244405
"611",2021-09-17,NA,NA,941.649396586741,1223.37584926236,659.922943911122
"612",2021-09-24,NA,NA,918.649396586747,1201.65673927545,635.642053898043
"613",2021-10-01,NA,NA,949.449396586747,1233.73185804762,665.16693512587
"614",2021-10-08,NA,NA,974.149396586746,1259.70128289252,688.597510280968
"615",2021-10-15,NA,NA,978.849396586743,1265.66508941285,692.033703760632
"616",2021-10-22,NA,NA,966.449396586747,1254.52335155292,678.375441620569
"617",2021-10-29,NA,NA,996.649396586745,1285.97614164912,707.32265152437
"618",2021-11-05,NA,NA,1005.84939658674,1296.42353047846,715.275262695026
"619",2021-11-12,NA,NA,1005.84939658674,1297.66558730524,714.033205868243
"620",2021-11-19,NA,NA,1013.64939658674,1306.70237992592,720.596413247571
"621",2021-11-26,NA,NA,1058.84939658675,1353.13397471228,764.564818461215
"622",2021-12-03,NA,NA,1082.24939658674,1377.76043665302,786.738356520459
"623",2021-12-10,NA,NA,1103.64939658675,1400.3818293938,806.916963779702
"624",2021-12-17,NA,NA,1002.34939658674,1300.29821527566,704.400577897822
"625",2021-12-24,NA,NA,1042.33953529404,1341.37839585813,743.300674729943
"626",2021-12-31,NA,NA,1282.61226256677,1582.83289240753,982.391632726019
"627",2022-01-07,NA,NA,1269.97589893041,1571.37366441066,968.578133450157
"628",2022-01-14,NA,NA,1231.24862620314,1533.81894776656,928.678304639707
"629",2022-01-21,NA,NA,1160.61226256677,1464.35061369403,856.873911439517
"630",2022-01-28,NA,NA,1135.15771711223,1440.05962330504,830.25581091941
"631",2022-02-04,NA,NA,1119.97589893041,1426.03693672274,813.914861138071
"632",2022-02-11,NA,NA,1125.15771711222,1432.37351310753,817.941921116918
"633",2022-02-18,NA,NA,1100.97589893041,1409.34212886413,792.609668996687
"634",2022-02-25,NA,NA,1094.06680802132,1403.57919584779,784.554420194843
