"","Week.ended","lwr","50%","upr","fit"
"531",2020-03-06,1236.42842338356,1302.26860086123,1363.95768805532,1301.70771745566
"532",2020-03-13,2469.59219705271,2580.16122933115,2682.28918233355,2579.73940075521
"533",2020-03-20,3626.02003517136,3784.24367968881,3928.55922191338,3782.00690013381
"534",2020-03-27,4756.80741222701,4961.66997002891,5143.23213536678,4958.92908916861
"535",2020-04-03,5952.83164183833,6200.54457940431,6425.89167703248,6199.47732198663
"536",2020-04-10,7156.91593295388,7438.10077951179,7703.4917496495,7436.19960035738
"537",2020-04-17,8322.75589375569,8645.12906376884,8958.67454074664,8644.03040354641
"538",2020-04-24,9534.4585751494,9889.1971850631,10247.6664145999,9889.87869156633
"539",2020-05-01,10668.3131112943,11059.084878757,11452.598527224,11055.6036636012
"540",2020-05-08,11844.7376110641,12264.7773646699,12705.4100651437,12262.4971194234
"541",2020-05-15,13009.0941188373,13495.9266198582,13988.6283673817,13491.1415217763
"542",2020-05-22,14110.0338372249,14630.2551943634,15185.9545271637,14630.4614748967
"543",2020-05-29,15158.9128914314,15721.4571913676,16329.4347282385,15729.1537861364
"544",2020-06-05,16331.8583165737,16927.0776254614,17595.2977822369,16936.0324881734
"545",2020-06-12,17458.506267783,18109.0584130574,18825.3860244149,18110.7934498635
"546",2020-06-19,18586.6764919357,19265.0586943181,20045.9405411104,19273.3040599517
"547",2020-06-26,19706.55738551,20440.5807181246,21267.9095339648,20444.4237955723
"548",2020-07-03,20822.6311284407,21604.5347001867,22483.6273205533,21602.8470365526
"549",2020-07-10,21936.652815571,22772.7910037775,23701.0639744051,22770.9230934655
"550",2020-07-17,23041.2643203574,23912.9253942768,24886.4128045467,23910.8429900777
"551",2020-07-24,24142.9080410783,25066.3743866393,26092.9371121744,25066.8722982839
"552",2020-07-31,25241.0640945402,26209.2433416169,27285.9641660541,26207.6993163135
"553",2020-08-07,26332.4916568213,27357.8577121973,28527.9857845656,27363.7186654155
"554",2020-08-14,27434.5267926305,28499.5716357605,29716.887460855,28515.2940457977
"555",2020-08-21,28452.9605075224,29567.848025849,30837.0665520456,29578.2971896308
"556",2020-08-28,29495.9485222212,30654.4589456875,31981.1061543127,30666.7158034238
"557",2020-09-04,30642.3687093063,31839.9060567439,33197.8275233609,31844.6906164284
"558",2020-09-11,31718.252320127,32996.9481080866,34383.2615685976,33005.8288381728
"559",2020-09-18,32819.6110265716,34162.6593646459,35602.384590454,34168.9352981814
"560",2020-09-25,33941.0025850991,35326.0667477043,36812.338635916,35321.3350608471
"561",2020-10-02,35075.5245351588,36517.0088262404,38072.4526706467,36516.912145834
"562",2020-10-09,36201.5210204529,37696.3990508912,39297.5748222897,37691.3175960189
"563",2020-10-16,37322.4970500402,38885.0650485085,40509.0127836955,38871.5311536507
"564",2020-10-23,38432.1919798659,40071.9720798821,41748.0344378021,40065.6336866764
"565",2020-10-30,39573.4010822306,41277.7498894159,43026.3887562242,41268.2905070806
"566",2020-11-06,40766.8893709263,42503.2504127773,44292.0301136097,42497.2330279592
"567",2020-11-13,41913.5557430637,43709.3860024559,45563.5775152321,43709.3961340331
"568",2020-11-20,43083.5586380535,44938.7260564157,46837.0978794227,44934.0912919095
"569",2020-11-27,44267.3870630025,46197.923431887,48152.4240608811,46186.90262371
"570",2020-12-04,45460.5635684602,47452.0111015514,49482.5590311111,47445.8319328639
"571",2020-12-11,46730.62004928,48762.8992229507,50832.969528623,48752.6509819534
"572",2020-12-18,47870.2890450446,49948.1731050323,52094.0774893515,49947.6194307486
"573",2020-12-25,48929.7757555208,51089.6508924105,53281.0461659464,51086.8522874555
"574",2021-01-01,50185.4518707019,52407.1166907564,54656.4654481406,52396.1734435212
"575",2021-01-08,51525.8925182764,53805.0878700142,56133.9080870347,53794.1669939336
"576",2021-01-15,52792.0957889755,55163.1814693577,57551.2970890425,55151.5347460823
"577",2021-01-22,54075.297768755,56505.7448747726,58990.7148492417,56494.5115751723
"578",2021-01-29,55304.6549982257,57810.6299274166,60362.3806575379,57793.2044416014
"579",2021-02-05,56546.5285124334,59113.7595050998,61759.6587523392,59101.8426433029
"580",2021-02-12,57741.1460691215,60409.1544725684,63093.6110004365,60389.3962407517
"581",2021-02-19,58988.6912695742,61713.6933507209,64478.1147654342,61692.9604910904
"582",2021-02-26,60186.1796266311,62977.2617092085,65799.8256052678,62948.2224991316
"583",2021-03-05,61406.8499550006,64275.1963418964,67185.7114565875,64247.655730305
"584",2021-03-12,62595.4994430655,65535.8471469091,68544.8477819466,65523.6600722321
"585",2021-03-19,63709.4731405312,66746.3739303916,69795.8250090865,66723.9881991779
"586",2021-03-26,64792.5978829049,67925.664859849,71047.6541378036,67899.2508455578
"587",2021-04-02,65941.7508172639,69160.8956018268,72350.4916191179,69138.364701727
"588",2021-04-09,67083.8079915723,70396.4060559973,73656.3980919839,70373.2028366635
"589",2021-04-16,68212.1289124846,71604.7914216666,74897.3177035972,71579.3100141179
"590",2021-04-23,69411.6251506743,72849.7886136007,76215.113152023,72823.532844357
"591",2021-04-30,70510.1436567493,74008.8576229183,77488.187298052,73987.2662866001
"592",2021-05-07,71675.5194884423,75208.9290694185,78779.6459338642,75192.295401576
"593",2021-05-14,72816.8069556565,76434.2719616124,80090.4572109815,76419.3221003056
"594",2021-05-21,73913.6838229379,77580.6161473789,81308.2577494366,77556.66840981
"595",2021-05-28,74965.604002861,78681.2366738613,82519.2346406386,78653.5499645406
"596",2021-06-04,76093.3340723844,79884.7792576547,83812.7382521291,79858.7972665681
"597",2021-06-11,77211.6761539529,81043.3458211034,85067.5131539949,81032.0295938835
"598",2021-06-18,78283.229460229,82198.6137878498,86313.297932241,82192.8612684106
"599",2021-06-25,79410.6193386703,83388.2696218663,87547.6647985377,83362.2993148034
"600",2021-07-02,80466.4751609929,84541.4639960841,88779.3328327407,84519.0350130287
"601",2021-07-09,81552.8365290043,85707.8433955915,90037.5579599708,85685.392026924
"602",2021-07-16,82617.0013604387,86833.0891661327,91245.6742277036,86823.5926043416
"603",2021-07-23,83685.9930686436,87996.9376299689,92469.4829276914,87977.8988329413
"604",2021-07-30,84715.530836925,89103.254512662,93687.2463071471,89117.1717732034
"605",2021-08-06,85843.8065001059,90250.8786912078,94955.2808458576,90271.3952026836
"606",2021-08-13,86885.7015319352,91405.8421876052,96176.9403850947,91421.3029609129
"607",2021-08-20,87879.7878312981,92458.9776280969,97357.7931927389,92482.8800743905
"608",2021-08-27,88909.5995397754,93537.4799053406,98503.1264368488,93569.848377092
"609",2021-09-03,89978.3006086248,94729.6141665464,99776.8133853847,94746.1705202371
"610",2021-09-10,91025.4876793536,95887.7699925471,101024.344279983,95905.5349180277
"611",2021-09-17,92124.8942158209,97053.9570513891,102271.288220097,97066.8318313255
"612",2021-09-24,93196.7253269322,98217.0949348321,103509.662963852,98217.2598052653
"613",2021-10-01,94287.1777949453,99415.2027478886,104759.840187319,99411.0960190917
"614",2021-10-08,95360.883086007,100592.738953508,106021.303091265,100583.787142064
