"","Week.ended","signal","West.Midlands","fit","upr","lwr"
"112",2012-02-24,1045.39387429282,1086,NA,NA,NA
"113",2012-03-02,1046.72272621572,1128,NA,NA,NA
"114",2012-03-09,1061.5436755446,1099,NA,NA,NA
"115",2012-03-16,1053.14244409884,985,NA,NA,NA
"116",2012-03-23,1023.76201368225,961,NA,NA,NA
"117",2012-03-30,945.575780468512,935,NA,NA,NA
"118",2012-04-06,933.673926128673,827,NA,NA,NA
"119",2012-04-13,1016.23183225125,972,NA,NA,NA
"120",2012-04-20,1025.66087913695,1136,NA,NA,NA
"121",2012-04-27,976.066266306674,1051,NA,NA,NA
"122",2012-05-04,993.765253681436,1070,NA,NA,NA
"123",2012-05-11,923.435159318879,876,NA,NA,NA
"124",2012-05-18,962.932052740795,1090,NA,NA,NA
"125",2012-05-25,982.113634952853,965,NA,NA,NA
"126",2012-06-01,887.493577437267,945,NA,NA,NA
"127",2012-06-08,857.970949050831,647,NA,NA,NA
"128",2012-06-15,977.126402497508,1116,NA,NA,NA
"129",2012-06-22,920.760724227369,960,NA,NA,NA
"130",2012-06-29,909.810945762333,896,NA,NA,NA
"131",2012-07-06,919.501948262328,927,NA,NA,NA
"132",2012-07-13,903.162229219835,898,NA,NA,NA
"133",2012-07-20,905.212508831648,909,NA,NA,NA
"134",2012-07-27,889.996757065575,896,NA,NA,NA
"135",2012-08-03,876.676344355064,868,NA,NA,NA
"136",2012-08-10,905.80719562044,935,NA,NA,NA
"137",2012-08-17,895.729097554499,909,NA,NA,NA
"138",2012-08-24,902.11963367534,937,NA,NA,NA
"139",2012-08-31,856.1020631242,812,NA,NA,NA
"140",2012-09-07,843.253370932422,954,NA,NA,NA
"141",2012-09-14,917.873914499012,897,NA,NA,NA
"142",2012-09-21,905.358375306567,878,NA,NA,NA
"143",2012-09-28,909.219803884585,902,NA,NA,NA
"144",2012-10-05,925.907103013147,914,NA,NA,NA
"145",2012-10-12,940.501991383133,965,NA,NA,NA
"146",2012-10-19,933.769779809527,883,NA,NA,NA
"147",2012-10-26,964.222692020158,990,NA,NA,NA
"148",2012-11-02,962.726200895337,951,NA,NA,NA
"149",2012-11-09,952.034145152154,951,NA,NA,NA
"150",2012-11-16,1005.56011876569,1000,NA,NA,NA
"151",2012-11-23,996.583027866855,1022,NA,NA,NA
"152",2012-11-30,1006.06281575216,999,NA,NA,NA
"153",2012-12-07,1027.26573724625,958,NA,NA,NA
"154",2012-12-14,1048.77624230088,1014,NA,NA,NA
"155",2012-12-21,1090.6930387222,1085,NA,NA,NA
"156",2012-12-28,951.009087966673,792,NA,NA,NA
"157",2013-01-04,998.739764756876,1268,NA,NA,NA
"158",2013-01-11,1315.04277893196,1325,NA,NA,NA
"159",2013-01-18,1266.08128914875,1072,NA,NA,NA
"160",2013-01-25,1220.13978935891,1158,NA,NA,NA
"161",2013-02-01,1191.7361843254,1149,NA,NA,NA
"162",2013-02-08,1168.25946300947,1172,NA,NA,NA
"163",2013-02-15,1142.62661982707,1174,NA,NA,NA
"164",2013-02-22,1122.90135646164,1074,NA,NA,NA
"165",2013-03-01,1125.30136993383,1093,NA,NA,NA
"166",2013-03-08,1143.1736185891,1198,NA,NA,NA
"167",2013-03-15,1137.52085571879,1223,NA,NA,NA
"168",2013-03-22,1108.21064468772,1121,NA,NA,NA
"169",2013-03-29,1028.7774631688,960,NA,NA,NA
"170",2013-04-05,1016.64335260703,1153,NA,NA,NA
"171",2013-04-12,1094.73199100734,1371,NA,NA,NA
"172",2013-04-19,1094.10415420328,1197,NA,NA,NA
"173",2013-04-26,1034.58242424553,1066,NA,NA,NA
"174",2013-05-03,1043.11295814145,1042,NA,NA,NA
"175",2013-05-10,964.962895425071,870,NA,NA,NA
"176",2013-05-17,997.468422267618,1047,NA,NA,NA
"177",2013-05-24,1011.01041222491,1000,NA,NA,NA
"178",2013-05-31,910.644358455608,846,NA,NA,NA
"179",2013-06-07,877.505318815602,1002,NA,NA,NA
"180",2013-06-14,987.195830460999,909,NA,NA,NA
"181",2013-06-21,925.14961351764,861,NA,NA,NA
"182",2013-06-28,910.321785286769,846,NA,NA,NA
"183",2013-07-05,917.01534742268,894,NA,NA,NA
"184",2013-07-12,898.210160686385,902,NA,NA,NA
"185",2013-07-19,897.638901634481,969,NA,NA,NA
"186",2013-07-26,878.623528354194,852,NA,NA,NA
"187",2013-08-02,862.072311472758,853,NA,NA,NA
"188",2013-08-09,887.979261884791,828,NA,NA,NA
"189",2013-08-16,876.23189481612,849,NA,NA,NA
"190",2013-08-23,881.659290448457,902,NA,NA,NA
"191",2013-08-30,834.93206477103,754,NA,NA,NA
"192",2013-09-06,822.015814199367,895,NA,NA,NA
"193",2013-09-13,897.227152382913,881,NA,NA,NA
"194",2013-09-20,885.221395841565,842,NA,NA,NA
"195",2013-09-27,889.869164046464,930,NA,NA,NA
"196",2013-10-04,906.517288535804,910,NA,NA,NA
"197",2013-10-11,920.804695197284,915,NA,NA,NA
"198",2013-10-18,914.293301308496,937,NA,NA,NA
"199",2013-10-25,943.686037294822,951,NA,NA,NA
"200",2013-11-01,941.45126115934,963,NA,NA,NA
"201",2013-11-08,929.44080284954,963,NA,NA,NA
"202",2013-11-15,981.045271220746,925,NA,NA,NA
"203",2013-11-22,971.026836651222,992,NA,NA,NA
"204",2013-11-29,979.542754529545,986,NA,NA,NA
"205",2013-12-06,999.546096352424,1000,NA,NA,NA
"206",2013-12-13,1018.64152478833,1058,NA,NA,NA
"207",2013-12-20,1056.85077489824,1091,NA,NA,NA
"208",2013-12-27,912.764665101818,616,NA,NA,NA
"209",2014-01-03,958.494822925037,1212,NA,NA,NA
"210",2014-01-10,1273.0719928857,1304,NA,NA,NA
"211",2014-01-17,1222.01905278197,1181,NA,NA,NA
"212",2014-01-24,1171.3176052626,1084,NA,NA,NA
"213",2014-01-31,1138.59300424951,1114,NA,NA,NA
"214",2014-02-07,1110.47897752215,1039,NA,NA,NA
"215",2014-02-14,1081.52021104547,1105,NA,NA,NA
"216",2014-02-21,1058.60664179038,1024,NA,NA,NA
"217",2014-02-28,1057.56913434791,1098,NA,NA,NA
"218",2014-03-07,1070.73584336085,1049,NA,NA,NA
"219",2014-03-14,1061.71233186709,998,NA,NA,NA
"220",2014-03-21,1031.63238652541,1057,NA,NA,NA
"221",2014-03-28,951.210180490067,964,NA,NA,NA
"222",2014-04-04,936.66499587402,1024,NA,NA,NA
"223",2014-04-11,1013.19720687327,1000,NA,NA,NA
"224",2014-04-18,1016.05949887214,862,NA,NA,NA
"225",2014-04-25,964.507674622155,919,NA,NA,NA
"226",2014-05-02,982.349234257723,1081,NA,NA,NA
"227",2014-05-09,911.770909753158,860,NA,NA,NA
"228",2014-05-16,951.095162800172,1002,NA,NA,NA
"229",2014-05-23,971.431937463242,919,NA,NA,NA
"230",2014-05-30,878.582814079805,748,NA,NA,NA
"231",2014-06-06,854.110280332744,997,NA,NA,NA
"232",2014-06-13,972.146597522683,982,NA,NA,NA
"233",2014-06-20,916.911129825609,893,NA,NA,NA
"234",2014-06-27,908.192530387489,927,NA,NA,NA
"235",2014-07-04,919.546040248683,898,NA,NA,NA
"236",2014-07-11,905.375185236756,848,NA,NA,NA
"237",2014-07-18,910.504613095243,927,NA,NA,NA
"238",2014-07-25,898.146459259771,897,NA,NA,NA
"239",2014-08-01,887.808292872782,939,NA,NA,NA
"240",2014-08-08,918.877646792084,954,NA,NA,NA
"241",2014-08-15,910.634675223669,865,NA,NA,NA
"242",2014-08-22,919.887301677904,885,NA,NA,NA
"243",2014-08-29,877.948155715536,824,NA,NA,NA
"244",2014-09-05,869.349545558498,1026,NA,NA,NA
"245",2014-09-12,947.419880755208,963,NA,NA,NA
"246",2014-09-19,937.718591096399,962,NA,NA,NA
"247",2014-09-26,943.493977708089,941,NA,NA,NA
"248",2014-10-03,962.012844496276,969,NA,NA,NA
"249",2014-10-10,978.109896741556,975,NA,NA,NA
"250",2014-10-17,973.361167137537,920,NA,NA,NA
"251",2014-10-24,1005.84273974017,1014,NA,NA,NA
"252",2014-10-31,1006.68209811425,974,NA,NA,NA
"253",2014-11-07,998.691238403228,992,NA,NA,NA
"254",2014-11-14,1055.01703419632,1054,NA,NA,NA
"255",2014-11-21,1048.76056103255,963,NA,NA,NA
"256",2014-11-28,1062.89924330583,1025,NA,NA,NA
"257",2014-12-05,1089.29866355711,1034,NA,NA,NA
"258",2014-12-12,1115.76216445902,1065,NA,NA,NA
"259",2014-12-19,1162.91065637864,1204,NA,NA,NA
"260",2014-12-26,1027.642793895,743,NA,NA,NA
"261",2015-01-02,1081.97986550632,1296,NA,NA,NA
"262",2015-01-09,1405.85233416519,1713,NA,NA,NA
"263",2015-01-16,1359.27906049722,1542,NA,NA,NA
"264",2015-01-23,1309.15658121478,1400,NA,NA,NA
"265",2015-01-30,1273.90487706309,1395,NA,NA,NA
"266",2015-02-06,1240.72381050765,1229,NA,NA,NA
"267",2015-02-13,1205.65622856876,1161,NA,NA,NA
"268",2015-02-20,1177.82173180173,1152,NA,NA,NA
"269",2015-02-27,1171.7101401308,1149,NA,NA,NA
"270",2015-03-06,1180.90356949213,1188,NA,NA,NA
"271",2015-03-13,1167.40411452882,1101,NA,NA,NA
"272",2015-03-20,1132.89515443906,1083,NA,NA,NA
"273",2015-03-27,1049.35606985552,1071,NA,NA,NA
"274",2015-04-03,1031.53964352602,980,NA,NA,NA
"275",2015-04-10,1107.221762837,994,NA,NA,NA
"276",2015-04-17,1110.97779803963,1294,NA,NA,NA
"277",2015-04-24,1054.44301176129,1115,NA,NA,NA
"278",2015-05-01,1065.45247084323,1053,NA,NA,NA
"279",2015-05-08,989.979027146328,949,NA,NA,NA
"280",2015-05-15,1024.22001458777,1057,NA,NA,NA
"281",2015-05-22,1039.78951354049,1018,NA,NA,NA
"282",2015-05-29,941.63889234998,844,NA,NA,NA
"283",2015-06-05,911.29051423025,1042,NA,NA,NA
"284",2015-06-12,1023.66333807132,975,NA,NA,NA
"285",2015-06-19,963.784561848506,943,NA,NA,NA
"286",2015-06-26,950.368145086507,927,NA,NA,NA
"287",2015-07-03,957.759130150697,964,NA,NA,NA
"288",2015-07-10,939.141311466698,941,NA,NA,NA
"289",2015-07-17,938.791088280757,882,NA,NA,NA
"290",2015-07-24,922.230964779294,938,NA,NA,NA
"291",2015-07-31,907.395922848388,917,NA,NA,NA
"292",2015-08-07,934.693442785103,913,NA,NA,NA
