"","Week.ended","signal","Female.01.14","fit","upr","lwr"
"1",2010-01-08,8.40770395930091,15,NA,NA,NA
"2",2010-01-15,11.3167617883286,12,NA,NA,NA
"3",2010-01-22,10.316725279784,9,NA,NA,NA
"4",2010-01-29,10.8621499240059,12,NA,NA,NA
"5",2010-02-05,10.7712052221459,7,NA,NA,NA
"6",2010-02-12,8.68027944414903,14,NA,NA,NA
"7",2010-02-19,9.95296333549387,14,NA,NA,NA
"8",2010-02-26,9.49835419158415,13,NA,NA,NA
"9",2010-03-05,11.4073638400936,15,NA,NA,NA
"10",2010-03-12,8.9527190971611,8,NA,NA,NA
"11",2010-03-19,12.1577568951856,10,NA,NA,NA
"12",2010-03-26,10.9576732151301,15,NA,NA,NA
"13",2010-04-02,10.357569250727,8,NA,NA,NA
"14",2010-04-09,9.35747711657812,10,NA,NA,NA
"15",2010-04-16,10.5573817582572,13,NA,NA,NA
"16",2010-04-23,10.257274142907,15,NA,NA,NA
"17",2010-04-30,9.65714272861468,7,NA,NA,NA
"18",2010-05-07,9.85702464783296,5,NA,NA,NA
"19",2010-05-14,9.25693093954328,15,NA,NA,NA
"20",2010-05-21,10.8568084126014,10,NA,NA,NA
"21",2010-05-28,8.8566901851138,8,NA,NA,NA
"22",2010-06-04,10.0565762564874,6,NA,NA,NA
"23",2010-06-11,7.55648268371245,9,NA,NA,NA
"24",2010-06-18,8.95638186738493,8,NA,NA,NA
"25",2010-06-25,9.15628585017004,9,NA,NA,NA
"26",2010-07-02,8.15619061719585,13,NA,NA,NA
"27",2010-07-09,8.85607107804358,6,NA,NA,NA
"28",2010-07-16,9.9559658706221,11,NA,NA,NA
"29",2010-07-23,9.85585542424984,11,NA,NA,NA
"30",2010-07-30,8.15573923657361,8,NA,NA,NA
"31",2010-08-06,7.45562383039508,7,NA,NA,NA
"32",2010-08-13,8.85551071053132,14,NA,NA,NA
"33",2010-08-20,8.15537177568167,12,NA,NA,NA
"34",2010-08-27,7.85521354853308,2,NA,NA,NA
