"","Week.ended","signal","Male.15.44","fit","upr","lwr"
"1",2010-01-08,135.065534274582,184,NA,NA,NA
"2",2010-01-15,183.609923405688,214,NA,NA,NA
"3",2010-01-22,214.279011217699,219,NA,NA,NA
"4",2010-01-29,218.484680266729,222,NA,NA,NA
"5",2010-02-05,217.22919666139,203,NA,NA,NA
"6",2010-02-12,216.45500291873,200,NA,NA,NA
"7",2010-02-19,214.166282540629,216,NA,NA,NA
"8",2010-02-26,211.419570154442,222,NA,NA,NA
"9",2010-03-05,206.016607743308,235,NA,NA,NA
"10",2010-03-12,207.559169757055,214,NA,NA,NA
"11",2010-03-19,204.87491280584,189,NA,NA,NA
"12",2010-03-26,213.407933870182,185,NA,NA,NA
"13",2010-04-02,187.394348910006,144,NA,NA,NA
"14",2010-04-09,194.462325559073,176,NA,NA,NA
"15",2010-04-16,202.465002970354,196,NA,NA,NA
"16",2010-04-23,201.479831642326,229,NA,NA,NA
"17",2010-04-30,201.642934933589,220,NA,NA,NA
"18",2010-05-07,210.271535304417,148,NA,NA,NA
"19",2010-05-14,203.317177796097,217,NA,NA,NA
"20",2010-05-21,205.837102814745,232,NA,NA,NA
"21",2010-05-28,211.207853504233,221,NA,NA,NA
"22",2010-06-04,180.660199418762,155,NA,NA,NA
"23",2010-06-11,180.060774819637,197,NA,NA,NA
"24",2010-06-18,199.429512193214,189,NA,NA,NA
"25",2010-06-25,202.017852298934,211,NA,NA,NA
"26",2010-07-02,203.389310058463,179,NA,NA,NA
"27",2010-07-09,202.406608611245,207,NA,NA,NA
"28",2010-07-16,193.515273680567,197,NA,NA,NA
"29",2010-07-23,194.017389051749,195,NA,NA,NA
"30",2010-07-30,198.11765756194,191,NA,NA,NA
"31",2010-08-06,202.631304026158,224,NA,NA,NA
"32",2010-08-13,192.304787075675,213,NA,NA,NA
"33",2010-08-20,195.839372551838,169,NA,NA,NA
"34",2010-08-27,194.724403822708,193,NA,NA,NA
"35",2010-09-03,178.912676187273,159,NA,NA,NA
"36",2010-09-10,172.03837531258,210,NA,NA,NA
"37",2010-09-17,200.392723875505,215,NA,NA,NA
"38",2010-09-24,197.419617413122,227,NA,NA,NA
"39",2010-10-01,193.090913305741,185,NA,NA,NA
"40",2010-10-08,195.577416429853,204,NA,NA,NA
"41",2010-10-15,203.648088933452,202,NA,NA,NA
"42",2010-10-22,197.52185909352,200,NA,NA,NA
"43",2010-10-29,203.190971477511,207,NA,NA,NA
"44",2010-11-05,200.952924622942,204,NA,NA,NA
"45",2010-11-12,201.909150654648,203,NA,NA,NA
"46",2010-11-19,208.763326386482,208,NA,NA,NA
"47",2010-11-26,213.618936824217,203,NA,NA,NA
"48",2010-12-03,206.494506026114,187,NA,NA,NA
"49",2010-12-10,217.60671601933,212,NA,NA,NA
"50",2010-12-17,216.329464084728,214,NA,NA,NA
"51",2010-12-24,220.656590481505,249,NA,NA,NA
"52",2010-12-31,173.330444179188,132,NA,NA,NA
"53",2011-01-07,129.0754268579,190,NA,NA,NA
"54",2011-01-14,177.548816154887,242,NA,NA,NA
"55",2011-01-21,208.082884766439,246,NA,NA,NA
"56",2011-01-28,212.091141018561,208,NA,NA,NA
"57",2011-02-04,210.652541297683,206,NA,NA,NA
"58",2011-02-11,209.677231689695,203,NA,NA,NA
"59",2011-02-18,207.169017690261,224,NA,NA,NA
"60",2011-02-25,204.174623656277,186,NA,NA,NA
"61",2011-03-04,198.578025999619,168,NA,NA,NA
"62",2011-03-11,200.038901103139,196,NA,NA,NA
"63",2011-03-18,197.292654362968,198,NA,NA,NA
"64",2011-03-25,205.732518545923,218,NA,NA,NA
"65",2011-04-01,179.549325451748,167,NA,NA,NA
"66",2011-04-08,186.389719373035,197,NA,NA,NA
"67",2011-04-15,194.110170799869,207,NA,NA,NA
"68",2011-04-22,192.806395219298,154,NA,NA,NA
"69",2011-04-29,192.775557984904,165,NA,NA,NA
"70",2011-05-06,201.296926147384,205,NA,NA,NA
"71",2011-05-13,194.11133421782,241,NA,NA,NA
"72",2011-05-20,196.337612955002,193,NA,NA,NA
"73",2011-05-27,201.470164884212,197,NA,NA,NA
"74",2011-06-03,170.711118687183,145,NA,NA,NA
"75",2011-06-10,169.900397681529,216,NA,NA,NA
"76",2011-06-17,189.0030304225,183,NA,NA,NA
"77",2011-06-24,191.316946126207,180,NA,NA,NA
"78",2011-07-01,192.452132533609,208,NA,NA,NA
"79",2011-07-08,191.158096032437,193,NA,NA,NA
"80",2011-07-15,181.960597590818,159,NA,NA,NA
"81",2011-07-22,182.20625461381,199,NA,NA,NA
"82",2011-07-29,186.020347045252,166,NA,NA,NA
"83",2011-08-05,190.272068609602,196,NA,NA,NA
"84",2011-08-12,179.713024272088,170,NA,NA,NA
"85",2011-08-19,183.072235995792,194,NA,NA,NA
"86",2011-08-26,181.710908500912,179,NA,NA,NA
