"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,167.691269833371,184.506432852386,201.415727985002,184.371335850673
"532",2020-03-13,352.342393403043,377.460335923626,404.73331022167,377.708990964563
"533",2020-03-20,509.38826106696,544.318060160019,583.498264972563,544.964201248126
"534",2020-03-27,673.570939299416,718.289193793288,767.847225189496,719.30567001187
"535",2020-04-03,846.666558644201,902.034342156888,960.989748943655,901.769993209312
"536",2020-04-10,1019.95587513873,1082.64822624386,1150.97286076042,1082.73220548197
"537",2020-04-17,1188.39735082531,1263.30694114224,1342.55348147887,1264.24013116136
"538",2020-04-24,1367.9154705507,1453.72630559666,1542.97746796831,1454.7696299769
"539",2020-05-01,1543.925718715,1637.1967182484,1736.15259785068,1638.19070059514
"540",2020-05-08,1719.51672604567,1825.16003366954,1934.15507100398,1824.48326347419
"541",2020-05-15,1896.5956123047,2016.78910712024,2134.3963576673,2015.21296205323
"542",2020-05-22,2047.82675734816,2176.2159553372,2309.22636625626,2175.72847640526
"543",2020-05-29,2197.83457854442,2336.60178062867,2480.81935231603,2335.66493778064
"544",2020-06-05,2367.85104826366,2515.28523439528,2671.43419815088,2515.03729913684
"545",2020-06-12,2539.31545316775,2698.1505683019,2862.30525648816,2697.68963301258
"546",2020-06-19,2712.48455231783,2882.27565241976,3053.89044281012,2880.9761088508
"547",2020-06-26,2879.68710065994,3065.53270355281,3251.06936647185,3063.34442384921
"548",2020-07-03,3041.99046871083,3240.57847232588,3433.09333991391,3236.80817003541
"549",2020-07-10,3203.57637267274,3412.57355457154,3616.12647131842,3410.86388323854
"550",2020-07-17,3375.7890230154,3592.11353246457,3807.02274002039,3588.87976636585
"551",2020-07-24,3545.0321391044,3775.00353385353,4001.18647130637,3771.65138420597
"552",2020-07-31,3703.89873754888,3948.39683283475,4184.17164046257,3943.55212495361
"553",2020-08-07,3867.43782329437,4123.00974795224,4370.82765966473,4119.36479982271
"554",2020-08-14,4027.82525106264,4297.30545475006,4564.83273393741,4293.96368713073
"555",2020-08-21,4175.12713447294,4456.22313250579,4729.11926210361,4452.84180662621
"556",2020-08-28,4314.0872861304,4606.15327122715,4893.57504325598,4604.22422081714
"557",2020-09-04,4485.92501692319,4786.78618889626,5086.24242228848,4784.64474840565
"558",2020-09-11,4650.34120106686,4962.8944112177,5280.11057631444,4961.9151053067
"559",2020-09-18,4810.11019950519,5137.49780453893,5464.25740796914,5135.10170190035
"560",2020-09-25,4970.8989765341,5316.35003039135,5653.51017581623,5311.3240259695
"561",2020-10-02,5141.3053002111,5499.07926787798,5848.55563152455,5495.60947501625
"562",2020-10-09,5305.8561387712,5678.98917497863,6039.88855418369,5673.66200607236
"563",2020-10-16,5479.40694242268,5863.72583829169,6233.74173305408,5857.52975057767
"564",2020-10-23,5641.95842566405,6042.35022748434,6432.2021963376,6038.9908503288
"565",2020-10-30,5811.72657386891,6226.27035737503,6627.82234321958,6221.8612860015
"566",2020-11-06,5980.22457289349,6415.08197233255,6828.11628503604,6411.88146608054
"567",2020-11-13,6164.31424624496,6610.29918698698,7037.44704020626,6606.60592707329
"568",2020-11-20,6338.32021588754,6797.78676583234,7232.0832381336,6794.11861310168
"569",2020-11-27,6524.73524369045,6998.971266126,7445.45012220939,6993.32425393301
"570",2020-12-04,6710.57633088579,7197.77394406561,7659.03372948703,7190.91026123142
"571",2020-12-11,6892.9760018501,7401.94772074684,7877.54399198383,7393.26409522447
"572",2020-12-18,7033.96162114767,7557.3283795142,8044.43638803415,7548.3963316845
"573",2020-12-25,7132.63629575818,7667.86592641902,8167.06204862947,7659.33349298581
"574",2021-01-01,7281.65696497063,7827.80374261293,8340.7440834292,7818.82284979315
"575",2021-01-08,7451.6317919119,8019.04598349014,8547.3900003744,8008.98912929255
"576",2021-01-15,7636.13610752045,8214.41170920374,8745.56482096051,8203.43476606842
"577",2021-01-22,7815.56322766162,8408.54529354554,8959.13100628336,8397.05550930409
"578",2021-01-29,7998.93167807671,8600.41284538136,9166.16021957585,8589.35685723766
"579",2021-02-05,8169.73699199985,8790.51481040503,9368.43652511966,8780.11350869887
"580",2021-02-12,8347.88639202562,8978.32823999153,9573.35703203592,8968.59866265186
"581",2021-02-19,8513.71389368867,9161.60009663948,9773.76388009002,9151.52859660211
"582",2021-02-26,8687.29350974292,9351.1308661597,9971.22867339827,9336.32616426708
"583",2021-03-05,8855.50646402509,9531.92463973919,10166.9163997008,9518.39941913044
"584",2021-03-12,9030.60538807562,9722.29282714444,10368.0446006526,9709.39534085133
"585",2021-03-19,9178.40731002135,9887.8809354499,10551.2961905766,9874.29375484155
"586",2021-03-26,9332.71293944788,10056.6204881594,10745.2068088374,10046.2859969679
"587",2021-04-02,9496.26954644511,10237.2276886682,10944.9823653816,10226.386061464
"588",2021-04-09,9653.84568049577,10419.4620182265,11131.111323797,10404.9374541476
"589",2021-04-16,9814.92082657152,10597.5617656956,11328.4160766401,10584.0093094185
"590",2021-04-23,9970.54497123698,10784.1066529469,11531.4878558386,10772.0914293749
"591",2021-04-30,10136.2975436819,10965.1728321404,11725.9002625325,10953.0486709777
"592",2021-05-07,10302.6180445642,11148.421557564,11924.271798425,11136.879218438
"593",2021-05-14,10474.4553533677,11338.4636997731,12129.849657877,11325.1995942788
"594",2021-05-21,10624.9698317742,11495.0673442695,12309.0962315052,11483.2775347613
"595",2021-05-28,10771.5021963232,11648.1682337229,12483.7261837373,11640.7531919073
"596",2021-06-04,10940.1151739924,11820.307122823,12676.7491724365,11817.7086293436
"597",2021-06-11,11098.4189247855,12002.6538731021,12875.4849872847,11997.9885078656
"598",2021-06-18,11252.6836778903,12184.1347179533,13077.8435242184,12178.8724303048
"599",2021-06-25,11417.5203413359,12362.9523031689,13275.3250985766,12358.782488948
"600",2021-07-02,11568.9288312148,12533.8200533053,13456.9619272461,12529.7841136179
"601",2021-07-09,11711.7166359572,12709.3128138321,13647.0561570341,12701.3054850785
"602",2021-07-16,11862.9845480293,12885.9920632804,13837.7716966104,12876.8482148682
"603",2021-07-23,12025.5444897208,13067.0640614351,14038.7246312979,13057.1462888734
"604",2021-07-30,12168.162590196,13239.1919827724,14228.2164653723,13226.6609332518
"605",2021-08-06,12325.6427711387,13410.0992348747,14419.5421784275,13400.0675388137
"606",2021-08-13,12490.9403904388,13585.540543299,14611.8901512592,13572.2550279554
"607",2021-08-20,12626.0610738595,13743.4176650122,14787.621136572,13728.7542502906
"608",2021-08-27,12760.4104026227,13893.9788680727,14957.3021067528,13877.7181793328
