"","Week.ended","lwr","50%","upr","fit"
"531",2020-03-06,687.873948185963,728.803224283909,768.73665951298,728.735279055613
"532",2020-03-13,1380.62452754222,1449.57778062455,1515.38626323076,1448.76835728178
"533",2020-03-20,2052.43788610766,2151.93764354484,2242.34795786882,2150.00683507534
"534",2020-03-27,2709.41038774192,2838.66176174141,2957.04526118644,2836.54019450448
"535",2020-04-03,3413.47848140244,3576.38651781598,3721.57393525701,3573.37734580457
"536",2020-04-10,4116.34460486935,4305.36510469622,4487.21712592544,4303.26848847566
"537",2020-04-17,4783.74225864565,5004.48662104253,5209.65451289165,5001.00824621823
"538",2020-04-24,5473.03017101607,5719.63359516399,5957.62595008226,5715.69132931126
"539",2020-05-01,6113.34937125231,6390.49353728422,6666.80986748775,6385.16927020688
"540",2020-05-08,6763.58623357053,7079.06880706015,7390.87805540106,7074.72199397397
"541",2020-05-15,7452.44406643386,7796.05898204664,8146.96420577025,7792.07581031587
"542",2020-05-22,8077.87851374707,8465.47492930357,8852.71492686222,8460.7215561545
"543",2020-05-29,8693.88606051824,9111.08471444559,9543.94168160942,9108.57608929172
"544",2020-06-05,9369.96304881368,9814.64839905485,10285.0839587462,9812.39845098672
"545",2020-06-12,10005.788077115,10492.5694526592,11011.279678008,10489.5614477041
"546",2020-06-19,10627.2960005371,11154.9040093302,11695.440062337,11147.5680865473
"547",2020-06-26,11253.5459445863,11814.6001927506,12406.0713123055,11813.6719828951
"548",2020-07-03,11861.4079472269,12466.5149905457,13095.9567684425,12462.2364653212
"549",2020-07-10,12475.0963129254,13116.7326342388,13785.1099180324,13113.5237748887
"550",2020-07-17,13091.2059441261,13772.7575878493,14481.6279120459,13767.1802395357
"551",2020-07-24,13705.3324203562,14427.1829719674,15177.1902680839,14417.6137894957
"552",2020-07-31,14312.5256331212,15071.3989000015,15870.3890841982,15066.236216509
"553",2020-08-07,14904.9706484343,15703.5862086654,16543.6884748569,15707.5028270225
"554",2020-08-14,15508.7214149642,16356.1286359323,17239.877346919,16358.5937138629
"555",2020-08-21,16089.3982905142,16981.7769662511,17916.3499503432,16985.9455103882
"556",2020-08-28,16675.1274287809,17612.2596140437,18583.2881620877,17616.8842845815
"557",2020-09-04,17278.2852130577,18250.3837975993,19275.5523508207,18257.6483611475
"558",2020-09-11,17915.578574055,18919.6497362392,19975.0287835027,18927.8679692932
"559",2020-09-18,18520.936193726,19584.9774565605,20692.9297402578,19587.5139502429
"560",2020-09-25,19128.4444979926,20260.5324479719,21394.1210187649,20263.5121462289
"561",2020-10-02,19760.4190747607,20936.6049210265,22107.0745973606,20940.5338562684
"562",2020-10-09,20380.0357207652,21605.9593316383,22813.4212152352,21605.2840515969
"563",2020-10-16,21017.9270270062,22286.9022490051,23555.0270584419,22285.1952309211
"564",2020-10-23,21668.2923116748,22973.3396418029,24295.5760325692,22975.097082247
"565",2020-10-30,22315.4354872458,23672.8818396052,25035.0757065079,23670.6988166736
"566",2020-11-06,22962.0236871215,24374.4157665423,25779.8967085284,24362.7271319499
"567",2020-11-13,23589.8894934087,25059.1838676408,26526.5289439262,25054.0942652449
"568",2020-11-20,24248.4690567252,25764.1127379872,27257.6670522217,25757.8179721923
"569",2020-11-27,24916.0193101241,26488.5440743881,28040.1799386276,26488.0322991899
"570",2020-12-04,25592.64831835,27233.5888041087,28847.0825939853,27229.9039927072
"571",2020-12-11,26318.0992520348,28007.3503448583,29666.6002558857,27998.2313540125
"572",2020-12-18,27034.0348575336,28757.5757811289,30493.0631785155,28746.108375578
"573",2020-12-25,27696.2516526782,29486.1267031279,31250.0169413497,29464.070704215
"574",2021-01-01,28452.9312392725,30279.8333228661,32075.835420133,30261.9993640274
"575",2021-01-08,29251.8521114491,31131.3263703014,32970.3888270565,31109.3399709351
"576",2021-01-15,30011.4060158195,31960.3362226586,33857.7074407876,31935.8009037194
"577",2021-01-22,30769.3774717462,32741.2358366451,34688.6277325528,32715.3526632764
"578",2021-01-29,31469.4274749845,33510.1784463873,35518.0678817957,33480.7691863237
"579",2021-02-05,32193.843843624,34271.5796690509,36349.3701334409,34248.7292146037
"580",2021-02-12,32868.5004293327,35008.5300514864,37151.8147987482,34991.7939132952
"581",2021-02-19,33559.4683442633,35775.5109170091,37964.5091053423,35746.8000174864
"582",2021-02-26,34251.9538893612,36520.4447967846,38758.0273973478,36503.7195293667
"583",2021-03-05,34914.2654952669,37261.0351667814,39573.5826610622,37239.5487252437
"584",2021-03-12,35566.7558764896,37992.6299293045,40347.3477547267,37966.8657491546
"585",2021-03-19,36228.297097014,38699.6344696324,41105.8436299748,38675.4977134811
"586",2021-03-26,36868.5791042478,39393.0637869603,41861.4899520498,39369.7085175212
"587",2021-04-02,37559.6238046776,40143.4392018378,42675.7089766416,40114.2174618306
"588",2021-04-09,38251.1275311407,40873.5980260932,43503.2704905362,40851.9579408698
"589",2021-04-16,38906.2707893988,41566.707335862,44265.3227627751,41557.5960626964
"590",2021-04-23,39583.3240582314,42302.226300664,45057.3875002437,42280.2270344797
"591",2021-04-30,40206.3762238694,42981.4492855181,45793.0362295465,42957.554096477
"592",2021-05-07,40845.7100516486,43677.1688008202,46531.1021624639,43654.600573919
"593",2021-05-14,41509.0496803518,44413.9661950472,47323.9239395883,44379.2221719474
"594",2021-05-21,42122.3364567765,45099.1612988953,48051.8378814417,45055.1965964466
"595",2021-05-28,42716.3263049982,45756.7035713116,48771.4274565714,45710.1413943559
"596",2021-06-04,43355.692265635,46465.2698703069,49558.1378407854,46421.0574262521
"597",2021-06-11,43980.2897785813,47146.3389700264,50329.2267732732,47105.4593069324
"598",2021-06-18,44596.8541820195,47798.5319530957,51058.7636942747,47770.3213577084
"599",2021-06-25,45216.3778830078,48457.731402713,51786.6181339323,48443.3744164072
"600",2021-07-02,45809.263060886,49110.8903064069,52510.4057623484,49098.8793063291
"601",2021-07-09,46409.0890845614,49792.9583048285,53246.381572902,49757.0833122495
"602",2021-07-16,47031.9549350724,50454.7968224947,53979.5397823602,50417.5804463626
"603",2021-07-23,47636.1402094108,51102.7906419002,54715.8728606223,51074.6407842092
"604",2021-07-30,48227.4632803342,51751.8820541857,55460.9975018653,51730.0740085523
"605",2021-08-06,48848.3700757614,52393.6872133574,56189.4479347602,52378.2534780871
"606",2021-08-13,49458.4991978034,53035.4567179241,56929.411215216,53036.0588683371
"607",2021-08-20,50023.4898210776,53664.7312719783,57619.5772925304,53670.3993484986
"608",2021-08-27,50619.2057197144,54304.4942222963,58306.0132354303,54308.0729372584
"609",2021-09-03,51209.4127488021,54955.9847078832,59024.4847276774,54955.4892048111
"610",2021-09-10,51815.0084727894,55629.3862858688,59764.786524042,55632.1537536999
"611",2021-09-17,52423.4254467649,56310.5393876988,60474.8868518663,56298.2027041227
"612",2021-09-24,53037.9463247563,56987.4135253377,61237.2912238427,56980.7900597555
"613",2021-10-01,53644.6922609045,57668.6342168306,61983.6084758388,57664.3469111948
"614",2021-10-08,54247.4634009896,58339.6793108176,62738.5898880483,58335.7325755851
"615",2021-10-15,54886.845355523,59018.7085368292,63510.4558917803,59021.9576722371
"616",2021-10-22,55494.9333640417,59700.9724900749,64258.3178946677,59717.9208128953
"617",2021-10-29,56105.469849044,60403.1318062212,65057.492969109,60419.5814655851
"618",2021-11-05,56744.7355499776,61099.096855551,65843.0156487832,61117.9000948964
"619",2021-11-12,57368.2082947334,61810.1731496901,66631.28336958,61815.4068046032
"620",2021-11-19,58036.4916987887,62530.2611376969,67422.7614454852,62525.5949415254
"621",2021-11-26,58697.3947658299,63267.000910466,68236.6194139172,63262.4101639159
"622",2021-12-03,59417.8171853689,64022.2475191175,69068.3646253892,64010.8950485805
"623",2021-12-10,60122.6282910534,64798.8171065209,69875.6914662386,64785.9737035085
"624",2021-12-17,60828.1555422193,65544.3194799471,70713.1070182895,65540.6845247948
