"","Week.ended","signal","All.15.44","fit","upr","lwr"
"100",2011-12-02,297.227406500698,287,NA,NA,NA
"101",2011-12-09,311.034420172836,308,NA,NA,NA
"102",2011-12-16,310.047870171135,314,NA,NA,NA
"103",2011-12-23,319.85293728402,327,NA,NA,NA
"104",2011-12-30,253.942844720878,176,NA,NA,NA
"105",2012-01-06,197.276557757642,181,NA,NA,NA
"106",2012-01-13,267.9844963317,282,NA,NA,NA
"107",2012-01-20,303.844524721757,279,NA,NA,NA
"108",2012-01-27,305.484523704032,285,NA,NA,NA
"109",2012-02-03,301.713427073354,280,NA,NA,NA
"110",2012-02-10,301.897477827395,312,NA,NA,NA
"111",2012-02-17,304.514645517828,290,NA,NA,NA
"112",2012-02-24,299.980782124919,320,NA,NA,NA
"113",2012-03-02,292.768092216937,278,NA,NA,NA
"114",2012-03-09,292.495817903779,318,NA,NA,NA
"115",2012-03-16,290.09626134163,270,NA,NA,NA
"116",2012-03-23,297.385243529238,296,NA,NA,NA
"117",2012-03-30,260.077163964902,290,NA,NA,NA
"118",2012-04-06,273.505614900152,301,NA,NA,NA
"119",2012-04-13,286.275747336298,278,NA,NA,NA
"120",2012-04-20,283.16343350794,306,NA,NA,NA
"121",2012-04-27,285.60268090644,288,NA,NA,NA
"122",2012-05-04,296.236843337559,301,NA,NA,NA
"123",2012-05-11,279.660902609558,241,NA,NA,NA
"124",2012-05-18,289.866965745473,306,NA,NA,NA
"125",2012-05-25,295.438809009211,273,NA,NA,NA
"126",2012-06-01,260.958247360394,303,NA,NA,NA
"127",2012-06-08,255.688510707129,185,NA,NA,NA
"128",2012-06-15,280.168711862374,300,NA,NA,NA
"129",2012-06-22,279.006848757763,289,NA,NA,NA
"130",2012-06-29,284.023789122309,256,NA,NA,NA
"131",2012-07-06,276.00017090789,266,NA,NA,NA
"132",2012-07-13,269.397764113765,260,NA,NA,NA
"133",2012-07-20,276.715290971405,292,NA,NA,NA
"134",2012-07-27,274.100397344406,283,NA,NA,NA
"135",2012-08-03,286.166626718791,271,NA,NA,NA
"136",2012-08-10,265.165026112744,249,NA,NA,NA
"137",2012-08-17,271.797713236989,268,NA,NA,NA
"138",2012-08-24,268.638455712726,283,NA,NA,NA
"139",2012-08-31,249.248735833891,243,NA,NA,NA
"140",2012-09-07,239.372270184739,243,NA,NA,NA
"141",2012-09-14,275.288109736917,259,NA,NA,NA
"142",2012-09-21,279.438498092769,319,NA,NA,NA
"143",2012-09-28,273.604972318335,246,NA,NA,NA
"144",2012-10-05,270.829999610193,234,NA,NA,NA
"145",2012-10-12,284.333147227032,270,NA,NA,NA
"146",2012-10-19,271.666696965275,245,NA,NA,NA
"147",2012-10-26,286.056809588536,280,NA,NA,NA
"148",2012-11-02,282.859769345613,284,NA,NA,NA
"149",2012-11-09,284.660310552859,304,NA,NA,NA
"150",2012-11-16,295.119830233072,288,NA,NA,NA
"151",2012-11-23,294.194451826331,307,NA,NA,NA
"152",2012-11-30,292.241911497367,268,NA,NA,NA
"153",2012-12-07,306.540790826953,283,NA,NA,NA
"154",2012-12-14,306.089602663985,334,NA,NA,NA
"155",2012-12-21,316.379213595959,306,NA,NA,NA
"156",2012-12-28,250.99083993786,200,NA,NA,NA
"157",2013-01-04,194.789103826589,220,NA,NA,NA
"158",2013-01-11,265.873593974355,315,NA,NA,NA
"159",2013-01-18,302.035700000255,324,NA,NA,NA
"160",2013-01-25,303.878490149786,285,NA,NA,NA
"161",2013-02-01,300.306778119311,253,NA,NA,NA
"162",2013-02-08,300.744499678343,295,NA,NA,NA
"163",2013-02-15,303.648951383381,357,NA,NA,NA
"164",2013-02-22,299.258421689108,292,NA,NA,NA
"165",2013-03-01,292.246924238657,318,NA,NA,NA
"166",2013-03-08,292.089892699493,279,NA,NA,NA
"167",2013-03-15,289.887441026391,313,NA,NA,NA
"168",2013-03-22,297.281877624607,297,NA,NA,NA
"169",2013-03-29,260.076912115083,238,NA,NA,NA
"170",2013-04-05,273.71877407141,276,NA,NA,NA
"171",2013-04-12,286.755797306238,308,NA,NA,NA
"172",2013-04-19,283.847759339981,285,NA,NA,NA
"173",2013-04-26,286.5372773494,328,NA,NA,NA
"174",2013-05-03,297.338848538227,330,NA,NA,NA
"175",2013-05-10,280.871141969965,269,NA,NA,NA
"176",2013-05-17,291.128615349531,278,NA,NA,NA
"177",2013-05-24,296.813935910974,255,NA,NA,NA
"178",2013-05-31,262.487948253485,223,NA,NA,NA
"179",2013-06-07,257.545718711206,298,NA,NA,NA
"180",2013-06-14,282.117681359133,249,NA,NA,NA
"181",2013-06-21,281.159890112351,287,NA,NA,NA
"182",2013-06-28,286.38971137474,295,NA,NA,NA
"183",2013-07-05,278.501269304176,262,NA,NA,NA
"184",2013-07-12,272.047828171279,274,NA,NA,NA
"185",2013-07-19,279.490246275437,290,NA,NA,NA
"186",2013-07-26,277.010372080241,269,NA,NA,NA
"187",2013-08-02,289.247488731551,256,NA,NA,NA
"188",2013-08-09,268.45512682332,274,NA,NA,NA
"189",2013-08-16,275.251003652553,271,NA,NA,NA
"190",2013-08-23,272.255897310198,251,NA,NA,NA
"191",2013-08-30,253.105876974448,223,NA,NA,NA
"192",2013-09-06,243.519714388304,290,NA,NA,NA
"193",2013-09-13,279.63496219978,247,NA,NA,NA
"194",2013-09-20,284.019432218146,263,NA,NA,NA
"195",2013-09-27,278.548486675646,282,NA,NA,NA
"196",2013-10-04,276.070220108291,302,NA,NA,NA
"197",2013-10-11,289.736953734978,316,NA,NA,NA
"198",2013-10-18,277.147980662481,288,NA,NA,NA
"199",2013-10-25,291.535989309062,274,NA,NA,NA
"200",2013-11-01,288.361193643894,293,NA,NA,NA
