"","Week.ended","signal","All.Under.1.year","fit","upr","lwr"
"188",2013-08-09,57.4647204995605,47,NA,NA,NA
"189",2013-08-16,55.3664885186595,52,NA,NA,NA
"190",2013-08-23,58.4712527723784,53,NA,NA,NA
"191",2013-08-30,49.1808865383149,40,NA,NA,NA
"192",2013-09-06,50.2986914564581,52,NA,NA,NA
"193",2013-09-13,55.7149821797571,61,NA,NA,NA
"194",2013-09-20,55.1265691432565,58,NA,NA,NA
"195",2013-09-27,56.9355987022189,54,NA,NA,NA
"196",2013-10-04,56.8472409962059,48,NA,NA,NA
"197",2013-10-11,59.0667574919367,58,NA,NA,NA
"198",2013-10-18,55.1872234207964,58,NA,NA,NA
"199",2013-10-25,53.7051859285046,51,NA,NA,NA
"200",2013-11-01,57.2255560997728,53,NA,NA,NA
"201",2013-11-08,52.5496870910782,65,NA,NA,NA
"202",2013-11-15,57.2627370825937,72,NA,NA,NA
"203",2013-11-22,54.7626706481619,54,NA,NA,NA
"204",2013-11-29,54.8632830041633,66,NA,NA,NA
"205",2013-12-06,58.4539834840864,51,NA,NA,NA
"206",2013-12-13,53.5513181418028,50,NA,NA,NA
"207",2013-12-20,60.051813535789,69,NA,NA,NA
"208",2013-12-27,47.0443448847706,38.5,NA,NA,NA
"209",2014-01-03,43.2617809078005,38.5,NA,NA,NA
"210",2014-01-10,52.6297913088869,47,NA,NA,NA
"211",2014-01-17,56.684630506124,67,NA,NA,NA
"212",2014-01-24,56.7757433866129,48,NA,NA,NA
"213",2014-01-31,52.4201213801574,54,NA,NA,NA
"214",2014-02-07,56.9721841627389,47,NA,NA,NA
"215",2014-02-14,55.1694860028418,58,NA,NA,NA
"216",2014-02-21,54.8188140897211,58,NA,NA,NA
"217",2014-02-28,52.2834926827774,70,NA,NA,NA
"218",2014-03-07,49.0960396330518,44,NA,NA,NA
"219",2014-03-14,50.7823804542944,52,NA,NA,NA
"220",2014-03-21,56.6801974492026,54,NA,NA,NA
"221",2014-03-28,52.1803998674802,76,NA,NA,NA
"222",2014-04-04,52.3594024182533,45,NA,NA,NA
"223",2014-04-11,55.4449549679897,59,NA,NA,NA
"224",2014-04-18,51.427343464458,49,NA,NA,NA
"225",2014-04-25,54.7118923397549,55,NA,NA,NA
"226",2014-05-02,54.3961847941129,49,NA,NA,NA
"227",2014-05-09,52.3852799488536,40,NA,NA,NA
"228",2014-05-16,55.4853982228934,48,NA,NA,NA
"229",2014-05-23,55.4921786344028,65,NA,NA,NA
"230",2014-05-30,54.2904969158978,45,NA,NA,NA
"231",2014-06-06,45.6970839047838,56,NA,NA,NA
"232",2014-06-13,58.4945011152138,58,NA,NA,NA
"233",2014-06-20,53.4923584404258,52,NA,NA,NA
"234",2014-06-27,52.8915439911761,51,NA,NA,NA
"235",2014-07-04,49.7924130497002,38,NA,NA,NA
"236",2014-07-11,51.1037775654456,44,NA,NA,NA
"237",2014-07-18,50.8214645694914,42,NA,NA,NA
"238",2014-07-25,56.3470028338034,57,NA,NA,NA
"239",2014-08-01,51.1719599190308,52,NA,NA,NA
"240",2014-08-08,56.2961800338676,58,NA,NA,NA
"241",2014-08-15,54.2188837186499,57,NA,NA,NA
"242",2014-08-22,57.339112160508,58,NA,NA,NA
"243",2014-08-29,48.0587524004422,40,NA,NA,NA
"244",2014-09-05,49.1855650732545,50,NA,NA,NA
"245",2014-09-12,54.6116528845057,57,NA,NA,NA
"246",2014-09-19,54.0356150243722,57,NA,NA,NA
"247",2014-09-26,55.8569388089189,56,NA,NA,NA
"248",2014-10-03,55.7781352664629,54,NA,NA,NA
"249",2014-10-10,58.000914296,66,NA,NA,NA
"250",2014-10-17,54.1165739970788,49,NA,NA,NA
"251",2014-10-24,52.6367875399607,56,NA,NA,NA
"252",2014-10-31,56.1540077639731,51,NA,NA,NA
"253",2014-11-07,51.4758151465064,47,NA,NA,NA
"254",2014-11-14,56.2016060840765,60,NA,NA,NA
"255",2014-11-21,53.7240163835461,49,NA,NA,NA
"256",2014-11-28,53.850631141565,64,NA,NA,NA
"257",2014-12-05,57.4682127808978,62,NA,NA,NA
"258",2014-12-12,52.5817610490542,40,NA,NA,NA
"259",2014-12-19,59.1065073081817,50,NA,NA,NA
"260",2014-12-26,46.1393585206791,46.5,NA,NA,NA
"261",2015-01-02,42.389188811077,46.5,NA,NA,NA
"262",2015-01-09,51.7816967148575,80,NA,NA,NA
"263",2015-01-16,55.8309080089596,46,NA,NA,NA
"264",2015-01-23,55.9343235313856,61,NA,NA,NA
"265",2015-01-30,51.5786850571685,66,NA,NA,NA
"266",2015-02-06,56.1193022654082,66,NA,NA,NA
"267",2015-02-13,54.2874891134013,66,NA,NA,NA
"268",2015-02-20,53.899797073064,47,NA,NA,NA
"269",2015-02-27,51.3364277929456,48,NA,NA,NA
"270",2015-03-06,48.1396643565034,44,NA,NA,NA
"271",2015-03-13,49.815843600034,38,NA,NA,NA
"272",2015-03-20,55.715099031096,44,NA,NA,NA
"273",2015-03-27,51.2247811085281,45,NA,NA,NA
"274",2015-04-03,51.4400033517907,47,NA,NA,NA
"275",2015-04-10,54.5591772769559,57,NA,NA,NA
"276",2015-04-17,50.576178826513,47,NA,NA,NA
"277",2015-04-24,53.8963632387911,56,NA,NA,NA
"278",2015-05-01,53.6146753769602,55,NA,NA,NA
"279",2015-05-08,51.631754551591,35,NA,NA,NA
"280",2015-05-15,54.7636362833973,50,NA,NA,NA
"281",2015-05-22,54.7997577361686,57,NA,NA,NA
"282",2015-05-29,53.6339209342161,53,NA,NA,NA
"283",2015-06-05,45.0686483331628,48,NA,NA,NA
"284",2015-06-12,57.9007667770221,52,NA,NA,NA
"285",2015-06-19,52.9381370081974,54,NA,NA,NA
"286",2015-06-26,52.3745621624357,51,NA,NA,NA
"287",2015-07-03,49.3122107014311,49,NA,NA,NA
"288",2015-07-10,50.6501371135003,65,NA,NA,NA
"289",2015-07-17,50.3752918925353,58,NA,NA,NA
"290",2015-07-24,55.893660545828,57,NA,NA,NA
"291",2015-07-31,50.7110445373416,51,NA,NA,NA
"292",2015-08-07,55.8281713533572,54,NA,NA,NA
"293",2015-08-14,53.7469252743727,51,NA,NA,NA
"294",2015-08-21,56.8681240077079,66,NA,NA,NA
"295",2015-08-28,47.5811952090939,54,NA,NA,NA
"296",2015-09-04,48.6885535601231,48,NA,NA,NA
"297",2015-09-11,54.0965247360598,54,NA,NA,NA
"298",2015-09-18,53.5045818207274,40,NA,NA,NA
"299",2015-09-25,55.3246582232554,56,NA,NA,NA
"300",2015-10-02,55.2441335595982,65,NA,NA,NA
"301",2015-10-09,57.4549260014014,43,NA,NA,NA
"302",2015-10-16,53.5785835842779,59,NA,NA,NA
"303",2015-10-23,52.0974160101802,60,NA,NA,NA
"304",2015-10-30,55.6092149958655,50,NA,NA,NA
"305",2015-11-06,50.9260062825994,48,NA,NA,NA
"306",2015-11-13,55.6454017669336,53,NA,NA,NA
"307",2015-11-20,53.1671517058616,56,NA,NA,NA
"308",2015-11-27,53.2863803594549,33,NA,NA,NA
"309",2015-12-04,56.9236642521528,59,NA,NA,NA
"310",2015-12-11,52.0591001691287,37,NA,NA,NA
"311",2015-12-18,58.6079389529266,66,NA,NA,NA
"312",2015-12-25,45.6501986710006,49,NA,NA,NA
"313",2016-01-01,41.9067770615775,44,NA,NA,NA
"314",2016-01-08,51.3078287549421,44,NA,NA,NA
"315",2016-01-15,55.397202727611,64,NA,NA,NA
"316",2016-01-22,55.5243746032495,50,NA,NA,NA
"317",2016-01-29,51.2019178159339,47,NA,NA,NA
"318",2016-02-05,55.7922917192533,60,NA,NA,NA
"319",2016-02-12,54.0152843237756,60,NA,NA,NA
"320",2016-02-19,53.6874958795148,52,NA,NA,NA
"321",2016-02-26,51.1793911547636,58,NA,NA,NA
"322",2016-03-04,48.0288523305418,39,NA,NA,NA
"323",2016-03-11,49.7556076504939,54,NA,NA,NA
"324",2016-03-18,55.691145262516,55,NA,NA,NA
"325",2016-03-25,51.2272980061066,55,NA,NA,NA
"326",2016-04-01,51.460092977864,49,NA,NA,NA
"327",2016-04-08,54.5950774760989,53,NA,NA,NA
"328",2016-04-15,50.6314816216401,63,NA,NA,NA
"329",2016-04-22,53.9568775659771,65,NA,NA,NA
"330",2016-04-29,53.6724449350596,43,NA,NA,NA
"331",2016-05-06,51.6975109698341,55,NA,NA,NA
"332",2016-05-13,54.8196377306706,49,NA,NA,NA
"333",2016-05-20,54.8469440725303,61,NA,NA,NA
"334",2016-05-27,53.6687740852455,63,NA,NA,NA
"335",2016-06-03,45.0822991410366,35,NA,NA,NA
"336",2016-06-10,57.9047976222732,58,NA,NA,NA
"337",2016-06-17,52.9272113717016,49,NA,NA,NA
"338",2016-06-24,52.3531204090557,57,NA,NA,NA
"339",2016-07-01,49.2748936409771,46,NA,NA,NA
"340",2016-07-08,50.5995815864494,49,NA,NA,NA
"341",2016-07-15,50.3256931879652,54,NA,NA,NA
"342",2016-07-22,55.8485345911089,55,NA,NA,NA
"343",2016-07-29,50.6721312051212,39,NA,NA,NA
"344",2016-08-05,55.8061162233748,56,NA,NA,NA
"345",2016-08-12,53.739928681621,57,NA,NA,NA
"346",2016-08-19,56.8708396184468,42,NA,NA,NA
"347",2016-08-26,47.6149858668585,48,NA,NA,NA
"348",2016-09-02,48.7587894458477,43,NA,NA,NA
"349",2016-09-09,54.2077184498047,48,NA,NA,NA
"350",2016-09-16,53.6621724335227,56,NA,NA,NA
"351",2016-09-23,55.5145457091519,58,NA,NA,NA
"352",2016-09-30,55.4647068862843,53,NA,NA,NA
"353",2016-10-07,57.717061696355,57,NA,NA,NA
"354",2016-10-14,53.8700547040809,72,NA,NA,NA
"355",2016-10-21,52.4069117382386,50,NA,NA,NA
"356",2016-10-28,55.9459109666258,58,NA,NA,NA
"357",2016-11-04,51.2830820192624,52,NA,NA,NA
"358",2016-11-11,56.0196150021529,54,NA,NA,NA
"359",2016-11-18,53.5579454782937,57,NA,NA,NA
"360",2016-11-25,53.6932124647283,49,NA,NA,NA
"361",2016-12-02,57.3326564936775,58,NA,NA,NA
"362",2016-12-09,52.4715065750437,57,NA,NA,NA
"363",2016-12-16,59.0063262167694,72,NA,NA,NA
"364",2016-12-23,46.0295812578689,56,NA,NA,NA
"365",2016-12-30,42.261262504294,49.5,NA,NA,NA
"366",2017-01-06,51.6328374540907,49.5,NA,NA,NA
"367",2017-01-13,55.6881288489499,56,NA,NA,NA
"368",2017-01-20,55.7885972183957,54,NA,NA,NA
"369",2017-01-27,51.4361120166124,52,NA,NA,NA
"370",2017-02-03,55.9922158535919,55,NA,NA,NA
"371",2017-02-10,54.1855664166809,57,NA,NA,NA
"372",2017-02-17,53.8309575384005,49,NA,NA,NA
"373",2017-02-24,51.2988301163803,47,NA,NA,NA
"374",2017-03-03,48.1341650932101,53,NA,NA,NA
"375",2017-03-10,49.8344276955986,54,NA,NA,NA
"376",2017-03-17,55.743542741298,59,NA,NA,NA
"377",2017-03-24,51.2497594821547,55,NA,NA,NA
"378",2017-03-31,51.452638442291,65,NA,NA,NA
"379",2017-04-07,54.5434600098401,59,NA,NA,NA
"380",2017-04-14,50.5303151775848,38,NA,NA,NA
