"","Week.number","Week.ended","Total.deaths..all.ages","All.Under.1.year","All.01.14","All.15.44","All.45.64","All.65.74","All.75.84","All.85.","Male.Under.1.year","Male.01.14","Male.15.44","Male.45.64","Male.65.74","Male.75.84","Male.85.","Female.Under.1.year","Female.01.14","Female.15.44","Female.45.64","Female.65.74","Female.75.84","Female.85.","North.East","North.West","Yorkshire.and.The.Humber","East.Midlands","West.Midlands","East","London","South.East","South.West","Wales"
"510",41,2019-10-11,9973,46,16,302,1137,1595,2869,4008,26,10,208,686,966,1525,1609,20,6,94,451,629,1344,2399,527,1400,1005,847,1027,1073,887,1557,1026,590
"511",42,2019-10-18,10156,54,14,303,1154,1628,2920,4083,32,10,193,676,937,1551,1641,22,4,110,478,691,1369,2442,567,1400,1019,863,1093,1083,886,1556,1040,622
"512",43,2019-10-25,10021,49,14,281,1198,1663,2799,4017,23,6,186,699,963,1550,1617,26,8,95,499,700,1249,2400,540,1361,1001,846,1019,1063,895,1491,1107,670
"513",44,2019-11-01,10164,45,19,289,1196,1663,2938,4014,27,9,176,682,980,1501,1573,18,10,113,514,683,1437,2441,537,1338,1033,877,967,1100,976,1547,1118,642
"514",45,2019-11-08,10697,52,7,314,1236,1676,2998,4414,29,3,199,738,991,1616,1737,23,4,115,498,685,1382,2677,553,1455,1053,880,1110,1181,974,1701,1102,653
"515",46,2019-11-15,10650,46,19,271,1254,1673,3070,4317,19,9,172,739,980,1635,1692,27,10,99,515,693,1435,2625,607,1402,1070,889,1080,1090,1041,1690,1083,674
"516",47,2019-11-22,10882,57,19,283,1225,1743,3163,4392,32,9,168,724,1042,1724,1776,25,10,115,501,701,1439,2616,582,1464,1039,931,1138,1166,1023,1618,1203,699
"517",48,2019-11-29,10958,56,14,312,1237,1751,3142,4446,35,10,209,739,1008,1746,1808,21,4,103,498,743,1396,2638,563,1469,1139,935,1184,1116,1025,1648,1166,689
"518",49,2019-12-06,10816,50,17,315,1275,1689,3078,4392,32,11,204,756,985,1639,1748,18,6,111,519,704,1439,2644,558,1477,1011,958,1083,1184,986,1647,1157,737
"519",50,2019-12-13,11188,52,32,315,1313,1793,3215,4468,29,16,187,746,1028,1711,1772,23,16,128,567,765,1504,2696,585,1637,1102,973,1130,1176,1044,1690,1130,699
"520",51,2019-12-20,11926,53,19,368,1316,1903,3299,4968,25,9,229,768,1095,1733,1995,28,10,139,548,808,1566,2973,670,1712,1173,1050,1269,1238,1028,1709,1288,767
"521",52,2019-12-27,7533,34,13,148,773,1185,2231,3149,20,6,85,448,666,1123,1218,14,7,63,325,519,1108,1931,411,1200,737,729,720,716,653,1094,766,496
"522",1,2020-01-03,12254,48,16,189,1201,1860,3584,5355,30,8,115,665,1112,1879,2080,18,8,74,536,748,1705,3275,673,1806,1240,1060,1349,1162,1113,1814,1225,787
"523",2,2020-01-10,14058,50,26,275,1500,2198,4014,5994,29,15,176,884,1270,2096,2358,21,11,99,616,928,1918,3636,707,1932,1339,1195,1450,1573,1272,2132,1487,939
"524",3,2020-01-17,12990,69,16,314,1518,2013,3715,5345,38,11,207,939,1161,1966,2108,31,5,107,579,852,1749,3237,647,1696,1278,1106,1407,1457,1073,2064,1466,767
"525",4,2020-01-24,11856,53,21,314,1356,1958,3337,4814,28,14,214,820,1145,1770,1924,25,7,100,536,813,1567,2890,612,1529,1187,1024,1231,1410,1028,1833,1253,723
"526",5,2020-01-31,11612,50,15,308,1348,1928,3256,4707,22,11,195,858,1120,1746,1842,28,4,113,490,808,1510,2865,561,1461,1136,1015,1262,1286,1092,1820,1233,727
"527",6,2020-02-07,10986,30,16,271,1329,1809,3056,4473,14,11,174,784,1049,1588,1786,16,5,97,545,760,1468,2687,564,1529,1072,922,1052,1259,987,1729,1157,690
"528",7,2020-02-14,10944,43,12,286,1288,1754,3009,4556,29,8,184,767,1060,1596,1847,14,4,102,521,694,1413,2709,573,1427,1059,976,1159,1172,967,1688,1169,728
"529",8,2020-02-21,10841,51,18,321,1271,1743,3034,4402,32,11,202,725,998,1672,1799,19,7,119,546,745,1362,2603,539,1477,1087,924,1116,1167,1032,1675,1118,679
"530",9,2020-02-28,10816,49,20,315,1257,1793,2968,4413,30,15,203,717,1064,1580,1826,19,5,112,540,729,1388,2587,572,1476,1078,919,1174,1115,1085,1587,1133,651
"531",10,2020-03-06,10895,56,20,312,1252,1769,3123,4360,31,10,203,744,1034,1663,1773,25,10,109,508,735,1460,2587,568,1490,1112,930,1098,1149,982,1726,1170,652
"532",11,2020-03-13,11019,53,22,311,1340,1753,3104,4434,24,8,198,819,1049,1652,1820,29,14,113,521,704,1452,2614,590,1472,1053,915,1187,1211,964,1751,1174,675
"533",12,2020-03-20,10645,44,12,275,1264,1780,3067,4204,25,8,185,767,1033,1655,1725,19,4,90,497,747,1412,2479,522,1443,1012,947,1115,1043,1008,1657,1156,719
"534",13,2020-03-27,11141,49,13,283,1301,1805,3247,4444,27,5,186,764,1089,1793,1867,22,8,97,537,716,1454,2577,542,1538,982,922,1035,1182,1297,1822,1092,719
"535",14,2020-04-03,16387,51,21,288,1860,2734,5005,6428,26,7,183,1157,1701,2873,2847,25,14,105,703,1033,2132,3581,770,2137,1436,1246,1812,1717,2511,2294,1520,920
"536",15,2020-04-10,18516,38,14,332,2111,2946,5613,7462,28,7,201,1315,1804,3246,3347,10,7,131,796,1142,2367,4115,849,2597,1503,1452,2182,1984,2832,2604,1560,928
"537",16,2020-04-17,22351,51,15,353,2294,3380,6657,9601,24,7,217,1401,2071,3735,3990,27,8,136,893,1309,2922,5611,1155,3195,1960,1632,2536,2466,3275,3084,1854,1169
"538",17,2020-04-24,21997,54,12,404,2283,3238,6513,9493,33,9,251,1434,2015,3621,3865,21,3,153,849,1223,2892,5628,1103,3109,2095,1711,2481,2299,2785,3334,1924,1124
"539",18,2020-05-01,17953,48,11,345,1897,2601,5142,7909,30,5,213,1183,1571,2760,3095,18,6,132,714,1030,2382,4814,922,2503,1844,1418,1975,1982,1953,2853,1554,929
"540",19,2020-05-08,12657,28,20,233,1370,1935,3627,5444,16,13,147,847,1129,1979,2078,12,7,86,523,806,1648,3366,769,1790,1328,1094,1326,1321,1213,1887,1218,692
"541",20,2020-05-15,14573,56,19,287,1643,2188,4167,6213,34,11,180,987,1290,2293,2448,22,8,107,656,898,1874,3765,845,1992,1589,1283,1502,1543,1329,2251,1449,772
"542",21,2020-05-22,12288,51,16,339,1481,1883,3455,5063,26,12,222,906,1124,1822,1985,25,4,117,575,759,1633,3078,718,1636,1236,1041,1319,1397,1125,1937,1177,692
"543",22,2020-05-29,9824,40,14,232,1123,1567,2880,3968,22,8,156,662,894,1541,1551,18,6,76,461,673,1339,2417,550,1337,1046,863,970,1095,841,1515,1011,587
"544",23,2020-06-05,10709,44,16,267,1308,1791,3142,4141,20,11,171,790,1032,1663,1656,24,5,96,518,759,1479,2485,576,1478,1090,931,1172,1131,891,1610,1116,700
