"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"1","42006","12286","11837.6","2418","56","16","198","1229","1845","3548","5392","29","9","108","689","1042","1865","1915","27","7","90","540","803","1683","3477","699","1718","1261","1012","1296","1221","1233","1811","1272","725"
"    2","42013","16237","12277"," 3521","   80","   28","  298"," 1552"," 2387"," 4505"," 7387","   45","   15","  192","  912"," 1347"," 2306"," 2596","   35","   13","  106","  640"," 1040"," 2199"," 4791","  753"," 2282"," 1607"," 1328"," 1713"," 1712"," 1549"," 2525"," 1697"," 1031"
"    3","42020","14866","11145"," 3251","   46","   28","  316"," 1393"," 2107"," 4191"," 6785","   25","   13","  212","  813"," 1205"," 2104"," 2443","   21","   15","  104","  580","  902"," 2087"," 4342","  799"," 1968"," 1442"," 1286"," 1542"," 1657"," 1275"," 2427"," 1498","  936"
"    4","42027","13934","10714"," 2734","   61","   20","  318"," 1387"," 2019"," 3964"," 6165","   34","   15","  211","  837"," 1105"," 2030"," 2215","   27","    5","  107","  550","  914"," 1934"," 3950","  798"," 1806"," 1386"," 1206"," 1400"," 1565"," 1220"," 2196"," 1510","  828"
"    5","42034","12900","10492"," 2278","   66","   20","  329"," 1368"," 1869"," 3685"," 5563","   42","   11","  215","  799"," 1100"," 1908"," 1986","   24","    9","  114","  569","  769"," 1777"," 3577","  717"," 1669"," 1220"," 1119"," 1395"," 1450"," 1119"," 1991"," 1398","  801"
"    6.0","42041.0","12039.0","10320.4"," 2115.0","   66.0","   30.0","  286.0"," 1280.0"," 1774.0"," 3425.0"," 5178.0","   37.0","   18.0","  173.0","  753.0"," 1052.0"," 1821.0"," 1912.0","   29.0","   12.0","  113.0","  527.0","  722.0"," 1604.0"," 3266.0","  669.0"," 1586.0"," 1151.0"," 1071.0"," 1229.0"," 1360.0"," 1097.0"," 1843.0"," 1297.0","  720.0"
"    7","42048","11822","10325"," 1985","   66","   18","  312"," 1281"," 1798"," 3398"," 4949","   31","   13","  204","  749"," 1059"," 1826"," 1850","   35","    5","  108","  532","  739"," 1572"," 3099","  661"," 1608"," 1128"," 1021"," 1161"," 1284"," 1108"," 1836"," 1283","  710"
"    8.0","42055.0","11434.0","10429.8"," 1994.0","   47.0","   18.0","  303.0"," 1225.0"," 1714.0"," 3309.0"," 4817.0","   25.0","    7.0","  187.0","  733.0","  973.0"," 1713.0"," 1809.0","   22.0","   11.0","  116.0","  492.0","  741.0"," 1596.0"," 3008.0","  669.0"," 1466.0"," 1068.0","  965.0"," 1152.0"," 1276.0"," 1102.0"," 1713.0"," 1257.0","  739.0"
"    9.0","42062.0","11472.0","10313.8"," 1931.0","   48.0","   25.0","  296.0"," 1267.0"," 1749.0"," 3355.0"," 4731.0","   28.0","   14.0","  184.0","  760.0","  997.0"," 1749.0"," 1749.0","   20.0","   11.0","  112.0","  507.0","  752.0"," 1606.0"," 2982.0","  606.0"," 1466.0"," 1113.0","  973.0"," 1149.0"," 1286.0"," 1062.0"," 1767.0"," 1290.0","  736.0"
"   10.0","42069.0","11469.0","10203.6"," 1806.0","   44.0","   19.0","  291.0"," 1225.0"," 1850.0"," 3279.0"," 4759.0","   29.0","   11.0","  181.0","  763.0"," 1087.0"," 1689.0"," 1696.0","   15.0","    8.0","  110.0","  462.0","  763.0"," 1590.0"," 3063.0","  622.0"," 1559.0"," 1106.0","  966.0"," 1188.0"," 1232.0"," 1063.0"," 1709.0"," 1290.0","  712.0"
