"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"1","40186","12968","12050","2345","61","24","299","1570","2049","3952","5012","25","9","184","894","1214","2004","1683","36","15","115","676","835","1948","3329","648","1686","1317","1091","1370","1412","1226","1904","1395","879"
"    2","40193","12541","12600"," 2293","   69","   29","  331"," 1465"," 1860"," 3883"," 4902","   40","   17","  214","  895"," 1082"," 1925"," 1719","   29","   12","  117","  570","  778"," 1958"," 3183","  612"," 1772"," 1163"," 1098"," 1258"," 1263"," 1262"," 1981"," 1354","  758"
"    3.0","40200.0","11762.0","11692.2"," 1955.0","   66.0","   18.0","  347.0"," 1392.0"," 1781.0"," 3501.0"," 4654.0","   35.0","    9.0","  219.0","  826.0"," 1045.0"," 1755.0"," 1609.0","   31.0","    9.0","  128.0","  566.0","  736.0"," 1746.0"," 3045.0","  550.0"," 1576.0"," 1133.0","  963.0"," 1216.0"," 1174.0"," 1186.0"," 1877.0"," 1294.0","  774.0"
"    4.0","40207.0","11056.0","11069.2"," 1698.0","   68.0","   21.0","  336.0"," 1300.0"," 1666.0"," 3359.0"," 4305.0","   39.0","    9.0","  222.0","  770.0","  976.0"," 1687.0"," 1458.0","   29.0","   12.0","  114.0","  530.0","  690.0"," 1672.0"," 2847.0","  555.0"," 1495.0"," 1031.0","  938.0"," 1106.0"," 1143.0"," 1093.0"," 1856.0"," 1150.0","  663.0"
"    5.0","40214.0","10524.0","10840.4"," 1635.0","   72.0","   18.0","  317.0"," 1308.0"," 1588.0"," 3123.0"," 4089.0","   32.0","   11.0","  203.0","  764.0","  914.0"," 1635.0"," 1441.0","   40.0","    7.0","  114.0","  544.0","  674.0"," 1488.0"," 2648.0","  556.0"," 1385.0","  987.0","  874.0"," 1097.0"," 1156.0"," 1035.0"," 1576.0"," 1147.0","  688.0"
"    6.0","40221.0","10117.0","10602.4"," 1566.0","   79.0","   28.0","  308.0"," 1239.0"," 1596.0"," 3002.0"," 3864.0","   45.0","   14.0","  200.0","  753.0","  963.0"," 1611.0"," 1346.0","   34.0","   14.0","  108.0","  486.0","  633.0"," 1391.0"," 2518.0","  553.0"," 1402.0","  941.0","  858.0"," 1024.0"," 1032.0"," 1049.0"," 1547.0"," 1070.0","  622.0"
"    7.0","40228.0","10102.0","10774.8"," 1551.0","   71.0","   17.0","  329.0"," 1276.0"," 1560.0"," 3015.0"," 3834.0","   40.0","    3.0","  216.0","  760.0","  927.0"," 1521.0"," 1373.0","   31.0","   14.0","  113.0","  516.0","  633.0"," 1494.0"," 2461.0","  521.0"," 1371.0","  960.0","  802.0"," 1029.0"," 1099.0"," 1031.0"," 1570.0"," 1069.0","  636.0"
"    8.0","40235.0","10295.0","10715.2"," 1468.0","   73.0","   27.0","  340.0"," 1315.0"," 1600.0"," 3106.0"," 3833.0","   36.0","   14.0","  222.0","  780.0","  948.0"," 1551.0"," 1334.0","   37.0","   13.0","  118.0","  535.0","  652.0"," 1555.0"," 2499.0","  471.0"," 1363.0"," 1040.0","  880.0"," 1020.0"," 1149.0","  983.0"," 1594.0"," 1098.0","  665.0"
"    9.0","40242.0"," 9981.0","10793.8"," 1412.0","   55.0","   31.0","  348.0"," 1230.0"," 1547.0"," 3003.0"," 3765.0","   33.0","   16.0","  235.0","  743.0","  940.0"," 1529.0"," 1288.0","   22.0","   15.0","  113.0","  487.0","  607.0"," 1474.0"," 2477.0","  535.0"," 1417.0","  952.0","  778.0"," 1060.0"," 1064.0","  917.0"," 1580.0"," 1041.0","  623.0"
"   10.0","40249.0"," 9792.0","10572.8"," 1381.0","   45.0","   28.0","  334.0"," 1259.0"," 1552.0"," 2917.0"," 3653.0","   27.0","   20.0","  214.0","  726.0","  912.0"," 1446.0"," 1297.0","   18.0","    8.0","  120.0","  533.0","  640.0"," 1471.0"," 2356.0","  512.0"," 1390.0","  984.0","  800.0","  941.0"," 1074.0","  960.0"," 1457.0"," 1042.0","  607.0"
"   11.0","40256.0"," 9729.0","10432.2"," 1303.0","   53.0","   24.0","  294.0"," 1307.0"," 1572.0"," 2895.0"," 3581.0","   34.0","   14.0","  189.0","  775.0","  922.0"," 1468.0"," 1247.0","   19.0","   10.0","  105.0","  532.0","  650.0"," 1427.0"," 2334.0","  529.0"," 1316.0","  965.0","  820.0","  993.0"," 1005.0","  979.0"," 1466.0"," 1015.0","  617.0"
"   12.0","40263.0"," 9631.0"," 9646.8"," 1290.0","   61.0","   32.0","  303.0"," 1227.0"," 1566.0"," 2870.0"," 3554.0","   37.0","   17.0","  185.0","  725.0","  923.0"," 1488.0"," 1205.0","   24.0","   15.0","  118.0","  502.0","  643.0"," 1382.0"," 2349.0","  498.0"," 1292.0","  965.0","  792.0","  970.0"," 1039.0","  920.0"," 1484.0"," 1066.0","  591.0"
"   13","40270"," 8004","10315"," 1092","   50","   16","  230"," 1035"," 1256"," 2385"," 2971","   28","    8","  144","  614","  749"," 1236"," 1067","   22","    8","   86","  421","  507"," 1149"," 1904","  394"," 1130","  768","  682","  874","  814","  731"," 1174","  921","  501"
"   14.0","40277.0"," 9756.0","10013.8"," 1415.0","   66.0","   19.0","  288.0"," 1242.0"," 1603.0"," 2958.0"," 3553.0","   35.0","    9.0","  176.0","  764.0","  949.0"," 1538.0"," 1276.0","   31.0","   10.0","  112.0","  478.0","  654.0"," 1420.0"," 2277.0","  517.0"," 1357.0","  937.0","  850.0"," 1010.0"," 1002.0","  981.0"," 1473.0","  991.0","  608.0"
"   15","40284"," 9892"," 9696"," 1305","   63","   21","  321"," 1276"," 1646"," 3058"," 3496","   38","    8","  196","  780","  968"," 1611"," 1193","   25","   13","  125","  496","  678"," 1447"," 2303","  516"," 1369","  995","  794","  998"," 1068","  950"," 1476"," 1056","  639"
"   16.0","40291.0"," 9449.0","10259.8"," 1233.0","   66.0","   31.0","  333.0"," 1243.0"," 1525.0"," 2821.0"," 3429.0","   35.0","   16.0","  229.0","  757.0","  898.0"," 1494.0"," 1200.0","   31.0","   15.0","  104.0","  486.0","  627.0"," 1327.0"," 2229.0","  486.0"," 1328.0","  880.0","  782.0","  971.0"," 1048.0","  918.0"," 1438.0"," 1019.0","  557.0"
"   17","40298"," 9503","10025"," 1232","   59","   19","  325"," 1220"," 1564"," 2857"," 3458","   33","   12","  220","  740","  912"," 1523"," 1196","   26","    7","  105","  480","  652"," 1334"," 2262","  516"," 1252","  964","  759","  994"," 1021","  916"," 1443","  999","  616"
